id,label,description
NCG05213,Findley Creek,rises in central Henderson County and flows NE and S into Perry Creek.
NCG05214,Findleysville,"community in Mecklenburg County served by post office, 1810-34."
NCG05215,Fines Creek,community in N Haywood County on the creek of the same name. Settled about 1850.
NCG05216,Fines Creek Gap,"NE Haywood County on the head of Fines Creek. Alt. 3,948."
NCG05217,Fines Creek Township,NE Haywood County.
NCG05218,Finger,community in W Stanly County.
NCG05219,Finger Counties,"five counties in the NE corner of the state—Chowan, Perquimans, Pasquotank, Camden, and Currituck—whose collective geographical mass resembles digits on a hand."
NCG05220,Finley,"community on the upper waters of the Yadkin River in N Caldwell County. Named for Finley P. Curtis, who was active in securing a post office for the community."
NCG05221,Fire Gap Ridge,W Macon County between Roaring Fork Creek and Jarrett Creek.
NCG05222,Fire Scald Knob,SE Alleghany County about 3 mi. SE of Bullhead Mountain.
NCG05223,Fire Scald Ridge,S Haywood County between West Hollow and West Fork Pigeon River.
NCG05224,Fires Creek,rises in N Clay County and flows SW into Hiwassee River. Appears as Fiars Creek in the 1861 law establishing the county.
NCG05225,Firescald Branch,rises in W Yancey County and flows SE into Big Creek.
NCG05226,Firescald Creek,rises in N McDowell County on the SW slope of Betsy Ridge and flows SW into Slim Creek.
NCG05227,Firescald Mountain,"W Yancey County between Simms Fork and Elk Wallow Creek. Alt. 4,840."
NCG05228,Firescald Ridge,"N Swain County in Great Smoky Mountains National Park, a spur of Welch Ridge extending SE between Jonas Creek and Little Jonas Creek."
NCG05229,First Broad River,"rises in E Rutherford County and flows SE into Cleveland County. There it flows SE and SW into Broad River. Appears on the Collet map, 1770, as Sandy River."
NCG05230,First Gum Swamp,See Gum Swamp.
NCG05231,First Hurricane Branch,rises in S Swain County and flows SW into Yalaka Creek.
NCG05232,First Potts Creek,"rises in W Davidson County and flows SE into High Rock Lake on Yadkin River. Appears on the Collet map, 1770, as Potts Creek."
NCG05233,Fish Creek,rises in W Harnett County and flows NE into Cape Fear River.
NCG05234,Fish Dam,"community in E Durham County served by post office, 1881-1902. Spelled Fishdam after 1895."
NCG05235,Fish Hawk Point,NE Carteret County extending into Rumley Bay.
NCG05236,Fish Ridge,"N Haywood County, extends S beside Morgan Creek."
NCG05237,Fish Trap Creek,See Fishdam Creek.
NCG05238,Fishcreek,See Mamers.
NCG05239,Fishdam,See Fish Dam.
NCG05240,Fishdam Creek,"rises in W Wilkes County and flows SE into Yadkin River. Known as Fish Trap Creek until the 1960s, when the spillway of one of the flood-control dams in connection with the W. Kerr Scott Dam emptied into it and the name was changed."
NCG05241,Fisher,"community in SW Mecklenburg County served by post office, 1891-92. Earlier known as Kelleyville, which see."
NCG05242,Fisher Creek,rises in N Jackson County and flows S into Scott Creek.
NCG05243,Fisher Lake,on a tributary of Watkins Creek in S Macon County.
NCG05244,Fisher Peak,"mountain on the Surry County, N.C.-Carroll County, Va., line. Alt. 3,609."
NCG05245,Fisher River,"rises in Virginia and flows S into Surry County and SE across the county into Yadkin River. Appears on the Collet map, 1770."
NCG05246,Fisher Swamp,rises in NE Craven County and flows SW into Little Swift Creek.
NCG05247,Fisher's Ford,See Cooleemee.
NCG05248,Fisherman Bay,E Pamlico County in the Bay River estuary.
NCG05249,Fisherman Islands,"two small tidal-marsh islands, E Pamlico County in the Bay River estuary SE of Bay Point."
NCG05250,Fishermare Branch,rises in N Cherokee County on Fishermare Ridge and flows S into Hyatt Creek.
NCG05251,Fishermare Ridge,N Cherokee County in the Snowbird Mountains.
NCG05252,Fisherville,community in S Forsyth County.
NCG05253,Fishhawk Mountain,"S Macon County between Little Fishhawk Mountain and Wolf Rock. Alt. 4,684."
NCG05254,Fishing Branch,rises in N Person County and flows NW into Marlowe Creek.
NCG05255,Fishing Creek,rises in S Wilkes County in the Brushy Mountains and flows NE into Yadkin River.
NCG05256,Fishing Creek District,See Fishing Creek Township.
NCG05257,Fishing Creek Township,E central Granville County. Fishing Creek District had 59 heads of families in 1790.
NCG05258,Fishing Creek Township,"former township in central Wilkes County, now a part of Wilkesboro Township."
NCG05259,Fishprong Branch,rises in E Clay County and flows SE into Barnett Creek.
NCG05260,Fishton,community in W Polk County on Green River.
NCG05261,Fishtown,See Beaufort.
NCG05262,Fishtrap Branch,rises in E Swain County and flows NE into Tuckasegee River.
NCG05263,Fitch,"community in S Caswell County, formerly known as Fitch's Store. A post office was operated there, 1876-1926."
NCG05264,Fitches Knob,"SE Wilkes County. Alt. 1,850."
NCG05265,Fites Creek,rises in E Gaston County and flows SE into Catawba River.
NCG05266,Fitts,"community in N central Warren County. Post office est. in 1895 but discontinued in 1905. Named for the first postmaster, Edward F. Fitts."
NCG05267,Fitzgerald,"community in N Rockingham County served by post office, 1900-1906. Named for Thomas B. Fitzgerald, textile executive and local farmer."
NCG05268,Five Comb Branch,rises in NE Cherokee County and flows SE and SW into Valley River.
NCG05269,Five Forks,community in N Yadkin County.
NCG05270,Five Mile Branch,See Fifth Creek.
NCG05271,Five Mile Creek,rises in E Robeson County and flows SW into Saddletree Swamp.
NCG05272,Five Points,community in W Hoke County.
NCG05273,Fivemile Branch,rises in central Columbus County and flows SE then N into Cedar Branch.
NCG05274,Flag Branch,rises in SE Union County and flows NE into Rays Fork.
NCG05275,Flaggtown,"community in NW Montgomery County served by post office from 1879 until 1895, when name was changed to Pontop. Area now home to Uwharrie Point Lake and golf course community."
NCG05276,Flake,"community in W Iredell County served by post office, 1900-1905."
NCG05277,Flannery Fork [South Fork New River],"rises in Moses H. Cone Memorial Park approx. 2 mi. NW of town of Blowing Rock, S Watauga County. It flows W into Trout Lake and then NE to join East Fork and Middle Fork in forming South Fork New River approx. 2 mi. SE of town of Boone."
NCG05278,Flat Branch,rises in NW Gates County and flows SE through Jones Swamp into Hacklan Branch.
NCG05279,Flat Branch,See Sweetwater Creek.
NCG05280,Flat Branch Gap,on the Jackson-Macon county line.
NCG05281,Flat Creek,rises in NE Swain County in Great Smoky Mountains National Park and flows SE into Bunches Creek.
NCG05282,Flat Creek,"community in N Buncombe County. Alt. 2,161."
NCG05283,Flat Creek Bald,"NE Swain County in Great Smoky Mountains National Park on the N end of Overlook Ridge. Alt. 5,240."
NCG05284,Flat Creek Falls,SE Buncombe County on Flat Creek.
NCG05285,Flat Creek Township,N central Buncombe County.
NCG05286,Flat Fork Creek,rises in central Anson County and flows N into Brown Creek.
NCG05287,Flat Gap,on the Jackson-Haywood county line.
NCG05288,Flat Knob,N Macon County at the head of Rhinehart Creek.
NCG05289,Flat Land Branch,rises in E central Avery County and flows S into Wilson Creek.
NCG05290,Flat Laurel Creek,rises in S Haywood County and flows NW into West Fork Pigeon River.
NCG05291,Flat Laurel Gap,on the Haywood-Transylvania county line between Big Bald and Little Bald Mountain.
NCG05292,Flat Mountain,SE Macon County between Cullasaja River and Big Creek.
NCG05293,Flat River,"community in NE Durham County served by post office, 1881-1903."
NCG05294,Flat River Township,S central Person County.
NCG05295,Flat Rock,mountain in E central Avery County.
NCG05296,Flat Rock,"community in NE Vance County named for large, flat rock in old stage road."
NCG05297,Flat Rock Branch,rises in N Nash County and flows NE into Swift Creek.
NCG05298,Flat Rock Creek,"rises in SW Wilkes County and flows SE through the corner of Yadkin County and into Iredell County, where it enters Hunting Creek. Sometimes known locally as North Hunting Creek."
NCG05299,Flat Shoal Creek,rises in S central Stokes County and flows NE into Dan River.
NCG05300,Flat Shoal Mountain,central Stokes County parallel to Flat Shoal Creek.
NCG05301,Flat Shoals,community in S central Stokes County.
NCG05302,Flat Springs,SW Yancey County at the head of Indian Fork.
NCG05303,Flat Springs Creek,"rises in Tennessee and flows E into N Avery County, where it enters Beech Creek."
NCG05304,Flat Springs Gap,on the Buncombe-Yancey county line between Flat Springs Knob and Big Butt.
NCG05305,Flat Springs Knob,"on the Buncombe-Yancey county line NE of Flat Springs Gap at lat. 35°47'30"" N., long. 82°20'30"" W. Alt. 5,700-5,800. Sometimes also known as Flattop."
NCG05306,Flat Swamp,"rises in SW Onslow County and flows NW into Pender County, where it enters Shaking Creek."
NCG05307,Flat Swamp Creek,See Flat Creek.
NCG05308,Flat Swamp Mountain,a long mountain in S Davidson and E Rowan Counties through which the Yadkin River cut a channel. Geologists indicate that the mountain is the remnant of ancient lava flow.
NCG05309,Flat Top,mountain knob in central Caldwell County.
NCG05310,Flat Top Mountain,SE Buncombe County between Trantham Creek and Flat Branch.
NCG05311,Flatrock Creek,rises in N Franklin County and flows SE into Sandy Creek.
NCG05312,Flats,"a tourist resort and community in SE Macon County near the head of Middle Creek. It is on an elevation that extends SE from Middle Creek in Macon County into Rabun County, Ga."
NCG05313,Flats Township,S central Macon County.
NCG05314,Flatt Creek,See Big Flatty Creek.
NCG05315,Flatt's Creek,See Salmon Creek.
NCG05316,Flattop,"peak in N Yancey County N of Big Creek. Alt. approx. 4,807."
NCG05317,Flattop,See Flat Springs Knob.
NCG05318,Flattop Branch,rises in S Watauga County at the SW end of Flattop Mountain and flows SE into Middle Fork [South Fork New River].
NCG05319,Flattop Cliffs,See Flattop Mountain.
NCG05320,Flattop Creek,rises in E central Avery County and flows N into Banner Elk Creek.
NCG05321,Flattop Mountain,See Flat Mountain.
NCG05322,Flattop Mountain Branch,"rises in NW Yancey County and flows W into Tennessee, where it enters Spivey Creek."
NCG05323,Flatty Creek,See Big Flatty Creek.
NCG05324,Flatwood Gap,"NW Macon County. Alt. 1,475."
NCG05325,"Flatwoods, The",level land at the head of Shoal Creek in SW Henderson County. Settlers moved from nearby mountains into The Flatwoods in late nineteenth century.
NCG05326,Flax Creek,rises in SW Cherokee County and flows SE into Persimmon Creek.
NCG05327,Flay,community in W Lincoln County.
NCG05328,Flea Branch,rises in E Madison County and flows S into Laurel Creek.
NCG05329,Flea Mountain,central Cherokee County between Dockery and Cook Creeks.
NCG05330,Fleaback Mountain,"S Clay County between Needmore Branch and Hothouse Branch. Alt. 3,165."
NCG05331,Fleetwood,community in S Ashe County.
NCG05332,Fleetwood Point,extends from mainland of NE Dare County into Croatan Sound.
NCG05333,Fleming's Creek,See Raymond's Creek.
NCG05334,Flemington,See Lake Waccamaw (town).
NCG05335,Flemming,"community in SE Catawba County served by post office, 1875-1907."
NCG05336,Fletcher,"community in N Henderson County. Alt. 2,112. Named for Dr. George W. Fletcher, popular country doctor and surgeon during the Civil War. Est. about 1883 after the railroad was completed. With the development of Fletcher, Shufordsville, approx. 2 mi. n, declined, and the post office there was transferred to Fletcher and the name changed. Produced textiles."
NCG05337,Fletcher Branch,rises in N Henderson County and flows NW into Cane Creek.
NCG05338,Fletcher Creek,"rises in NW Henderson County and flows se, where it joins Big Creek in forming North Fork."
NCG05339,Fletcher Knob,"W Caldwell County. Named for Reuben Fletcher, Revolutionary soldier."
NCG05340,Flint,community in W Wake County.
NCG05341,Flint Gap,NE Graham County between Meetinghouse Mountain and Little Tennessee River.
NCG05342,Flint Hill,See Scottville.
NCG05343,Flint Hill Creek,"rises in E Rutherford County and flows NE into Cleveland County, where it enters Hinton Creek."
NCG05344,Flint Knob,SE Buncombe County between Miner and Sam Gaps.
NCG05345,Flint Level Branch,rises in W Madison County and flows SW into French Broad River.
NCG05346,Flint Rock Gap,N Macon County near the head of Sugar Cove Creek.
NCG05347,Flint Spring Branch,rises in N Clay County and flows SE into Fires Creek.
NCG05348,Flinty,See Newdale.
NCG05349,Flinty Gap,on the McDowell-Yancey county line between Green Knob and Big Craggy.
NCG05350,Flora,"community in SW Randolph County served by post office, 1883-1914."
NCG05351,Floral College,"community in NW Robeson County. Alt. 193. Named for a woman's college that operated there, 1841-78. One of the earliest colleges for women in the South, it was named for the wildflowers growing in profusion in the area."
NCG05352,Florence,"community in E Pamlico County on Bald Creek. Known earlier as Spring Creek; named for Florence, wife of Stanley Martin, first postmaster."
NCG05353,Florian,"community in central Anson County served by post office, 1893-1904."
NCG05354,Flounder Slue Rock,"two small islands in Pamlico Sound, NE Carteret County N of Portsmouth Island. In 1795 the islands were called Flounder Rocks."
NCG05355,Flower Cove,S Swain County on the head of Marr Branch.
NCG05356,Flower Gap,S Haywood County between Nigger Spring and Dina Branch.
NCG05357,Flower Hill,"community in SE Randolph County served by post office, 1877-1907."
NCG05358,Flower Knob,S Haywood County on the head of Little East Fork Pigeon River.
NCG05359,Flowers Gap,at the head of Coon Creek in E Macon County.
NCG05360,Flowers Swamp,rises in E Robeson County and flows SW into Lumber River.
NCG05361,Flows Store,"community in S Cabarrus County named for Daniel W. Flowe, who opened a store there in 1881. Flowe's store, closed about 1925, still stands."
NCG05362,Flox,"community in N Onslow County served by post office, 1891-1907. Formerly Purgatory, served by post office beginning in 1884."
NCG05363,Floyd,"community in SE Cumberland County served by post office, 1889-1907."
NCG05364,Floyds Creek,rises in S Rutherford County and flows S into Broad River.
NCG05365,Fly,"community in central Montgomery County served by post office, 1889-97."
NCG05366,Flynn,"community in S Moore County served by post office, 1891-1901."
NCG05367,Flynn Ridge,S Yancey County between Setrock Creek and Whiteside Branch.
NCG05368,Fodderstack Mountain,See Terrapin Mountain.
NCG05369,Folk Hill,"community in central Rockingham County named for Douglas Foucht, local sawmill owner and farmer, whose home stood on large hill. By 1920s name became Folk Hill."
NCG05370,Folkstone,"community in SW Onslow County. Alt. 69. Believed to have been named by a retired sea captain for his native town in England. Served by post office, 1902-54."
NCG05371,Folly Creek,rises in W Henderson County and flows NW into Little Willow Creek.
NCG05372,Folly Fork,"community in NE Gates County. Folly post office est. prior to 1828. Frequently in the seventeenth and eighteenth centuries, the word folly was used in the sense of the French folie (delight; favorite abode) and it formed a part of the name of English estates."
NCG05373,Folly Swamp,rises in NE Gates County and flows E into Dismal Swamp.
NCG05374,Fonta Flora,See Flora.
NCG05375,Fontana,"former community in NW Swain County, est. 1902 by employees of Montvale Lumber Co. The site is now covered by the waters of Fontana Lake, which see. Said to have been named by Mrs. George Leidy Wood, wife of an official of the lumber company, because it was ""a short word, musical, easy to spell,"" and it reminded her of ""the waterfalls that looked like fountains, leaping from ledge to ledge"" in the nearby forest."
NCG05376,Fontana Lake,"N Graham and W and central Swain Counties on Little Tennessee River and its tributaries. Forms the S boundary of the Great Smoky Mountains National Park. Dam begun in 1941, completed in 1945, forms the lake, largest of the Tennessee Valley Authority system. Max. depth 480 ft. The lake, 30 mi. long, has a shoreline of 248 mi. and covers 10,530 acres at full lake. Provides flood control, electric power, and recreation facilities. The dam there is the highest in E America. Alt. 1,710. See also Fontana and Fontana Village."
NCG05377,Fontana Village,"resort community in N Graham County in Welch Cove near Fontana Lake. Alt. 1,800. Built in 1941 as a construction village for the employees of Fontana Dam. After the dam was completed, it was leased to a private corporation for development as a resort. See also Welch Cove."
NCG05378,Fontcal,See Wagram.
NCG05379,Fontena,"formerly the plantation of the Baker family, located between Little Fishing Creek and Reedy Creek near the community of Grove Hill, S Warren County. The plantation house, no longer standing, was built in 1790 by Judge Blake Baker, attorney general of North Carolina in 1794. In 1816 the library at Fontena was described as the finest in the state."
NCG05380,Fonville,community in S Harnett County.
NCG05381,Footsville,community in S Yadkin County near South Deep Creek. Known first as Footville.
NCG05382,Forbes,"community in W Mitchell County on Toe River. Alt. 2,185."
NCG05383,Forbes Bay,E Pasquotank County between Cottage Point and Cobb Point on the Pasquotank River.
NCG05384,Forbes Millpond,central Pitt County on Greens Mill Run.
NCG05385,Forbush,community in central Yadkin County on Logan Creek.
NCG05386,Forbush Creek,rises in N Yadkin County and flows SE into Logan Creek.
NCG05387,Forbush Township,SE Yadkin County.
NCG05388,Ford Creek,"rises in SE Granville County and flows NE into W Franklin County, where it enters Tar River."
NCG05389,Forest,community in central Craven County.
NCG05390,Forest City,"town in S central Rutherford County. Alt. 869. Inc. 1877 as Burnt Chimney; name changed to Forest City in 1887 in honor of Forest Davis, lumber merchant."
NCG05391,Forest Grove,community in N Watauga County on Forest Grove Creek.
NCG05392,Forest Grove Creek,rises in N Watauga County and flows SW into Beaverdam Creek.
NCG05393,Forest Hill,former town in central Cabarrus County. Inc. 1887 but now a part of the city of Concord. Began as a mill settlement in the 1850s and named McDonalds Mill. Later known as Odell Mill and Locke Mills; now the site of Randolph Mill.
NCG05394,Forestville,community in NE Wake County S of the town of Wake Forest. Inc. 1879; charter repealed 1915.
NCG05395,Forge,"community in E Surry County served by post office, 1888-1903."
NCG05396,Forge Knob,"on the Swain County, N.C.-Blount County, Tenn., line in Great Smoky Mountains National Park between Rich Gap and Buck Gap."
NCG05397,Forge Mountain,"NW Henderson County between South Fork Mills River and Boylston Creek in Pisgah National Forest. Alt. 3,280. Granted to Philip Sitton about 1806 as a ""forge bounty"" where he manufactured iron for many years. Adjoining it was the Gillespie gun works, where long guns were fashioned from Sitton's iron."
NCG05398,Fork,"town in SE Davie County. Inc. 1895 as Fork Church, but long inactive in municipal affairs. Developed around Fork Baptist Church, organized 1793. Alt. 824."
NCG05399,Fork Branch,rises in N Watauga County on Fork Ridge and flows SW into Little Beaverdam Creek.
NCG05400,Fork Church,See Fork.
NCG05401,Fork Creek,"rises in S Randolph County and flows SE into Deep River. Appears as Crooked Creek on the Collet map, 1770; as Pork Creek (likely a typographical error) on the Price map, 1808; and as Fork Creek on the MacRae map, 1833."
NCG05402,Fork Legged Mountain,E Madison County at the head of California Creek.
NCG05403,Fork Mountain,"NW Haywood County N of Conrad Branch in Great Smoky Mountains National Park. Alt. approx. 4,000."
NCG05404,Fork Mountain,S Swain County between Yalaka Creek and Bowers Creek.
NCG05405,Fork Mountain Branch,rises in central Avery County and flows S into North Toe River.
NCG05406,Fork Mountain Township,central Mitchell County.
NCG05407,Fork Point,a peninsula in W Beaufort County between Chocowinity Bay and Pamlico River.
NCG05408,Fork Point,point of land at the mouth of Bond Creek in SE Beaufort County at Pamlico River.
NCG05409,Fork Point Island,"in Chocowinity Bay, W Beaufort County. Approx. 1/10 mi. long."
NCG05410,Fork Ridge,between North Fork and Plott Balsams in N Jackson County.
NCG05411,Fork Ridge,"NW Watauga County, begins near head of Little Beaverdam Creek at State Line Gap and extends s, branching SW and SE to form an inverted Y. Highest point is about 4,300 ft."
NCG05412,Fork Ridge,S Yancey County between Middle Fork Rock Creek and North Fork Rock Creek.
NCG05413,Fork River Bald,on the Haywood-Transylvania county line at the NW end of Fork River Ridge.
NCG05414,Fork River Ridge,"NW Transylvania County, extends SE from Fork River Bald between Daniel Ridge Creek and Right Fork Davidson River."
NCG05415,Fork Swamp,rises in central Pitt County and flows S into East Branch.
NCG05416,Fork Township,W Wayne County. Named for location in fork of Neuse and Little Rivers. Designation has remained unchanged since first listed in 1838.
NCG05417,Forkade,"community in NE Moore County served by post office, 1886-1905."
NCG05418,Forked Mountain,on the Henderson-Transylvania county line.
NCG05419,Forked Ridge,"W Watauga County, extends NW between Grassy Gap and Beech Creek."
NCG05420,Forked Tree Mountain,NE Buncombe County between Burleson Branch and North Fork Ivy Creek.
NCG05421,Forks of Ivy,"community on the Buncombe-Madison county line on Ivy Creek. Named for the fact that it is near the junction of Ivy and Little Ivy Creeks. Alt. 1,978."
NCG05422,Forks of Pigeon,"See Canton. Post office operated by the name, 1841-1901."
NCG05423,Forks of Tar River,See Washington.
NCG05424,Former Camp Branch,rises in N Madison County and flows S into Big Laurel Creek.
NCG05425,Forney,"former community in W Swain County on Tuckasegee River at the mouth of Forney Creek. Alt. 1,537. The site is now under the waters of Fontana Lake."
NCG05426,Forney Creek,"rises in E Lincoln County and flows SE into Killian Creek. Named for Jacob Forney, pioneer settler of about 1750."
NCG05427,Forney Creek,rises in N Swain County in Great Smoky Mountains National Park and flows SW and S into Tuckasegee River.
NCG05428,Forney Ridge,"N Swain County in Great Smoky Mountains National Park, a lofty spur extending SW from Clingmans Dome between Forney Creek and Noland Creek."
NCG05429,Forneys Creek Township,NW Swain County.
NCG05430,Forrester Ridge,"NW Swain County in Great Smoky Mountains National Park, extends SE from Blockhouse Mountain to the confluence of Haw Gap Branch and Hazel Creek."
NCG05431,Forshee,"community in S Rockingham County between Troublesome Creek and Little Troublesome Creek. Served by post office, 1900-1917. Named for Annie Forshee, relative of postmaster."
NCG05432,Forsyth County,"was formed in 1849 from Stokes County. In the central part of the state, it is bounded by Guilford, Davidson, Davie, Yadkin, and Stokes Counties. It was named for Col. Benjamin Forsyth (ca. 1760-1814), a native of Stokes County who was killed on the Canadian frontier in the War of 1812. Area: 424 sq. mi. County seat: Winston-Salem, with an elevation of 858 ft. Townships are Abbotts Creek, Belews Creek, Bethania, Broadbay, Clemmonsville, Kernersville, Lewisville, Middle Fork, Old Richmond, Old Town, Salem Chapel, South Forks, Vienna, and Winston. Produces tobacco, wheat, oats, soybeans, blueberries, grapes, corn, poultry, dairy products, livestock, hogs, cigarettes and other tobacco products, hosiery, textiles, bakery products, machinery, fabricated metals, banking services, corrugated boxes, apparel, lumber, and crushed stone. See also Dobbs Parish; Wachovia."
NCG05433,Forsyth Creek,rises in E central McDowell County and flows SE into Lake James on the Catawba River.
NCG05434,Fort Anderson,See Brunswick.
NCG05435,Fort Barnwell,"community in NW Craven County. Alt. 40. Settled about 1800. Named for Fort Barnwell, constructed by Col. John Barnwell of South Carolina in a campaign against the Tuscarora Indians in April 1712. Remains of the fort are on a bluff overlooking the Neuse River 2 mi. NE of the community."
NCG05436,Fort Bartow,"Civil War fort on Roanoke Island, Dare County."
NCG05437,Fort Benjamin,"Civil War fort on the Newport River, E Carteret County opposite town of Newport."
NCG05438,Fort Bragg,"NW Cumberland, E Hoke and Moore, and S Harnett Counties. Est. 1918 as Camp Bragg, a U.S. Field Artillery training center; name changed to Fort Bragg in 1922. Named for Gen. Braxton Bragg (1817-76), Confederate commander. Alt. 110. Area, 200 sq. mi. Now headquarters for airborne troops and special operations. Reached a peak of 104,000 men just prior to the North African invasion in World War II. Pope Air Force Base, which see, is adjacent."
NCG05439,Fort Branch,See Conoho Creek.
NCG05440,Fort Butler,"S Cherokee County, military installation where Gen. Winfield Scott, in command of U.S. forces, gathered Cherokee Indians before moving them west in 1838."
NCG05441,Fort Butler Mountain,"S Cherokee County S of Right Prong Martin Creek and W of Martin Creek. Named for the fort near the present town of Murphy, which see, where Gen. Winfield Scott, in command of U.S. forces, gathered the Cherokee Indians before moving them west in 1838."
NCG05442,Fort Caswell,on the SE tip of Oak Island in SE Brunswick County. Begun by United States in 1826; seized by North Carolina troops in 1861 and abandoned by Confederates in 1865. Used also in Spanish-American War and both world wars. Well-preserved remains now in Baptist summer camp area.
NCG05443,Fort Clark,Civil War fort on Cape Hatteras 1 mi. up the beach from Hatteras Inlet. It was laid out by William B. Thompson and construction started about July 1861.
NCG05444,Fort Creek,rises in NE Caldwell County E of Fort Defiance and flows N into Yadkin River.
NCG05445,Fort Creek,rises in W Granville County and flows NE into Tar River. Shown on modern maps as Ford Creek.
NCG05446,Fort Defiance,"NE Caldwell County. Home of William Lenoir, leader in Revolutionary War and public affairs; built 1788-92 and stands on site of frontier Fort Defiance."
NCG05447,Fort Dobbs,See Fort Macon.
NCG05448,Fort Fisher,"State Historic Site and former Confederate fort at the S tip of New Hanover County. Construction began in April 1861 under direction of Capt. Charles P. Bolles, who was soon transferred. The first section of the fort was named Battery Bolles. Upon completion, the fort—constructed of sand, palmetto logs, and railroad iron—was named for Capt. Charles F. Fisher (1816-61), who had been killed at the Battle of First Manassas while commanding North Carolina troops. Fort Fisher controlled the Cape Fear River and kept the port of Wilmington open. The fort was bombarded from the sea on December 23-25, 1864, and January 12-13, 1865. It fell on January 15. During World War II, the site was used in connection with coastal defense. Restoration and development as a State Historic Site began in 1960."
NCG05449,Fort Fisher Junction,"community in S New Hanover County. Prior to 1957, when the name was changed by the county commissioners, the community was known as Monkey Junction because the proprietor of a store there once owned a great many monkeys."
NCG05450,Fort Hamby,"a name applied to a log house fortified in 1865 at the end of the Civil War by deserters from the Union Army. Named for a woman, apparently of evil repute, who formerly owned the house. Located in SW Wilkes County near the mouth of Lewis Fork Creek in Yadkin River, it provided refuge for a band of armed men who robbed and murdered the residents of several counties. A group of local citizens, including a number of former Confederate soldiers, attacked the ""fort,"" set it on fire, and captured a number of the men. Some were shot during the attack and others were tried and sentenced to prison."
NCG05451,Fort Hampton,See Fort Macon.
NCG05452,Fort Hembree,See Hayesville.
NCG05453,Fort Hill,"former Confederate batteries on the Pamlico River, E central Beaufort County, which enabled Gen. D. H. Hill's forces to besiege Washington, N.C., in the spring of 1863."
NCG05454,Fort Hill,"a Civil War fort ""near Hill's Point"" in Buncombe County. The exact location cannot now be determined."
NCG05455,Fort Island,a large sandy area in Big Pocosin in SW Gates County about 1 mi. N of Chowan River. Named for George Fort.
NCG05456,Fort Johnston,"was located at the present town of Southport, SE Brunswick County. Built 1748-64 and named for Gov. Gabriel Johnston (1699-1752); burned by Whigs, 1775. Rebuilt by U.S. government, 1794-1809. Seized by Confederate forces in 1861 and used in the Civil War. Only the officers’ quarters remain."
NCG05457,Fort Lamb,small battery below Fort Anderson on Price Creek in SE Brunswick County. Named for Col. William Lamb (1835-1909) of Fort Fisher.
NCG05458,Fort Landing,"NE Tyrrell County at the mouth of Alligator Creek. Believed to be the oldest settlement in Tyrrell County, but date unknown. Said to have been named for an old fort that stood near the Alligator Creek landing. The Price map, 1808, shows Warington at the approx. location. Appears as Port Landing on the MacRae map, 1833, but as Fort Landing on subsequent maps."
NCG05459,Fort Lane,"a Civil War fort, was located 3 mi. SE of New Bern in Craven County."
NCG05460,Fort Macon,"built 1826-34 on the E end of Bogue Banks, S Carteret County, to protect Beaufort Inlet. Replaced the earlier Fort Hampton and Fort Dobbs. Now a state park, est. 1924 on 390 acres. Historical museum maintained inside the brick fort; swimming, fishing, hiking, nature study. Site of Civil War battle."
NCG05461,Fort Macon Village,part of the Cherry Point Housing Area in SE Craven County. See also Cherry Point.
NCG05462,Fort McFadden,See Mountain Creek.
NCG05463,Fort McGaughey,See Westminster.
NCG05464,Fort Raleigh,"NE shore of Roanoke Island, E Dare County. The remains of the earthen fort, constructed in 1585 by Ralph Lane's colony, were reconstructed in 1950 by the National Park Service after extensive archaeological study. Appears on the Collet map, 1770. The Fort Raleigh National Historic Site and the Waterside Theatre—at which Paul Green's symphonic drama, The Lost Colony, has been presented in the summer since 1937—are there. An Elizabethan Garden maintained by the Garden Club of North Carolina and a museum are also nearby."
NCG05465,Fort Rollins,See Blowing Rock.
NCG05466,Fort Run,"stream, rises in W Greene County and flows NE into Contentnea Creek. Named because an early eighteenth-century Tuscarora Indian fort was located nearby. John Lawson was killed near the head of the stream in 1711."
NCG05467,Fort San Juan,"W Burke County, camp used by Spanish expeditionary force by Juan Pardo. Explorers built fort upon site of Indian village known as Joara or Xuala in January 1567; it was destroyed by Indians, 1568. Archaeological work at what is known as Berry site each summer."
NCG05468,Fort Shaw,former fort on the beach of Oak Island in SE Brunswick County. Used to protect Confederate blockade-runners moving in close to shore.
NCG05469,Fort St. Philip,See Brunswick.
NCG05470,Fort Thompson,"Civil War fort, site 5 mi. SE of New Bern on Neuse River in Craven County."
NCG05471,Fort Totten,one of the forts built around New Bern by Union forces after they took the town in March 1862. Located in S central Craven County.
NCG05472,Fortin Island,"the westernmost of a small group of islands in Core Sound about 3 mi. SE of community of Davis, SE Carteret County."
NCG05473,Fortiscue Creek,rises in SW Hyde County near Beulah and flows NW into Pungo River.
NCG05474,Foscoe,"community in SW Watauga County on Watauga River. Alt. 2,969."
NCG05475,Foster,"community in SE Person County served by post office, 1892-1910."
NCG05476,Foster Cove,N Graham County between Carringer Gap and Bee Creek.
NCG05477,Foster Creek,rises in NE Madison County and flows SW into Big Laurel Creek.
NCG05478,Foster Creek Township,"former township in N central Madison County, now township no. 16."
NCG05479,Foster Knob,S Macon County between Ash Flat Branch and Rockyface Mountain.
NCG05480,Foster Mill Creek,rises in NW Henderson County and flows SE into Mills River.
