id,meta-category,label,feature type,description,notes
NCG01953,Fresh running water,Brunswick River,River,"NE Brunswick County, extends S from Cape Fear River along the W side of Eagles Island and empties into Cape Fear River. Approx. 5 mi. long. The waterway undoubtedly is the Hilton's River discovered by William Hilton in 1663 and described by him in an account published the next year.",
NCG01954,Fresh running water,Brush Creek,Creek,"is formed in E Alleghany County by the waters of Laurel Branch, Little Pine, and Little Glade Creeks. It flows N into Little River.",
NCG01955,Population zone,Brush Creek Township,Township,E Yancey County.,
NCG01956,,Brush Fence Ridge,Ridge,on the Buncombe-Yancey county line between Point Misery and Balsam Gap.,
NCG01957,Fresh running water,Brush Fork,Fork,rises in SW Ashe County and flows NE into North Fork New River.,
NCG01958,Fresh running water,Brush Fork Creek,Creek,rises in central Anson County and flows S into Reedy Fork Creek.,
NCG01959,Mountain,Brush Mountain,Mountain,W Randolph County.,
NCG01960,Population zone,Brushcreek,Community,community in W Chatham County on Little Brush Creek.,
NCG01961,Fresh running water,Brushy Branch,Branch,rises in S Macon County and flows NE into Wayah Creek.,
NCG01962,Fresh running water,Brushy Creek,Creek,rises in S Avery County and flows SW into North Toe River.,
NCG01963,Mountain,Brushy Face,Mountain,mountain in SE Macon County between Horseshoe Mountain and Sassafras Knob.,
NCG01964,Fresh running water,Brushy Fork,Fork,rises in central Watauga County and flows NW into Cove Creek.,
NCG01965,Fresh running water,Brushy Fork Branch,Branch,rises in E central Forsyth County and flows S and SW into Salem Creek near the E limits of Winston-Salem.,
NCG01966,Fresh running water,Brushy Fork Creek,Creek,rises in W Jackson County and flows NE into Greens Creek.,
NCG01967,Mountain,Brushy Fork Mountain,Mountain,W Jackson County between Savannah Creek and Brushy Fork.,
NCG01968,Population zone,Brushy Fork Township,Township,W central Watauga County.,
NCG01969,Mountain,Brushy Gap,Gap,NE Swain County in Great Smoky Mountains National Park on Shiltoskie Ridge.,
NCG01970,Mountain,Brushy Head Mountain,Mountain,NE Cherokee County between Graybeard Creek and Valley River.,
NCG01971,Mountain,Brushy Knob,Knob,NE Buncombe County near the headwaters of Walker Branch.,
NCG01972,,Brushy Mountain,REFERENCE,See Gilreath.,
NCG01973,Mountain,Brushy Mountain,Mountain,"N Haywood County between Mount Sterling Creek and Dogwood Flats Creek. Alt. approx. 5,600.",
NCG01974,Population zone,Brushy Mountain Township,Township,S Wilkes County.,
NCG01975,Mountain,Brushy Mountains,Mountains,"a low range extending across S Wilkes County, N Alexander County, and into E Caldwell County. Sometimes also described as crossing Yadkin and Surry Counties, with isolated Pilot Mountain included as the E peak. Pore's Knob in Wilkes County, the highest peak, is 2,680 ft.; Hibriten Mountain in Caldwell County is 2,265 ft. Shown on the 1755 ed. of the Fry-Jefferson map.",
NCG01976,,Brushy Ridge,Ridge,NE Buncombe County between Sugar Fork and Laurel Branch.,
NCG01977,,Brushy Ridge,Ridge,SE Polk County on the South Carolina line.,
NCG01978,Fresh running water,Brushy Ridge Branch,Branch,rises in W Transylvania County and flows SW into Cathey's Creek.,
NCG01979,Population zone,Bryan,Community,community in E Pitt County.,
NCG01980,Fresh running water,Bryan Creek,Creek,rises in central Pitt County and flows SE into Tar River.,
NCG01981,Population zone,Bryan Township,Township,W Surry County.,
NCG01982,,Bryan's Settlement,,"area in Yadkin River valley of NE Davie County. In 1748 Morgan Bryan moved there with his large family. Their holdings totaled over 5,000 acres.",
NCG01983,Fresh running water,Bryant Branch,Branch,"rises in N Davie County near Pino and flows SE approx. 4 mi. into Dutchmans Creek. Named for the Bryant family, which settled in the area prior to 1752.",
NCG01984,Mountain,Bryant Mountain,Mountain,central Watauga County N of Howard Creek.,
NCG01985,,Bryant Swamp,Swamp,"rises in Big Bay in SW Bladen County and flows W into Robeson County, where it enters Big Swamp.",
NCG01986,Population zone,Bryantown,Community,community in S Northampton County.,
NCG01987,,Bryants Pond,Pond,"NW Bladen County on Reedy Meadow Creek and Black Swamp. Formed by a dam built about 1860 to create a millpond. Fishing, swimming, and boating.",
NCG01988,Fresh running water,Bryson Branch,Branch,rises in NE Cherokee County and flows SW into Valley River.,
NCG01989,Fresh running water,Bryson Branch,Branch,rises in central Swain County and flows SE through Bryson City into Tuckasegee River.,
NCG01990,Population zone,Bryson City,Town,"town and county seat in central Swain County on Tuckasegee River. Alt. 1,736. Inc. 1887 as Charleston. Name changed to Bryson City in 1889 by act of General Assembly; named in honor of Capt. Thaddeus Dillard Bryson (1829-90), one of the founders of the town.",
NCG01991,,Bryson Cove,Cove,on a tributary of Cowee Creek in N Macon County.,
NCG01992,Fresh running water,Bryson Creek,Creek,"rises in E Transylvania County and flows SE into W Henderson County, where it enters French Broad River.",
NCG01993,Mountain,Bryson Knob,Knob,E Macon County between Mashburn Branch and Cullasaja River.,
NCG01994,,Bryson Lead,,"NW Cherokee County, parallel to Shular Creek and NW of Chestnut Orchard Ridge, Nin Ridge, and Groundhog Ridge.",
NCG01995,Mountain,Bryson Mountain,Mountain,N Henderson County between Sitton Creek and Foster Creek.,
NCG01996,Fresh running water,Bubble Branch,Branch,rises in W Jackson County and flows SE into West Fork Tuckasegee River.,
NCG01997,Fresh running water,Bubbling Springs Branch,Branch,rises in S Haywood County and flows N into West Fork Pigeon River.,
NCG01998,Mountain,Buby Gap,Gap,on the Jackson-Macon county line.,
NCG01999,Population zone,Buchanan,Community,"community in N Granville County served by post office, 1856-1906.",
NCG02000,Fresh running water,Buchanan Branch,Branch,rises in SW Clay County and flows SW into Brasstown Creek.,
NCG02001,Fresh running water,Buchanan Falls,Falls,on Pee Dee River on the Anson-Richmond county line about 1½ mi. N of the South Carolina line.,
NCG02002,,Buchanan Ferry,REFERENCE,See Diggs Ferry.,
NCG02003,,Buchanan Hollow,Hollow,E Mitchell County between Mine Hill and Sandy Branch.,
NCG02004,,Buchanan's Pond,Pond,"NW Scotland County on a tributary of Gum Swamp Creek. Formed in 1950 and named for owner, D. M. Buchanan. Covers 23 acres; max. depth 12 ft. Fishing, swimming, boating.",
NCG02005,Population zone,Buck,Community,community in S Wilkes County near Millers Creek.,
NCG02006,Fresh running water,Buck Branch,Branch,"rises in central Wilson County and flows approx. 3 mi. S into Toisnot Swamp, which see. Known as Buckhorn Branch as early as 1754.",
NCG02007,,Buck Cove,Cove,E Haywood County on the head of Thickety Creek.,
NCG02008,Mountain,Buck Cove Mountain,Mountain,E Haywood County between Buck Cove and Rice Cove.,
NCG02009,Fresh running water,Buck Creek,Creek,rises in N central Carteret County and flows W into South River.,
NCG02010,,Buck Creek,REFERENCE,See McLendons Creek.,
NCG02011,,Buck Creek Falls,REFERENCE,See Buck Creek.,
NCG02012,Mountain,Buck Creek Gap,Gap,"on the McDowell-Yancey county line between Horse Trail Gap and Hazelnut Gap. Alt. approx. 3,200.",
NCG02013,,Buck Forest,Forest,"mountain, E Transylvania County between Laurel and Tom Creeks.",
NCG02014,Mountain,Buck Gap,Gap,on the Buncombe-McDowell county line S of Sourwood Gap.,
NCG02015,Mountain,Buck Gap,Gap,"on the Swain County, N.C.-Blount County, Tenn., line in Great Smoky Mountains National Park near lat. 35°32'03"" N., long. 83°49'20"" W.",
NCG02016,Mountain,Buck Hill,Mountain,mountain peak in SW Avery County.,
NCG02017,Mountain,Buck Hill Gap,Gap,W Avery County.,
NCG02018,Mountain,Buck Hollow Mountain,Mountain,NE Rutherford County at the head of Duncans Creek.,
NCG02019,,Buck Island,Island,is a raised area of land surrounded by swamp in Mon Swamp in SE Tyrrell County.,
NCG02020,Mountain,Buck Knob,Knob,W Cherokee County between Shular Creek and Caney Branch.,
NCG02021,Mountain,Buck Knob,Knob,SW Macon County at the head of Allison Creek.,
NCG02022,,Buck Marsh,Marsh,"rises in SE Wayne County and flows SE into Duplin County, where it enters Buck Run.",
NCG02023,Mountain,Buck Mountain,Mountain,"W Lee County. Several very rocky hills, one of which is quite steep, in an area of 3 or 4 acres.",
NCG02024,Mountain,Buck Mountain,Mountain,"SW Transylvania County, extends SE between the headwaters of Thompson River and Whitewater River.",
NCG02025,Fresh running water,Buck Quarter Creek,Creek,rises in NE Orange County and flows S into Eno River. It is mentioned in land grants as early as 1750. Sometimes called Buck Water Creek.,
NCG02026,,Buck Ridge,Ridge,E Mitchell County between Gouges Creek and Jackson Branch.,
NCG02027,,Buck Ridge,Ridge,NE Yancey County between Green Mountain and Brush Creek.,
NCG02028,,"Buck Ridge,",,N Haywood County on Chestnut Branch.,
NCG02029,Fresh running water,Buck Run,Run,rises in NE Duplin County and flows SW into Northeast Cape Fear River.,
NCG02030,,Buck Shoal,,"on French Broad River in N Henderson County. Named because deer formerly fed on moss growing there. Bill Nye (1850-96), American humorist, lived there from about 1880 until his death.",
NCG02031,Population zone,Buck Shoals,Community,community in SW Yadkin County on North Hunting Creek. Named for the herds of deer that once gathered in the shoals of the creek.,
NCG02032,Population zone,Buck Shoals Township,Township,SW Yadkin County.,
NCG02033,Fresh running water,Buck Spring,Spring,"NE Warren County between Hub-quarter Creek and Stonehouse Creek. Formerly the plantation of Nathaniel Macon (1758-1837), member of Congress (1791-1828) and speaker of the U.S. House of Representatives; he is buried there. House burned by vandals, 1977, and reconstructed. Post office operated there from 1901 to 1905. Site owned and maintained by Warren County.",
NCG02034,Mountain,Buck Spring Gap,Gap,"on the Haywood-Transylvania county line on Pisgah Ridge just S of Little Pisgah Mountain at the head of Pisgah Creek. Alt. 4,980.",
NCG02035,,Buck Swamp,Swamp,rises in S Wayne County and flows NW into Thoroughfare Swamp.,
NCG02036,Population zone,Buck Swamp Township,Township,NW Wayne County.,
NCG02037,,Buck Water Creek,REFERENCE,See Buck Quarter Creek.,
NCG02038,Mountain,Buck Water Mountain,Mountain,E Macon County between Little Buck Creek and Katie Creek.,
NCG02039,Fresh running water,Buckeye Branch,Branch,rises in NE Swain County and flows SE into Raven Fork.,
NCG02040,,Buckeye Cove,Cove,E Haywood County on the head of Cove Creek.,
NCG02041,,Buckeye Cove,Cove,NW Haywood County on the head of Big Creek.,
NCG02042,Fresh running water,Buckeye Cove Creek,Creek,rises in NE Buncombe County and flows NW into North Fork Ivy Creek.,
NCG02043,Fresh running water,Buckeye Creek,Creek,rises in S Macon County and flows SW into Tessentee Creek.,
NCG02044,Mountain,Buckeye Gap,Gap,central Watauga County S of Norris Branch.,
NCG02045,Mountain,Buckeye Knob,Knob,N Watauga County between the forks of Fork Ridge.,
NCG02046,Mountain,Buckeye Mountain,Mountain,"a peak in the Swannanoa Mountains, S Buncombe County between Cedar Cliff and Face Rock.",
NCG02047,,Buckeye Ridge,Ridge,W Madison County between Max Patch Mountain and Roaring Fork Mountain.,
NCG02048,Fresh running water,Buckeye Spring,Spring,on the Avery-Watauga county line. Source of Buckeye Creek.,
NCG02049,Fresh running water,Buckhead Creek,Creek,rises in central Cumberland County and flows S into Little Rockfish Creek.,
NCG02050,,Buckhead Swamp,Swamp,"rises in SE Bladen County and flows S into Columbus County, where it enters Slap Swamp.",
NCG02051,Fresh running water,Buckhill Branch,Branch,rises in W Duplin County and flows SW into Buster Hall Branch.,
NCG02052,Population zone,Buckhorn,Community,community in W Orange County.,
NCG02053,,Buckhorn,REFERENCE,See Como.,
NCG02054,Mountain,Buckhorn Bald,Bald,"N Swain County in Great Smoky Mountains National Park on Forney Ridge. Alt. 4,829.",
NCG02055,,Buckhorn Branch,REFERENCE,See Buck Branch.,
NCG02056,Fresh running water,Buckhorn Creek,Creek,rises in SW Gates County and flows SE into Chowan River.,
NCG02057,Fresh running water,Buckhorn Creek,Creek,"rises in SW Wake County and flows SW into SE Chatham County, where it enters Buckhorn Lake on the Cape Fear River.",
NCG02058,Population zone,Buckhorn Crossroads,Community,community in W Wilson County S of Contentnea Creek and W of Buckhorn Branch.,
NCG02059,Fresh running water,Buckhorn Falls,Falls,"in Cape Fear River at the junction of Chatham, Harnett, and Lee Counties. Mentioned as early as 1819 in a survey of the major rivers of North Carolina. Since 1908 the site of a power-generating plant operated by what is now Progress Energy. Navigation locks built there as early as 1805; iron ore mined nearby during the Civil War.",
NCG02060,Mountain,Buckhorn Gap,Gap,N Transylvania County between the head of Avery Creek and Rich Mountain.,
NCG02061,,Buckhorn Iron Furnace,REFERENCE,See Cokesbury.,
NCG02062,Mountain,Buckhorn Knob,Knob,"N Caldwell County. Named by Bryson Coffey about 1870 for a big pair of antlers that he found there. Alt. approx. 1,500.",
NCG02063,,Buckhorn Lake,Lake,"SE Chatham and NE Lee Counties on Cape Fear River. Formed by a dam constructed in 1907, the lake covers 400 acres, with a max. depth of 21 ft. Used to generate hydroelectric power.",
NCG02064,Mountain,Buckhorn Mountain,Mountain,S Macon County between Buckhorn Gap and Cullasaja River.,
NCG02065,,Buckhorn Ridge,Ridge,E Swain County between First Hurricane Branch and Second Hurricane Branch.,
NCG02066,,Buckhorn Swamp,Swamp,rises in NE Robeson County and flows SE into Gallberry Swamp.,
NCG02067,Population zone,Buckhorn Township,Township,SW Wake County.,
NCG02068,Mountain,Buckingham Mountain,Mountain,SW Alamance County.,
NCG02069,Population zone,Buckland,Community,community in N central Gates County. Alt. 32. Settled prior to 1711.,
NCG02070,Fresh running water,Buckland Mill Branch,Branch,"rises in N Gates County, flows sw, and joins Hacklan Branch in forming Cole Creek. Formerly known as Knotty Pine Creek.",
NCG02071,Fresh running water,Buckle Creek,Creek,"rises in SW Bladen County and flows SE into Pender County, where it enters Lyon Creek.",
NCG02072,,Buckle Swamp,Swamp,"rises in SE Bladen County and flows SE into Pender County, where it enters Lyon Creek.",
NCG02073,,Buckleberry Pocosin,Pocosin,SE Bertie County.,
NCG02074,,Bucklesberry Pocosin,Pocosin,"NW Lenoir County. Mentioned in local records as early as 1780. Camp Blackjack (named for the black oak, commonly called blackjack oak), a Civil War training camp on the railroad near La Grange, was in the vicinity.",
NCG02075,,Buckner,REFERENCE,See Colon.,
NCG02076,Fresh running water,Buckner Branch,Branch,rises in S central Swain County and flows NE into Tuckasegee River 1½ mi. W of Bryson City.,
NCG02077,,Buckner's Knob,REFERENCE,See Craggy Pinnacle.,
NCG02078,Population zone,Bucks Corner,Community,community in W Carteret County N of Pettiver's Creek.,
NCG02079,Mountain,Bucks Knob,Knob,E Madison County near the head of East Fork [Bull Creek].,
NCG02080,,Bucks Peak,,SE Alleghany County and NE Wilkes County. Also appears on maps as Buck Mountain and state highway maps as Beech Mountain.,
NCG02081,Fresh running water,Buckskin Branch,Branch,rises in central Duplin County and flows SE into Grove Creek.,
NCG02082,Mountain,Buckwheat Knob,Knob,N Transylvania County on the head of Avery Creek.,
NCG02083,Population zone,Bud,Community,"community in N Ashe County served by post office, 1894-1906.",
NCG02084,Mountain,Bud Lowe Gap,Gap,S Wilkes County near the head of Rocky Creek.,
NCG02085,,Bud Ridge,Ridge,S Buncombe County E of Billy Cove.,
NCG02086,Mountain,Buddy Gap,Gap,S Macon County between Coweeta Creek and Little Tennessee River.,
NCG02087,Fresh running water,Budget Falls,Falls,"in Yadkin River in SE Surry County, W of the junction of Ararat River. Mentioned as early as 1819 in a survey of the rivers of North Carolina.",
NCG02088,,Buena Vista,,"SW Warren County near the Franklin County line, was formerly the home, office, and tavern of Dr. Robert Christian Pritchard. See also Bearpond.",
NCG02089,Fresh running water,Buff Creek,Creek,rises in N Jackson County and flows S into Scott Creek.,
NCG02090,Population zone,Buffalo,Community,community in NE Stokes County near the head of Buffalo Creek.,
NCG02091,Fresh running water,Buffalo Branch,Branch,rises in W Warren County and flows S into Shocco Creek. Mentioned in local records as early as 1764.,
NCG02092,Population zone,Buffalo City,Community,"community on the mainland, W Dare County. Settled 1888. Named for Buffalo City Mills, former sawmill there. Alt. 10.",
NCG02093,Population zone,Buffalo Cove,Community,community in N Caldwell County. Named for the cove in which many buffalo were killed. Settled late eighteenth century.,
NCG02094,Fresh running water,Buffalo Creek,Creek,rises in central Franklin County and flows SW into Tar River.,
NCG02095,Fresh running water,Buffalo Creek,Creek,rises in E Stokes County and flows into Rockingham County and into Mayo River.,
NCG02096,,Buffalo Creek,REFERENCE,See Warrensville.,
NCG02097,Population zone,Buffalo Ford,Community,"community in SE Randolph County served by post office, 1850-1904. Known as Buffaloford after 1894.",
NCG02098,,Buffalo Island,Island,swampy land formation on Potecasi Creek in central Hertford County.,
NCG02099,Fresh running water,Buffalo Island Creek,Creek,rises in N Rockingham County and flows SE into Dan River.,
NCG02100,Mountain,Buffalo Knob,Knob,a stony elevation on the Cleveland-Lincoln county line.,
NCG02101,,Buffalo Lake,Lake,W Harnett County on the headwaters of Reedys Swamp. Approx. ½ mi. long. Alt. 293.,
NCG02102,,Buffalo Race Path,REFERENCE,See Bute County.,
NCG02103,Fresh running water,Buffalo Shoals Creek,Creek,rises in W Iredell County and flows S into Catawba River.,
NCG02104,,Buffaloford,REFERENCE,See Buffalo Ford.,
NCG02105,Fresh running water,Buffeys Branch,Branch,rises in S Transylvania County and flows SW into East Fork French Broad River.,
NCG02106,,Buford,REFERENCE,See Canton.,
NCG02107,Population zone,Buford Township,Township,S central Union County.,
NCG02108,Population zone,Bug Hill,Community,community in SE Columbus County.,
NCG02109,Population zone,Bug Hill Township,Township,SE Columbus County.,
NCG02110,,Buggs Island Lake,REFERENCE,See Kerr Lake.,
NCG02111,Population zone,Buie,Community,"community in N Robeson County. Inc. 1909. Charter repealed 1947, though previously long inactive in municipal affairs. Railroad name was Buies.",
NCG02112,,Buies,REFERENCE,See Buie.,
NCG02113,Population zone,Buies Creek,Community,community in E central Harnett County. Settled in the latter part of the nineteenth century. Inc. 1903; charter repealed 1967. Campbell University is there. Alt. 210.,
NCG02114,Fresh running water,Buies Falls,Rapids,rapids in Cape Fear River in central Harnett County at the junction of Buies Creek with the river. Called Bowies Falls by Hamilton Fulton in his 1819 survey of the rivers of North Carolina.,
NCG02115,,Buies Pond,Pond,"N Robeson County on a branch of Richland Swamp. Covers approx. 150 acres, with a max. depth of 10 to 12 ft.",
NCG02116,Population zone,Buladean,Community,"community in N Mitchell County on Big Rock Creek. Known first as Magnetic City for its location near large deposits of magnetic iron ore. Present name said to have been for Beulah Dean, daughter of the first postmaster.",
NCG02117,,Bull Bay,Bay,"NW Tyrrell County and NE Washington County, formed by the Scuppernong River estuary in Albemarle Sound. Surface area approx, 10,000 acres; max. depth 14 ft.",
NCG02118,,Bull Branch,REFERENCE,See Millers Creek.,
NCG02119,,Bull Cove,Cove,SW Macon County on a tributary of Big Indian Creek.,
NCG02120,Fresh running water,Bull Creek,Creek,"rises in N Buncombe County near Bull Mountain and flows S into Swannanoa River. The last buffalo seen in the county was killed by one of the first white settlers in the vicinity, Joseph Rice.",
NCG02121,Fresh running water,Bull Creek,Creek,rises in NE Washington County and flows NE into Bull Bay.,
NCG02122,Mountain,Bull Creek Gap,Gap,N Madison County between Big Laurel Creek and the head of West Fork [Bull Creek].,
NCG02123,Population zone,Bull Creek Township,Township,"former township in S central Madison County, now township no. 3.",
NCG02124,Mountain,Bull Gap,Gap,"N Buncombe County at the W end of Bull Mountain. Alt. 3,177.",
NCG02125,Population zone,Bull Head Township,Township,NW Greene County.,
NCG02126,Population zone,Bull Hill,Community,community in SW Northampton County.,
NCG02127,,Bull Hill Mill Pond,Pond,SW Northampton County on Wheeler Creek. Covers approx. 400 acres; max. depth 12 ft. Partly a natural lake but enlarged by a dam on the creek. Originally known as Lake Witheranna.,
NCG02128,Mountain,Bull Mountain,Mountain,S Watauga County S of Sims Creek and E of Laurel Creek.,
NCG02129,,Bull Pocosin,Pocosin,"N Sampson County bounded on the S by Goshen Swamp, on the W by Ward Swamp and Craddock Swamp, and on the N by Kill Swamp.",
NCG02130,,Bull Point,Point,"NE Washington County, extends into Bull Bay from the N shore of Bull Creek estuary.",
NCG02131,Mountain,Bull Ruffin Mountain,Mountain,"SE Watauga County. Alt. approx. 4,100.",
NCG02132,Fresh running water,Bull Run Creek,Creek,rises in E central Surry County and flows SE into Ararat River.,
NCG02133,Fresh running water,Bull Tail Branch,Branch,rises in NE Pender County and flows S to join Bullhead Branch in forming Bull Branch.,
NCG02134,Population zone,Bull's Bay,Community,community in NW Tyrrell County. Called Bay when a post office was there. It is on Bull Bay.,
NCG02135,Population zone,Bulla,Community,"community in central Randolph County served by post office, 1882-1903.",
NCG02136,Fresh running water,Bulldie Creek,Creek,rises in NE Swain County and flows SE into Raven Fork.,
NCG02137,,Bulldie Ridge,Ridge,"NE Swain County in Great Smoky Mountains National Park, a spur extending NE from Katalsta Ridge.",
NCG02138,Fresh running water,Bullfrog Creek,Creek,rises in central Currituck County in Great Swamp and flows S into North River.,
NCG02139,Population zone,Bullhead,Community,"community in W Greene County S of Nahunta Swamp near the Wayne County line. Settled as early as 1769. During the Revolution, as British soldiers approached, a ferocious bull was turned loose to frighten them. The soldiers, however, killed the bull, cut off his head, and placed it on a fence post.",
NCG02140,Fresh running water,Bullhead Branch,Branch,rises in NE Pender County and flows S to join Bull Tail Branch in forming Bull Branch.,
NCG02141,Fresh running water,Bullhead Creek,Creek,"rises in S Alleghany County and flows S into Wilkes County, where it enters East Prong Roaring River.",
NCG02142,Mountain,Bullhead Gap,Gap,NE Buncombe County between Craggy Dome and Bullhead Mountain.,
NCG02143,Mountain,Bullhead Mountain,Mountain,"NE Buncombe County in the Great Craggy Mountains. Named for its resemblance to a bull's head. Alt. 5,958.",
NCG02144,,Bullhead Ridge,Ridge,NE Buncombe County between Waterfall and Peach Orchard Creeks.,
NCG02145,,"Bullhole, The",,"section of the shoals on the South Yadkin River bordering Davie and Rowan Counties. Lumbering along the river included use of oxen and mule teams to assist work at sawmills. Heavy rains and a swollen river led to loss of a bull ox, swept into a whirlpool. Area now part of park at Cooleemee Falls.",
NCG02146,,Bullin Creek,REFERENCE,See Britten Creek.,
NCG02147,Mountain,Bullinger Mountain,Mountain,"E Caldwell County. Alt. 1,595. Probably named for Henry Bullinger, eighteenth-century settler.",
NCG02148,,Bullinger's Mill Creek,REFERENCE,See Bristol's Mill Creek.,
NCG02149,Population zone,Bullock,Community,community in NE Granville County. Settled about 1750. Alt. 429.,
NCG02150,,Bullpen Cove,Cove,SE Haywood County on East Fork Pigeon River.,
NCG02151,Mountain,Bullscrape Gap,Gap,"central Avery County. Alt. 3,882. A salt lick there once attracted cattle; bulls scraped the ground with hooves, pawing before charging one another in combat. See also Montezuma.",
NCG02152,,Bulltail Swamp,Swamp,"rises in SE Sampson County and flows SE into Duplin County, where it enters Doctors Creek.",
NCG02153,Fresh running water,Bumgardner Branch,Branch,rises in N Swain County and flows SW into Deep Creek.,
NCG02154,,Bumgardner Ridge,Ridge,"N Swain County in Great Smoky Mountains National Park, a spur extending SW from Sunkota Ridge.",
NCG02155,Fresh running water,Bumgarner Branch,Branch,rises in N Jackson County approx. 2 mi. SE of Sylva and flows SW 1½ mi. into Mill Creek.,
NCG02156,Mountain,Bumgarner Gap,Gap,"N Wilkes County between North Fork Reddies River and Burke Mountain. Named for Daniel Bumgarner, early nineteenth-century resident.",
NCG02157,Mountain,Bumgartner Mountain,Mountain,peak in South Mountains on Burke-Rutherford county line.,
NCG02158,Fresh running water,Bumplanding Creek,Creek,rises in SW Currituck County and flows W into North River.,
NCG02159,,Buna Ridge,Ridge,E Madison County parallel to Holland Branch.,
NCG02160,Population zone,Bunch,Community,"community in SW Randolph County served by post office, 1888-1901.",
NCG02161,Mountain,Bunches Bald,Bald,on the Jackson-Swain county line near the head of Madcap Branch.,
NCG02162,Fresh running water,Bunches Creek,Creek,"rises in NE Swain County in Great Smoky Mountains National Park and flows s, w, and NW into Raven Fork.",
NCG02163,Population zone,Buncombe County,County,"was formed in 1791 from Burke and Rutherford Counties. Located in the W section of the state, it is bounded by McDowell, Henderson, Haywood, Madison, and Yancey Counties. Named for Col. Edward Buncombe (1742-78), a Revolutionary War soldier. Area: 770 sq. mi. County seat: Asheville, with an elevation of 2,216 ft. Townships are Asheville, Avery Creek, Black Mountain, Broad River, Fairview, Flat Creek, French Broad, Ivy, Leicester, Limestone, Lower Hominy, Reems Creek, Sandy Mush, Swannanoa, and Upper Hominy. Produces tobacco, corn, cattle, printed products, engines, cutlery, wine, apparel, electronics, textiles, nursery products, lumber, and crushed stone. Rep. Felix Walker (1753-1828), in ""speaking for Buncombe,"" gave rise to term ""bunk.""",
NCG02164,,Buncombe Hall,,"the home of Col. Edward Buncombe of the Continental Line, who was captured at Germantown and died a prisoner in 1778. Stood 1 mi. W of Roper, NW Washington County.",
NCG02165,,Buncombe Horse Range Ridge,Ridge,S Yancey County between South Fork Upper Creek and Right Prong South Toe River.,
NCG02166,Mountain,Bundle Mountain,Mountain,N Montgomery County between Buck Mountain and Morris Mountain.,
NCG02167,Population zone,Bunn,Town,"town in S Franklin County. Alt. 295. Settled about 1909; inc. 1913. Named for Green Bunn, local resident.",
NCG02168,Population zone,Bunnlevel,Community,"community in S Harnett County. Est. in 1904 or 1905 around railroad depot. Originally called Bunn's Level after a local resident's flat plot of land. Inc. 1921 as Bunlevel, but recently inactive in municipal affairs. Authorized by General Assembly in 1961 to est. municipal government if approved by vote, but the proposition was defeated.",
NCG02169,,Bunton Creek,REFERENCE,See Banton Creek.,
NCG02170,,Bunton Island,Island,"lies off the SW shore of Roanoke Island, E Dare County, in the waters of Croatan Sound.",
NCG02171,Population zone,Bunyan,Community,community in W Beaufort County. Alt. 14. A post office operated there from 1880 to 1902.,
NCG02172,Population zone,Burch,Community,"community in S Surry County. Alt. 881. A former post office named Rusk operated there, 1851-1951.",
NCG02173,Population zone,Burcham,Community,"community in E Wilkes County served by post office, 1882-1901.",
NCG02174,Mountain,Burd Gap,Gap,SW Macon County at the head of Anderson Branch.,
NCG02175,Population zone,Burden,Community,community in NW Bertie County.,
NCG02176,Fresh running water,Burden Branch,Branch,rises in W Wayne County and flows SW into Moccasin Swamp.,
NCG02177,Fresh running water,Burden Creek,Creek,rises in S Durham County and flows SW into Northeast Creek.,
NCG02178,Population zone,Burdett,Community,"community in NE Mecklenburg County. Served by post office, 1880-1903.",
NCG02179,Population zone,Burgaw,Town,"town and county seat, central Pender County. When the county was formed in 1875, it was directed that the place chosen as a county seat should be named Cowan, but an act of 1877 directed that it should be named Stanford. Burgaw was chosen, however, and an act of the General Assembly of 1879 changed the name Stanford to Burgaw and inc. the town. Burgaw appears on maps as early as 1861. See Burgaw Creek for early uses of the name. Alt. 49.",
NCG02180,Fresh running water,Burgaw Creek,Creek,"rises in central Pender County NE of the town of Burgaw and flows SE into Northeast Cape Fear River. Appears on the Collet map, 1770, as Bargaw Creek and on the Mouzon map, 1775, as Bergaw Creek. Burgaw Plantation in the vicinity appears in records of 1764.",
NCG02181,,Burgaw Savannah,REFERENCE,See Big Savannah.,
NCG02182,Population zone,Burgaw Township,Township,central Pender County.,
NCG02183,Mountain,Burger Mountain,Mountain,W Cherokee County between Shoal Creek and Apalachia Lake.,
NCG02184,Population zone,Burgess,Community,community in N side of Harveys Neck in S Perquimans County.,
NCG02185,,Burgin Cove,Cove,SE Buncombe County between Black Mountain and Ridgecrest.,
NCG02186,Fresh running water,Burgin Cove Branch,Branch,rises in SE Yancey County and flows NW into Three Forks Creek.,
NCG02187,Mountain,Burgoin Gap,Gap,E Macon County between Rough Knob and Moses Branch.,
NCG02188,Population zone,Burke County,County,"was formed in 1777 from Rowan County. Located in the W central section of the state, it is bounded by Catawba, Cleveland, Rutherford, McDowell, Avery, and Caldwell Counties. It was named for Thomas Burke (1744-83), member of the Continental Congress and governor of North Carolina. Area: 517 sq. mi. County seat: Morganton, with an elevation of 1,182 ft. Townships are Drexel, Icard, Jonas Ridge, Linville, Lovelady, Lower Creek, Lower Fork, Morganton, Quaker Meadow, Silver Creek, Smoky Creek, Upper Creek, and Upper Fork. Produces corn, soybeans, hay, oats, wheat, poultry, medical supplies, baked goods, textiles, furniture, sand, gravel, and mica.",
