ID,Label,Feature type,Description
NCG03548,Core Banks,Shore,"outer barrier beach extending from Cape Lookout to Swash Inlet along the SE side of Core Sound, E Carteret County. Named for Core Indians. Velasco map, 1611, shows the name Endesoakes at the NE end of Core Banks; the Smith map, 1624, shows the name Salvage Island. Including Portsmouth Island, the Core Banks are approx. 44 mi. long. See also Cape Lookout National Seashore Recreational Area."
NCG03575,Corundum Hill,Hill,E Macon County between Lickskillet Branch and Crows Branch. Named for the mineral found there.
NCG03579,Cossart,District,"term used by Moravians to describe land in what is now Watauga and Wilkes Counties. Appears on the 1757 Bellin map. Title to the tract was taken by Henry Cossart (1714-63), agent who facilitated purchase of Wachovia."
NCG03590,Cotton Hammock,Area,E Carteret County between community of Stacy and Piney Point.
NCG03599,Coulson Ordinary,Area,"appears on the Collet map, 1770, on the Pee Dee River in what is now SE Stanly County E of the town of Norwood. At Colson's Mill nearby, Col. William Lee Davidson's Whig militia defeated Col. Samuel Bryan's Tories in July 1780."
NCG03610,County of Norfolk,District,"was created in 1636 by authorities in Virginia to give Henry Frederick Howard, Lord Maltravers, a specific area for his proposed settlement. Maltravers in 1632 acquired the Heath grant (see Carolana). The new county extended from about the site of present Suffolk, Va., to New Bern, N.C. It was into the area that the earliest settlers of what is now North Carolina began to move from Virginia. The County of Norfolk was soon divided into Upper Norfolk and Lower Norfolk Counties, with the latter containing the region that later became a part of North Carolina."
NCG03647,Cowan's Ford,Transportation,"over Catawba River at the Lincoln-Mecklenburg county line, now under the waters of Lake Norman. Cornwallis, pursuing Gen. Nathanael Greene, crossed the Catawba there after a sharp fight on February 1, 1781, in which Gen. William Lee Davidson was slain."
NCG03653,Cowee,Native American settlement,"chief town of the Middle Cherokees, destroyed by the Rutherford Expedition, 1776. The mound on which the council house stood is a short distance NW of Franklin in central Macon County. The name is believed to have meant ""place of the Deer Clan."" Also spelled Keowee."
NCG03689,Cox's Mill,Mill,"former mill on Deep River, E central Randolph County. Was headquarters of David Fanning, noted leader of N.C. Tories, 1781-82. Appears on the Collet map, 1770. See also Coxsborough; Mill Creek."
NCG03701,Crab Orchard Fields,Area,an open section in E Haywood County between Crabtree Bald and Gudger Knob.
NCG03718,Craggy Gardens,Area,"a 675-acre area in NE Buncombe County N of Craggy Knob. Noted for its native purple rhododendron, which blooms in mid-June."
NCG03741,Crane Ponds,Body of water,"a cluster of half a dozen small natural lakes in NW Onslow County. Apparently first named on Bache's U.S. Coast Survey map, 1865."
NCG03763,Creeds Hill Coast Guard Station,Coast Guard station,"formerly on S Hatteras Island, SE Dare County. First formed as a lifesaving station in 1878-79, it became a Coast Guard Station in 1915 but has since been deactivated."
NCG03778,Cricket Hill,Island,"a man-made island in W Bogue Sound, S Carteret County."
NCG03787,Croatamung,Island,"an island shown on the White map, 1585, in what is now a part of Currituck Banks in E Currituck County. Smith, 1624, calls it Arundells Island; Comberford, 1657, makes it Lucks Island. As the latter, is the N boundary of the Carolina territory granted to the Lords Proprietors in 1663. See also Lucks Island."
NCG03830,Crow Hill,Elevation,"point of land W of Straits, E Carteret County, extending into North River."
NCG03847,Crystal Coast,Business or business district,"modern term used to promote tourism on Bogue Banks and surrounding area, Carteret County."
NCG03885,Cunningham Field,Military base,"U.S. Marine Corps Air Station, 1941, named for aviator A. A. Cunningham. Renamed Cherry Point, which see, 1942."
NCG03896,Currituck Banks,Shore,"or North Banks of Currituck, in E Currituck County, one of the Outer Banks, extends S from Virginia to Bodie Island in E Dare County. All or a part of Currituck Banks is shown as Lucks Island on the Comberford map, 1657. See also Lucks Island; Croatamung; Point Bacon; Goade Island."
NCG03934,Cyprett's Bridge,Transportation,"former bridge over New Hope Creek in NE Chatham County on the road from New Bern by Raleigh to Pittsboro. Also spelled Ceputt's, Cipritz, Cyprits, Cypretz. It was selected in 1793 from seven suggested sites within 15 mi. of which the University of North Carolina was to be located. Later called Prince's Bridge, which see."
NCG03971,Daniel Boone Wildlife Management Area,Reserve,part of Pisgah National Forest in NW Burke County.
NCG03975,Daniel Swash,Waterway,"waterway through a group of unnamed tidal-marsh islands in Pamlico Sound just off Portsmouth Island, E Carteret County."
NCG03995,Dark Corner,Area,"reputed bootlegger haven in SW Henderson County. Now part of Greenville, S.C., watershed."
NCG04009,Dave Rock,Rock,in W Transylvania County E of Bart Branch.
NCG04041,Davis Ford,Transportation,"former ford over Rocky River, Anson-Stanly county line at the mouth of Richardson Creek. John Davis owned a plantation in the vicinity. Richard Lane Ordinary is located at approx. site on the Collet map, 1770."
NCG04044,Davis Landing,Transportation,"on Pungo River, E Beaufort County."
NCG04046,Davis Shore,Shore,E shore of a peninsula in E Carteret County extending into Core Sound.
NCG04047,Davis Slough,Waterway,E Dare County in the waters of Pamlico Sound SW of Oregon Inlet.
NCG04049,Davis White Sulphur Springs,Business or business district,former resort in E Alexander County. Flourished from about 1883 until early twentieth century. Known also as Sulphur Springs. Davis family operated gristmill there before and after the site was popular as a summer resort.
NCG04068,Dead Backwater,Body of water,"a sluggish body of water that flows only at high tide between Bird Island and the mainland of Colkins Neck, extending from inside Mad Inlet to Bonaparte Creek in SW Brunswick County."
NCG04089,Deep Bottom,Creek,"stream, rises in W Washington County and flows NW into Welch Creek. Mentioned in local records as early as 1868."
NCG04143,Delightful Plains,Area,"is shown on the Moseley map, 1733, as extending from the present Big Bay of Bladen County SE and parallel with the present Brown Marsh Swamp."
NCG04198,Devil's Courthouse,Mountain feature,"overhang of Whiteside Mountain, which see, Jackson County."
NCG04202,Devil's Tramping Ground,Area,"W Chatham County 10 mi. S of Siler City, a circular path about 40 ft. in diameter that old-timers say has ""always"" been there. Legend says the Devil appears there at night to walk in a circle while he plots against the good and thinks up new forms of evil. No vegetation will grow in the path."
NCG04203,Devils Court House,Mountain feature,"SW Jackson County, is a N ridge or extension of Whiteside Mountain, which see."
NCG04208,Devils Den,Mountain feature,ridge in S Yancey County extending S between Little Mountain Creek and Long Arm Ridge.
NCG04209,Devils Elbow,Freshwater area,"a sharp bend in the Cashie River, SE Bertie County. Appears on the Collet map, 1770."
NCG04210,Devils Elbow Landing,Transportation,"on Pungo River, E Beaufort County."
NCG04213,Devils Garden,Area,"on the Alexander-Wilkes county line. Alt. 3,428. A rough, rocky area in which rattlesnakes and copperheads are commonly found."
NCG04215,Devils Head,Geological formation,"W Rutherford County near Chimney Rock, a natural rock formation suggestive of the devil's head."
NCG04219,Devils Shoals Ford,Transportation,"former ford across the Catawba River, S Caldwell and NE Burke County. Site now under the waters of Lake Hickory."
NCG04228,Dewey Pier,Transportation,landing in N Tyrrell County on Albemarle Sound W of Ship Point.
NCG04239,Diamond Shoals,Shoal,"a series of three shoals extending SE from Cape Hatteras, which see, into the Atlantic Ocean off SE Dare County. Hatteras Shoals is nearest to the cape, Inner Diamond Shoal is in the middle, and Outer Diamond Shoal extends farthest into the Atlantic. The channel between Hatteras Shoals and Inner Diamond Shoal is Hatteras Slough; Diamond Slough is the channel between the two Diamond Shoals. There, warm Gulf Stream waters collide with cold arctic waters from the n, causing a constant turbulence in the Atlantic. Area known as the ""Graveyard of the Atlantic."" Appears as Sholes of Hatteras on the Moll map, 1729."
NCG04241,Diamond Valley,Valley,in W Macon County between Chestnut Gap and Dicks Creek.
NCG04263,Diggs Ferry,Transportation,over the Pee Dee River about 2 mi. N of the South Carolina line. Formerly known as the Buchanan Ferry.
NCG04282,Dinah Landing,Transportation,"on Upper Goose Creek, central Beaufort County."
NCG04298,District of Washington,District,"in the W territory of North Carolina that is now Tennessee; it developed from the Watauga Settlement, which see, and was recognized by North Carolina in 1776. Delegates attended the Provincial Congress at Halifax in November 1776. The district was the second place in America to be named for George Washington. In 1777 Washington County was formed from the district, and Jonesboro became the county seat. The district was a part of the area ceded by North Carolina in 1789 to the federal government. See also Franklin."
NCG04301,"Ditch, The",Waterway,"waterway from Pamlico River to Goose Creek, E Beaufort County. It separates Reeds Hammock from the mainland."
NCG04343,Dodging Hill,Hill,E Henderson County between Bat Fork and Green River.
NCG04365,Dogs’ Ears,Geological formation,"rock formation near Shulls Mill, S Watauga County."
NCG04419,Doubletop Fields,Area,"grassy pastureland in S Macon County between Buckeye Creek and Hickory Knoll Creek. An early settler cleared land atop the mountain on which he settled as well as on the next mountain, hence the name."
NCG04424,Doughton Park,Reserve,"S Alleghany and N Wilkes Counties, a Blue Ridge Parkway recreation area on Basin Creek. Covers approx. 7,000 acres. Est. about 1935 as Bluff Park; renamed to honor Congressman Robert L. Doughton (1863-1954), who worked for the establishment of the parkway. A high, rolling, bluegrass area terminates there in precipitous bluffs, and stands of rhododendron bloom in May and June. Wild Cat Rock is nearby. See also The Bluffs."
NCG04437,Dowellton,Populated place,central Yadkin County approx. 1½ mi. W of the present courthouse in the vicinity of modern Harmony Grove Church; was the site of the first court held for the new county in 1851.
NCG04482,Dry Ford,Transportation,N Union County in Rocky River.
NCG04548,Dunbars Landing,Transportation,in NW Tyrrell County on the N side of Scuppernong River.
NCG04614,Eagle Cliff,Mountain feature,NE Mitchell County between Fork Mountain and Roan Mountain.
NCG04658,East Fayetteville,Populated place,"unincorporated outskirts of city of Fayetteville, central Cumberland County 1½ mi. E of Market House."
NCG04688,East Gastonia,Populated place,"unincorporated outskirts of city of Gastonia, central Gaston County."
NCG04693,East Lake Landing,Transportation,"NW Dare County on Alligator River. State-operated free ferry from the landing to Sandy Point in NE Tyrrell County was replaced by the Lindsay C. Warren Bridge, 2.83 mi. long and opened in May 1962; named for Lindsay C. Warren (1889-1976), former U.S. congressman and comptroller general."
NCG04700,East Monbo,Business or business district,"now covered by waters of Lake Norman but formerly a community on the Catawba River in W Iredell County. A cotton mill was est. there in the late nineteenth century and named Mont Beau (beautiful mountain) by its owners. The natives soon corrupted the name to Monbo and, since it was on the E side of the river, it became East Monbo (there being another mill on the W side of the river in Catawba County). East Monbo was long a popular picnic and swimming site."
NCG04710,East Rockingham,Populated place,"unincorporated outskirts of town of Rockingham, W Richmond County."
NCG04714,East Wilmington,Populated place,"unincorporated outskirts of the city of Wilmington, W New Hanover County."
NCG04739,Eatons Ferry,Transportation,"in NE Warren County on Roanoke River, was privately owned and operated as early as 1770 and appeared on the Price map, 1808. It was purchased by the state in 1935 and operated until January 1962, when a bridge over Lake Gaston was opened."
NCG04744,Echota Mission,Point of interest,"N Jackson County, maintained by Holston Conference of Methodist Church for Cherokee Indians about 1840-85. School est. 1850. Missionary's house still stands."
NCG04755,Edenton District,District,"at the time of the 1790 census, was composed of Bertie, Camden, Chowan, Currituck, Gates, Hertford, Pasquotank, Perquimans, and Tyrrell Counties and the town of Edenton."
NCG04790,Egg Shoal,Shoal,"in the waters of Pamlico Sound, S Dare County off the S part of Hatteras Island."
NCG04794,Egypt Land,Area,a name applied to the S portion of Vance County because of its reputation at one time as a land of slaves and corn.
NCG04796,Eight-Foot Ditch,Depression,canal in NW Pasquotank County that drains NE into Shepherd Ditch.
NCG04812,Elbow Landing,Transportation,"on Pungo River, E Beaufort County."
NCG04854,Elk Spur,Mountain feature,N Wilkes County near Little Sandy Creek.
NCG04885,Ellicott Rock,Rock,"on the E side of Chattooga River in SW Jackson County at the North Carolina-South Carolina-Georgia state line. A granite boulder indicating the junction was marked in 1813 by and named for Andrew Ellicott (1754-1820), surveyor."
NCG04916,Elwell Ferry,Transportation,across Cape Fear River in SE Bladen County.
NCG04930,Emperor Landing,Transportation,"SW Chowan County in the mouth of Chowan River. Probably named for Emperor Moseley, early landowner."
NCG04937,Endor Iron Works,Business or business district,"on Deep River N of Sanford in Lee County, large smelting furnace provided iron to Confederacy, 1862-65. Operated irregularly thereafter."
NCG04943,Engagement Hill,Sand hill,"a sand hill between the ocean and sound in Nags Head, E Dare County, now covered by houses. A favorite spot for visits by young couples in former days."
NCG04987,Erwinsville,Populated place,"also known as Ervinsville, a former town in SW Cleveland County (then Rutherford County). Inc. 1808; previously inc. as Burrtown in 1800. Located near the mouth of First Broad River and the South Carolina line E of Ellis Ferry. In 1800 the General Assembly authorized 50 acres there to be laid out and sold in lots. Post office est. 1813, active until 1882. Town site later abandoned."
NCG04996,Estatoe Path,Transportation,"S Transylvania County, trading route between settlements of Cherokee Indians and their town of Estatoe, now in South Carolina."
NCG05000,Etacrewac,Island,"appears on the White maps, 1585 and 1590, as an island that today would be bounded on the N by the community of Duck on the North Banks and on the S by a point on Bodie Island opposite Broad Creek Point on Roanoke Island, E Dare County. The name appears to have been Algonquian for ""evergreen-ground."" See also Bodie Island; North Banks. The Smith map, 1624, appears to apply the name Essex Island there."
NCG05038,Evergreen Slough,Waterway,"inlet into E end of Portsmouth Island on Pamlico Sound side, E Carteret County."
NCG05096,Fall Line,Geological formation,the dividing line between Coastal Plain and Piedmont North Carolina where the soft sedimentary soils of the Coastal Plain meet the hard rocks of the Piedmont. It often is marked in streams by falls and rapids. The fall line runs W of Wilson and E of Sanford in an irregular progression N and s.
NCG05159,Fayette District,District,"at the time of the 1790 census, was composed of Anson, Cumberland, Moore, Richmond, Robeson, and Sampson Counties and the town of Fayetteville."
NCG05178,Ferguson Hill,Hill,"central Yancey County between Pine Swamp Branch, Cane River, and Bowlens Creek."
NCG05179,Ferguson Peak,Mountain feature,on the Buncombe-Henderson county line SE of Hickory Nut Gap.
NCG05219,Finger Counties,Region,"five counties in the NE corner of the state—Chowan, Perquimans, Pasquotank, Camden, and Currituck—whose collective geographical mass resembles digits on a hand."
NCG05302,Flat Springs,Area,SW Yancey County at the head of Indian Fork.
NCG05325,"Flatwoods, The",Area,level land at the head of Shoal Creek in SW Henderson County. Settlers moved from nearby mountains into The Flatwoods in late nineteenth century.
NCG05354,Flounder Slue Rock,Island,"two small islands in Pamlico Sound, NE Carteret County N of Portsmouth Island. In 1795 the islands were called Flounder Rocks."
NCG05458,Fort Landing,Transportation,"NE Tyrrell County at the mouth of Alligator Creek. Believed to be the oldest settlement in Tyrrell County, but date unknown. Said to have been named for an old fort that stood near the Alligator Creek landing. The Price map, 1808, shows Warington at the approx. location. Appears as Port Landing on the MacRae map, 1833, but as Fort Landing on subsequent maps."
NCG05461,Fort Macon Village,Populated place,part of the Cherry Point Housing Area in SE Craven County. See also Cherry Point.
NCG05542,Franks Creek Lead,Mountain feature,follows the course of Franks Creek in E Graham County.
NCG05573,Fresh Pond Hill,Sand hill,"a sand hill near Wash Woods 4 mi. S of the Virginia state line on Currituck Banks, NE Currituck County."
NCG05574,Freydeck,Area,"term used by Moravians to describe ""area across the Blue Mountains on New River,"" likely the present Watauga-Wilkes County area. By the account in Bishop Augustus Spangenberg's diary (1752), ""it is very lonesome, not one man lives there."" From the German freideck, meaning blank slate. Appears on the Bellin map, 1757."
NCG05577,Friday Shoals,Shoal,"in South Fork Catawba River, N Gaston County near Hardin. Named for Capt. Nicholas Friday, who settled there about 1760. The court for newly established Lincoln County met at his house in 1783 and 1784."
NCG05596,Frohock Sawmill,Mill,"appears on the Collet map, 1770, as being near the mouth of Hunting Creek in present W Davie County. Undoubtedly owned by John Frohock (d. 1772), colonial official."
NCG05612,Frying Pan Landing,Transportation,E Tyrrell County on The Frying Pan.
NCG05613,Frying Pan Shoals,Shoal,"in the Atlantic Ocean immediately off Cape Fear, the S tip of New Hanover County. Appears on the Collet map, 1770."
NCG05614,"Frying Pan, The",Body of water,"E Tyrrell County, is a large body of water roughly shaped like a frying pan. It flows SE into Alligator River. Appears on the Collet map, 1770."
NCG05621,Fulcher Landing,Transportation,"S Onslow County on New River, now the principal landing at the community of Sneads Ferry, which see."
NCG05630,Fullwood,Reference,or See Matthews.
NCG05652,Gabourel's Bluff,Estate,"was a name applied to an area on the W side of Cape Fear River in present NE Brunswick County. At one time, it was the property of Joshua Gabourel, attorney and a justice of the peace in New Hanover County in 1736. Known as Partridge's Bluff prior to 1735."
NCG05755,General Assembly,Government,"has met in the following places, which see. Bath, Edenton, Fayetteville, Halifax, Halls Creek, Hillsborough, Little River, New Bern, Perquimans County, Raleigh, Smithfield, Tarboro, Wake Court House (Raleigh), and Wilmington. It may also have met at other places, but many records of the seventeenth and eighteenth centuries have not survived."
NCG05763,Geographic Center,Point of interest,"of North Carolina has been determined by the Geological Survey, U.S. Department of the Interior, to be in Chatham County, 10 mi. NW of Sanford. See also Gulf."
NCG05766,George City,Proposal,"proposed provincial capital in what is now NE Lenoir County near Kinston. Authorized to be laid out in 1758 at Tower Hill, which see, but its establishment was not approved by officials in London. The name was intended to honor King George II."
NCG05774,George Town,Populated place,planned and begun in 1786 by George Hazard between Bear Creek and Queens Creek in SE Onslow County. It did not prosper and soon was abandoned.
NCG05780,German's Hill,Hill,"a ridge in NE Caldwell County on which was formerly located a small community (post office name Cilley). Named for Wellborn German, who lived there until 1848."
NCG05821,Gilbert Town,Populated place,"former county seat of Rutherford County, 1781-85. Site, now abandoned, is a short distance N of Rutherfordton in the center of the county on Hollands Creek. Named for William Gilbert, owner of the land. Campsite for both sides prior to Battle of Kings Mountain, October 1780."
NCG05850,Gingerberry,Elevation,"high ground in Murphy Bay, E Bladen County."
NCG05864,"Glade, The",Area,loamy marsh in SE Duplin County.
NCG05897,Glenburnie Gardens,Populated place,"residential area about 3 mi. N of New Bern, central Craven County."
NCG05921,Gloucester District,District,one of the districts into which Caswell County was divided at the time of the 1790 census. It contained 211 heads of families.
NCG05934,Goat Rock,Rock,"E Haywood County on Glade Mountain. Alt. approx. 4,450."
NCG05975,Gooch Peak,Mountain feature,central Buncombe County in the W part of the Elk Mountains.
NCG06017,Goshen Hill,Hill,S Watauga County between Raccoon Branch and Goshen Branch.
NCG06053,Graham's Ferry,Transportation,crossed the Catawba River in NW Mecklenburg County at Lincoln County line.
NCG06055,Grampian Hills,Hill,"a range of hills about 3 mi. long in S Orange County running SW and ne. Named for the Grampian Hills, natural boundary between Scottish Highlands and Scottish Lowlands in Scotland."
NCG06070,Granite City,Geological formation,a formation of granite cliffs S of Devils Court House area between Blackrock Mountain and Chattooga River on the Jackson-Macon county line.
NCG06091,Granville District,District,"was the portion of North Carolina allotted to John Carteret, Earl Granville (1690-1763), one of the Lords Proprietors, who refused to sell his interest in North Carolina to the Crown in 1729. The upper half of present-day North Carolina was included in the district, which extended from the Virginia boundary to 35°34', a strip 60 mi. wide. The southern line was run from the coast to Bath in 1744, to Haw River in 1746, and to Rocky River in 1766. The district was lost to the Granville estate at the time of the American Revolution."
NCG06097,Grapevine Landing,Transportation,SE Tyrrell County on Grapevine Bay.
NCG06124,Grassy Knobs,Mountain feature,S Macon County between Rattlesnake Ridge and Middle Creek.
NCG06138,Graves Ferry,Transportation,"appears on the Moseley map, 1733, over the Neuse River near the mouth of Bachelor Creek, S Craven County. The road from Bath to Wilmington crossed there. A 1901 map shows Nelsons Old Ferry at the site."
NCG06157,Grays Mill,Mill,"appears on the Collet map, 1770, near the mouth of Sawyers Creek, W Camden County."
NCG06177,Great Ditch,Waterway,"waterway between two of the E islands in the Hog Island group, NE Carteret County."
NCG06183,Great Hammock Swash,Waterway,lies between Core Beach and Core Banks (on the sound side) in E Carteret County.
NCG06193,Great Neck Landing,Transportation,E Onslow County on Queens Creek; more recently known as Reed's Landing.
NCG06207,Green Banks Landing,Transportation,"on Cape Fear River, NE Brunswick County."
NCG06260,Greens Land,Area,"is the name applied on the Ogilby map, 1671, to that part of present-day Pamlico County that lies between the Pamlico and Bay Rivers."
NCG06265,Greens Thorofare,Waterway,"channel of water separated from the main body of Neuse River and bypassing a curve in the river in N Craven County. Name appears in local records as early as 1819. Land in the area was included in a 1707 grant to Furnifold Green, killed by the Tuscarora Indians in 1714."
NCG06312,Grinnel Slough,Waterway,stream and swamp in S Pitt County between Contentnea and Swift Creeks and bordered on the S by Neuse River. The stream flows NW into Contentnea Creek.
NCG06349,Guilford Courthouse,Populated place,"former county seat, central Guilford County. Est. 1774; chartered as Martinville, which see, 1785; abandoned 1808. Battle there on March 15, 1781, between American Gen. Nathanael Greene and British general Lord Charles Cornwallis; site now a National Military Park."
NCG06357,Gulf Stream,Seawater area,"is a warm current in the Atlantic Ocean that flows out of the Gulf of Mexico along the E coast of the United States and E in the North Atlantic toward Europe. Along the coast of North Carolina, it approaches Cape Hatteras and gives that part of the state a milder winter than would otherwise be the case. Winter temperatures of the surface waters there are approx. 63°, while summer temperatures are about 80°. The Gulf Stream was first described by Benjamin Franklin, and it appears on a map prepared for him in 1770 by Timothy Folger."
NCG06362,Gull Shoal,Shoal,"a small island in Pamlico Sound off the W shore of Hatteras Island, SE Dare County. The name appears in local records as early as 1794 as ""Gull Shore."""
NCG06396,"Gunt, Gun,",Waterway,"or from the Atlantic Ocean into Pamlico Sound through Bodie Island, opened prior to 1733 and closed in the 1770s. Appears as Gun Inlet on the Moseley map, 1733."
NCG06456,Halifax District,District,"at the time of the 1790 census, was composed of Caswell, Chatham, Granville, Orange, Randolph, and Wake Counties."
NCG06481,Halls Ford,Transportation,S Swain County in Little Tennessee River at Horseshoe Bend.
NCG06482,Halls Harbor,Bay,a natural harbor in the S waters of Currituck Sound in S Currituck County.
NCG06495,Hamburg Ditch,Depression,"flows through Dismal Swamp in NE Gates County, connecting Corapeake Swamp with Cross Canal in NW Camden County. Both canals were known as Cross Canal in 1808 and as White Oak Spring Canal in 1833."
NCG06515,"Hammock, The",Area,"E bank of the mouth of Queens Creek in SE Onslow County. Called Starkey's Hammock in the 1790s, when it was owned by Edward Starkey. Long site of summer meetings by black teachers."
NCG06532,Hancock Town,Native American settlement,"appears on Moseley map, 1733, as Handcocks Town in present Craven County. It was the Tuscarora Indian village of King Hancock, who participated in the 1710 attack on New Bern."
NCG06533,Hancock Village,Populated place,part of Cherry Point housing area in SE Craven County. See also Cherry Point.
NCG06544,Hanging Rock,Rock,E Mitchell County between Hanging Rock Branch and Gouges Creek.
NCG06550,Hangover Lead,Mountain feature,"NW Graham County, extends NW from Saddle Tree Gap to Cold Spring Knob and NE from Cold Spring Knob to Yellow-hammer Gap."
NCG06562,Haoe Lead,Mountain feature,W Graham County between Saddle Tree Gap and Rock Creek Knob.
NCG06563,Haoe Trail,Trail,encircles Joyce Kilmer Memorial Forest in W Graham County and leads through the center of the forest following the main course of Little Santeetlah Creek.
NCG06565,Happy Hill,Hill,S Macon County between High Holly and Pipetrack Gap.
NCG06568,Happy Valley,Valley,the valley of the upper Yadkin River in N central Caldwell County between the town of Patterson and the Wilkes County line. Site of the homes of several prominent early settlers.
NCG06638,Harris Burgh,Populated place,"appears on the Collet map, 1770. It was the location of the Granville County courthouse for various periods between 1746 and 1764 and was located between Hachers Run and Fishing Creek SE of the present town of Oxford. Named for Sherwood Harris, a local citizen. In 1778 it was described by James Iredell as containing ""half a dozen straggling houses, and is a burlesque upon a town."" It continued to exist, however, until Oxford was made the county seat in 1811."
NCG06664,Harshaw Bottom,Area,a sandy strip along the Hiwassee River in E Cherokee County.
NCG06703,Hatteras Woods,Forest,"a heavily wooded area, 8 mi. in length N of Cape Hatteras in SE Dare County. At 2,500 acres, largest maritime forest in North Carolina. Extensive stand of mixed hardwoods and pines. Also known as Cape Hatteras Woods or Buxton Woods Coastal Reserve."
NCG06714,Haw Fields,Region,"name given by traders in the early eighteenth century to the region occupied by Saxapahaw and Sissipahaw Indians between the Haw and Eno Rivers in what is now Alamance and Orange Counties. The Indians had left by the time the first white settlers arrived, and they called the region ""Haw old fields,"" a name mentioned in 1728 by William Byrd. Haw Fields was used in 1736 in connection with a land grant there. Edward Moseley patented 10,000 acres of land in the region on November 6, 1728."
NCG06720,Haw Patch,Area,a level area below the peak of Fork Mountain in N Mitchell County.
NCG06738,Hawkbill Rock,Rock,"prominent rock mass in NE Buncombe County near lat. 35Â°42'30"" N., long. 82Â°24'45"" W., in Pisgah National Forest. When viewed from the valley below, the rock has the appearance of a hawk's bill."
NCG06745,Hawkins Slough,Waterway,"channel among the tidalmarsh islands in White Oak River W of Swansboro, E Onslow County. Named for Bazel Hawkins. Also known as Ward's Creek."
NCG06767,Hayesville,Township,"or former township in NW Franklin County, now township no. 5."
NCG06779,Hayti,Business or business district,"(HAY-tie), African American business district in Durham, ca. 1900-1950. Lost to urban redevelopment and highway construction in 1960s."
NCG06808,Heatherly Height,Elevation,high ground in SE Henderson County.
NCG06824,Heidelburg Ferry,Transportation,"appears on the Moseley map, 1733, on New River in what is now S Onslow County, serving the Bath-New Bern-Wilmington road."
NCG06825,Heights of Gowerie,Elevation,"high bank overlooking Yadkin River, E Rowan County. Site of the home of Albert Torrence (1752-1825), from which Cornwallis cannonaded forces of Gen. Nathanael Greene, 1781."
NCG06863,Henderson's Ferry,Transportation,crossed Catawba River in NW Mecklenburg into Gaston County.
NCG06926,Hickory Basin,Depression,a depression in E Graham County at the head of Shell Stand Creek.
NCG06928,Hickory Bottom,Valley,sandy valley in NW Swain County between Pinnacle Ridge and Hazel Creek.
NCG06937,Hickory East,Populated place,"unincorporated outskirts of city of Hickory, NW Catawba County."
NCG06941,Hickory Flats,Area,E Mitchell County between Beaver Creek and Gouges Creek.
NCG06953,Hickory North,Populated place,"unincorporated outskirts of city of Hickory, NW Catawba County."
NCG06958,Hickory Nut Gorge,Geological formation,"W Rutherford County, through which Broad River flows. A good view of the gorge may be had from atop Chimney Rock."
NCG06995,High Country,Business or business district,"modern name applied to NW North Carolina, especially area around Boone and Blowing Rock, to promote tourism."
NCG06999,High Hampton Estate,Estate,"SE Jackson County on the W edge of Hampton Lake. Estate named for Gen. Wade Hampton, Confederate officer and governor of South Carolina, who had a home there. It is now a private recreation area and resort, High Hampton Inn. Alt. 3,524."
NCG07004,"High Hills, The",Sand hill,"sand dunes on Portsmouth Island about 1 mi. NE of Drum Inlet, E Carteret County."
NCG07011,High Peak,Mountain feature,"N Cherokee County on Hanging Dog Mountain. Also known as High Top. Alt. 4,053."
NCG07013,High Pinnacle,Mountain feature,central Buncombe County NW of Elk Wallow Gap in the Elk Mountains.
NCG07022,High Rock Wildlife Management Area,Reserve,"on High Rock Lake in SW Davidson County. Operated by state of North Carolina on privately owned land. Principal wildlife are deer, turkey, and quail."
NCG07042,Hightop,Mountain feature,"N Henderson County between Baldwin Gap and Terry Gap. Alt. 3,482."
NCG07051,Hildrup,Populated place,"former mining town in S McDowell County in the vicinity of Demming, which see."
NCG07056,Hill's Bridge,Transportation,"nineteenth-century span across Potecasi Creek, N Hertford County between Murfreesboro and Winton. Site of a Civil War skirmish, 1863. U.S. Highway 158 now crosses at or near the site."
NCG07058,Hill's Rock,Transportation,"a landing in SW Carteret County on the mainland side of Bogue Sound. Named for Edward Hill, on whose plantation it was located in the middle of the nineteenth century. Also known as White Rock."
NCG07071,Hillsborough District,District,"was composed of Caswell, Chatham, Granville, Orange, Randolph, and Wake Counties at the time of the 1790 census."
NCG07088,Hinton's Quarter,Populated place,"former site of Johnston County courthouse, NW Johnston County E of Clayton on the S side of Neuse River. Probably named for John Hinton, who owned much land in the area. A courthouse was est. there in 1759 or 1760 and remained until 1771, when it was moved to Smithfield, which see, after the formation of Wake County. Gov. William Tryon, on May 3, 1771, at Smith's Ferry a short distance e, reviewed troops from Wilmington and New Bern en route to suppress the Regulators."
NCG07090,Hirams Hill,Sand hill,"a sand hill on Bogue Banks, SW Carteret County. Site of former community. Named for Hiram Moore."
NCG07103,"Hobby Hole, The",Depression,"a deep hole in Contentnea Creek approx. 3 mi. below Ruffin's (formerly Peacock's) Bridge SE of Stantonsburg on the Greene-Wilson county line. Traditionally reputed to be ""bottomless."" Its max. depth in 1923 was only 58 ft; by 1955 it had largely filled up."
NCG07126,Hog Hill,Hill,"SE Catawba County. Named for the fact that early settlers branded their hogs and let them roam there until fall, when they were taken home to be fattened."
NCG07129,Hog Island Narrows,Waterway,"NE Carteret County, connects Cedar Island Bay with Back Bay."
