ID,Label,Feature type,Meta-Category,Description
NCG04116,Deep Run Swamp,Swamp,Wetlands,rises in E Martin County and flows NW into Gardners Creek.
NCG04118,Deep Water Point,Point,Landform,"appears on the Moseley map, 1733, in what is now Brunswick County between Elizabeth River and Walden Creek, E of the present town of Southport. Appeared as late as 1851-53 on navigation charts. See also Walkersburg."
NCG04124,Deer Island,Island,Landform,SE Onslow County W of Swansboro in the mouth of Hawkins Slough. Formerly 3 acres but now considerably reduced. The name is now applied to the nearby peninsula between Swansboro and The Hammock.
NCG04140,Del Mar Beach,Beach,Landform,SE Pender County on the Atlantic Ocean side of Topsail Island.
NCG04147,Dellinger Hollow,Valley,Landform,in E Mitchell County between Long Ridge and the Avery-Mitchell county line.
NCG04154,DeLoatche's Mill Pond,Pond,Water,central Northampton County on Potecasi Creek.
NCG04171,Denniss Island,Island,Landform,"formerly an island in present Currituck Banks, E Currituck County. It was separated from Currituck Banks by Currituck Inlet on the N and Musketo Inlet on the s, both of which are now closed. Shown on Comberford map, 1657. See also Currituck Inlet; Musketo Inlet."
NCG04187,"Desert, The",Pocosin,Wetlands,"a pocosin in N Robeson County between Big Raft Swamp and Big Marsh Swamp. Oval shaped and presumed to be one of the Carolina Bays, which see. Covers 1,200 acres; water depth varies from 6 in. to 4 ft. Game abounds there, especially deer."
NCG04190,Deserter Island,Island,Landform,a land formation in S Duplin County surrounded by swamp.
NCG04201,Devil's Kitchin,Pocosin,Wetlands,pocosin in N Pender County adjacent to Stag Park tract.
NCG04243,Dick Cove,Cove,Water,central Cherokee County at the headwaters of Dick Branch.
NCG04290,Dismal Bay,Bay,Water,sand-filled bay in S Sampson County N of Keiths Bay. See also Carolina Bays.
NCG04292,Dismal Cove,Cove,Water,SW Macon County at the head of Pat Stable Branch.
NCG04295,Dismal Swamp,Swamp,Wetlands,"marsh, lake, and cypress-filled area approx. 30 mi. long and 10 mi. wide, largely in SE Virginia but partially in Gates, Pasquotank, Camden, and Currituck Counties. Appears on the Dudley map, 1647, as ""Terra Bassa"" (low land) and on the Comberford map, 1657, as ""a swampy wilderness."" Present name might have been known as early as 1715, when the term ""dismal swamp"" was applied to the Pasquotank County area by John Talbot in a letter to John Urmston, a missionary to the colony for the Society for the Propagation of the Gospel. Shown on the Moseley map, 1733, as Great Dismal Swamp (the name it is sometimes called today) and as Dismal Swamp on the Mitchell map, 1755. George Washington initiated surveys in 1763 for a canal. The Intracoastal Waterway now passes through the swamp. Also called The Desert in North Carolina."
NCG04314,Dixon Point,Point,Landform,"S Onslow County, extends into Stump Sound from the mainland."
NCG04319,Dobbins Mill Pond,Pond,Water,"central Yadkin County on North Deep Creek, covers approx. 25 acres. Max. depth 30 ft. Formed 1936 by Nelson Dobbins. Used for fishing, boating, irrigation, waterskiing."
NCG04355,Dog Cove,Cove,Water,E Swain County on the head of Wesser Creek between Middle Ridge and Odear Cove.
NCG04358,Dog Island,Islands,Landform,"formerly a single island in Bogue Sound near Bogue Banks, S Carteret County. Appears on the Moseley map, 1733. Now three small islands."
NCG04384,Doolittle Mill Pond,Pond,Water,N Northampton County on Paddys Delight Creek. Covers approx. 75 acres. Max. depth 10 ft.
NCG04388,Dora's Island,Island,Landform,SE Onslow County in the mouth of Queens Creek.
NCG04444,Dowry Island,Island,Landform,about Â¼ mi. long in Chowan River on the Gates-Hertford county line.
NCG04449,Dram Tree Point,Point,Landform,"extends from Eagles Island, W New Hanover County, into Cape Fear River. Named for an old moss-covered cypress tree that stood there; it is said that outgoing mariners, in passing the point, had a drink to the success of their voyage. To those inward bound, it was a welcome signal that port was near."
NCG04462,Drowned Bay,Swamp,Wetlands,"mucky swamp, SW Brunswick County."
NCG04472,Drum Point,Point,Landform,point on mainland of NE Carteret County extending into mouth of Nelson Bay.
NCG04474,Drummond's Point,Point,Landform,"SE tip of Chowan County extending into the mouth of Yeopim River. Named before 1700 for William Drummond (d. 1677), first governor of Albemarle under the Lords Proprietors. Appears on the Moseley map, 1733. Site of one of the largest early seine fisheries on Albemarle Sound."
NCG04487,Dry Lake,Lake,Water,NE Surry County. Formed in 1937 by the construction of a dam across a dry hollow into which a small unnamed stream was diverted. Covers approx. 8 acres; max. depth 15 ft. Municipal water supply for Mount Airy.
NCG04489,Dry Pocosin,Pocosin,Wetlands,a muck-filled pocosin in E Duplin County.
NCG04510,Duck Island,Island,Landform,in Roanoke Sound at the S end of Bodie Island in E Dare County.
NCG04512,Duck Pond Swamp,Pocosin,Wetlands,"pocosin in E central Cumberland County drained by Reese Creek. One of the Carolina Bays, which see."
NCG04522,Dudley's Island,Island,Landform,E Onslow County in the mouth of White Oak River at Bogue Inlet.
NCG04527,Duges Island,Island,Landform,E Carteret County in Core Sound near Core Banks.
NCG04532,Duke Forest,Forest,Landform,"W Durham and E Orange Counties, consists of a total of 7,020 acres in 5 main units. Est. 1931, it is owned by Duke University and used for demonstration, an experimental forest, and an outdoor laboratory for students in forestry. There are recreational areas and provisions for picnickers, hikers, and horseback riders."
NCG04535,Duke Swamp,Swamp,Wetlands,rises in N Gates County and flows S to join Raynor Swamp and Harrell Swamp in forming Bennetts Creek.
NCG04563,Dunn Swamp,Swamp,Wetlands,rises in NW Columbus County and flows NW into Porter Swamp.
NCG04570,Dunsmore Cove,Valley,Landform,"valley of Dunsmore Cove Branch, SE Buncombe County near Ridgecrest."
NCG04577,Durant Island,Island,Landform,"N Dare County in Albemarle Sound; about 5 m. long from E to W and 3 mi. N to S at the widest. Appears on the Moseley map, 1733."
NCG04578,Durant Point,Peninsula,Landform,"peninsula extending from the S part of Hatteras Island, S Dare County, into Pamlico Sound N of Sandy Bay."
NCG04592,Dutch Cove,Cove,Water,E Haywood County on the head of Dutch Cove Creek.
NCG04623,Eagle Rock Cove,Valley,Landform,"valley of Eagle Rock Creek, NE Buncombe County."
NCG04626,Eagle Swamp,Swamp,Wetlands,rises in N Lenoir County and flows SE into Contentnea Creek.
NCG04631,Eagles Island,Islands,Landform,"a group of swampy islands in W New Hanover County between Cape Fear and Brunswick Rivers opposite Wilmington. Named for Joseph and Richard Eagle, eighteenth-century settlers in the vicinity. See also Dram Tree Point. Appears as Cranes Island on the Ogilby map, 1671."
NCG04632,Eagleton Point,Point,Landform,"point of land extending NW from Colington Island into the waters of Kitty Hawk Bay, N Dare County. Also known as North Point and Eggleston Point."
NCG04643,Eason Millpond,Millpond,Water,W Pitt County on Kitten Creek.
NCG04646,East Bay,Bay,Water,"in N Piney Island E of Rattan Bay, NE Carteret County. Approx. Â¾ mi. long and Â½ mi. wide."
NCG04650,East Bluff Bay,Bay,Water,S Hyde County in Pamlico Sound E of Bluff Point.
NCG04656,East Dismal Swamp,Swamp,Wetlands,"a 20,000-acre area of peat and muck swamp extending NE from N Beaufort County across S and E Washington County into W Tyrrell County. See also Dogwood Ridge; New Lands."
NCG04668,East Fork Lake,Lake,Water,"in central Jackson County on Tuckasegee River. Formed in 1955 to be a reservoir for Nantahala Power and Light Company. Combines with Wolf Creek Lake, which see, to generate hydroelectric power. Covers 40 acres, with max. depth of 120 ft. Shoreline is 3.2 mi. Named for East Fork of Tuckasegee River, an old name for the Tuckasegee River."
NCG04691,East Lake,Lake,Water,"lake on the mainland of N Dare County, empties into the mouth of Alligator River."
NCG04727,Eastmost Swamp,Swamp,Wetlands,rises in E central Bertie County and flows S into Salmon Creek.
NCG04728,Eastmouth Bay,Bay,Water,in the waters of Core Sound between the two large islands comprising Harkers Island in SE Carteret County.
NCG04732,Eastwood Lake,Lake,Water,"S Orange County in NE Chapel Hill. Formed in 1937 by a dam on Booker Creek. Approx. Â¾ mi. long, covering 58 acres, with a max. depth of about 20 ft. Now the center of a residential area."
NCG04751,Edenhouse Point,Point,Landform,"point of land extending into Chowan River, E Bertie County. Location of an early seine fishery."
NCG04754,Edenton Bay,Bay,Water,"S Chowan County in Albemarle Sound. Formed by the mouth of Pembroke Creek. Covers approx. 4,000 acres."
NCG04767,Edith Lake,Lake,Water,S Henderson County on Green River. Approx. 1Â½ mi. long.
NCG04775,Edward Cove,Cove,Water,S Haywood County on a tributary of Bird Creek.
NCG04783,Edwards Pocosin,Pocosin,Wetlands,S Northampton County between Lily Pond Creek and Quarter Swamp.
NCG04802,Ela Lake,Lake,Water,on Oconaluftee River in E Swain County. Covers 20 acres; max. depth 15 ft. Formed in 1925. Owned by the Aluminum Company of America and used to generate electric power. Formerly known as Onitalooga Lake.
NCG04868,Elkton Swamp,Swamp,Wetlands,rises in S Bladen County and flows S into Brown Marsh Swamp.
NCG04879,Eller Cove,Cove,Water,S Graham County between Horse Range Ridge and Atoah Gap.
NCG04880,Eller Cove,Valley,Landform,N Buncombe County between Little Davis and Lydie Mountains.
NCG04892,Elliott Cove,Cove,Water,N Swain County between Sunkota Ridge and Deep Creek.
NCG04897,Ellis Lake,Lake,Water,"a natural lake in Croatan National Forest, S Craven and N Carteret Counties. Covers 1,500 acres; max. depth 4 to 5 ft. Named for the Ellis family, which lived on its shores."
NCG04951,Enka Lake,Lake,Water,central Buncombe County on Bill Moore Creek. Covers 40 acres; max. depth 40 ft. Owned by American Enka Corp. as a source of water for rayon manufacturing. Formed 1928.
NCG04954,Ennetts Point,Point,Landform,"W Carteret County, extending into Bogue Sound W of the mouth of Deer Creek. Named for the Ennett family."
NCG04989,Eskridge Cove,Valley,Landform,the valley through which Eskridge Cove Branch flows in SE Buncombe County.
NCG05003,Etheridge Swamp,Swamp,Wetlands,receives the waters of Etheridge Creek on the Halifax-Edgecombe county line and flows SE into Conoho Creek in Martin County.
NCG05005,Ethram Boney Bay,Marsh,Wetlands,a large sandy loam marsh in S Duplin County.
NCG05009,Euchulla Cove,Cove,Water,W Swain County between Wiggins Creek and Nantahala River.
NCG05016,Eury Lake,Lake,Water,"central Montgomery County on Little River, approx. 8 mi. S of Troy. Constructed about 1914 by S. J. and W. G. Smitherman and J. C. Hurley to provide electric power. Covers 80 acres, with a shoreline of approx. 3 mi. Later owned by Carolina Power and Light Company but sold in 1962 to the Montgomery County Hunt Club, Inc. Known as Hurley Lake until 1916, when the present name came into use."
NCG05035,Everetts Mill Pond,Pond,Water,"in SW Richmond County on Marks Creek, approx. 1 mi. long."
NCG05037,Evergreen Island,Island,Landform,"Pamlico Sound just off the central section of Portsmouth Island, E Carteret County."
NCG05062,Fain Cove,Cove,Water,"E Cherokee County, through which a short tributary of Slow Creek flows."
NCG05072,Fairfield Lake,Lake,Water,"S Jackson County on Trays Island Creek formed in 1910. Covers 100 acres; max. depth 40 ft. Used for fishing, swimming, and boating and as a power source. Not open to the public. See also Fairfield Falls."
NCG05103,Falling Hollow,Valley,Landform,SW Watauga County on the head of Watauga River.
NCG05111,Falls Lake,Lake,Water,"was built by the U.S. Army Corps of Engineers by damming the Neuse River at the community of Falls in Wake County. Provides water supply, recreation, and flood control. Main body of 20 sq. mi. Lake is in Durham and Wake Counties."
NCG05125,Faraby Island,Island,Landform,"a narrow sandy loam island about 1 mi. long in the mouth of North Landing River, NE Currituck County. Sometimes called Ferebee's Island."
NCG05127,Farley Cove,Cove,Water,follows the SE course of a small stream flowing into Santeetlah Lake in W central Graham County.
NCG05140,Farnell Bay,Bay,Water,"central Onslow County, is formed by an indentation of the E bank of New River SE of Hadnot Point."
NCG05141,Farnell Point,Point,Landform,central Onslow County on the mouth of Wallace Creek.
NCG05145,Farrars Island,Island,Landform,"in the Cape Fear River at the junction of the Chatham, Harnett, and Lee county lines NW of Buckhorn Falls. Approx. 1Â½ mi. long. Mentioned as early as 1819 in a survey of the rivers of the state."
NCG05147,Fate Puett Cove,Cove,Water,E Cherokee County on the headwaters of Burl Branch SE of Indian Grave Gap.
NCG05162,Fed Cove,Cove,Water,on a tributary of Caler Fork in E Macon County.
NCG05164,Federal Point,Point,Landform,projects from the S tip of New Hanover County between Cape Fear River and the Atlantic Ocean.
NCG05203,Figure Eight Island,Island,Landform,E New Hanover and Pender Counties between Middle Sound and the Atlantic Ocean and extending from Mason Inlet on the S to Rich Inlet on the n. In 1965 work was begun to develop the island into a private gated resort community. A 260-foot causeway and a bridge over the Intracoastal Waterway connect it with the mainland.
NCG05208,Finch Cove,Cove,Water,E Haywood County on Rush Fork.
NCG05209,Finch's Mill Pond,Pond,Water,"W Wilson County on Bloomery Swamp. Formed 1875 and named for owner. Covers 30 acres; max. depth. 10 ft. Fishing, boating. Finch Mill post office, 1898-1901."
NCG05235,Fish Hawk Point,Point,Landform,NE Carteret County extending into Rumley Bay.
NCG05243,Fisher Lake,Lake,Water,on a tributary of Watkins Creek in S Macon County.
NCG05246,Fisher Swamp,Swamp,Wetlands,rises in NE Craven County and flows SW into Little Swift Creek.
NCG05248,Fisherman Bay,Bay,Water,E Pamlico County in the Bay River estuary.
NCG05249,Fisherman Islands,Islands,Landform,"two small tidal-marsh islands, E Pamlico County in the Bay River estuary SE of Bay Point."
NCG05306,Flat Swamp,Swamp,Wetlands,"rises in SW Onslow County and flows NW into Pender County, where it enters Shaking Creek."
NCG05332,Fleetwood Point,Point,Landform,extends from mainland of NE Dare County into Croatan Sound.
NCG05355,Flower Cove,Cove,Water,S Swain County on the head of Marr Branch.
NCG05360,Flowers Swamp,Swamp,Wetlands,rises in E Robeson County and flows SW into Lumber River.
NCG05373,Folly Swamp,Swamp,Wetlands,rises in NE Gates County and flows E into Dismal Swamp.
NCG05376,Fontana Lake,Lake,Water,"N Graham and W and central Swain Counties on Little Tennessee River and its tributaries. Forms the S boundary of the Great Smoky Mountains National Park. Dam begun in 1941, completed in 1945, forms the lake, largest of the Tennessee Valley Authority system. Max. depth 480 ft. The lake, 30 mi. long, has a shoreline of 248 mi. and covers 10,530 acres at full lake. Provides flood control, electric power, and recreation facilities. The dam there is the highest in E America. Alt. 1,710. See also Fontana and Fontana Village."
NCG05383,Forbes Bay,Bay,Water,E Pasquotank County between Cottage Point and Cobb Point on the Pasquotank River.
NCG05384,Forbes Millpond,Millpond,Water,central Pitt County on Greens Mill Run.
NCG05407,Fork Point,Point,Landform,a peninsula in W Beaufort County between Chocowinity Bay and Pamlico River.
NCG05408,Fork Point,Point,Landform,point of land at the mouth of Bond Creek in SE Beaufort County at Pamlico River.
NCG05409,Fork Point Island,Island,Landform,"in Chocowinity Bay, W Beaufort County. Approx. 1/10 mi. long."
NCG05415,Fork Swamp,Swamp,Wetlands,rises in central Pitt County and flows S into East Branch.
NCG05455,Fort Island,Island,Landform,a large sandy area in Big Pocosin in SW Gates County about 1 mi. N of Chowan River. Named for George Fort.
NCG05472,Fortin Island,Island,Landform,"the westernmost of a small group of islands in Core Sound about 3 mi. SE of community of Davis, SE Carteret County."
NCG05476,Foster Cove,Cove,Water,N Graham County between Carringer Gap and Bee Creek.
NCG05502,Fowler Cove,Cove,Water,in N Swain County on the head of North Fork [Chambers Creek].
NCG05515,Foxes Island,Island,Landform,"central Harnett County in Cape Fear River NW of Lillington. Mentioned in Fulton's survey of North Carolina rivers in 1819 and appears on the MacRae map, 1833. A series of low falls or rapids there, known as Fox Island Falls, drop between 5 and 10 ft. over a distance of about a quarter of a mile."
NCG05522,Francis Cove,Cove,Water,in S Haywood County on the head of Raccoon Creek.
NCG05575,Friar Swamp,Swamp,Wetlands,rises in N Columbus County and flows SW into Lake Waccamaw.
NCG05576,Friars Cove,Cove,Water,SE Buncombe County between High Hickory Ridge and Eskridge Cove.
NCG05590,Frog Level Swamp,Swamp,Wetlands,SW Bertie County.
NCG05603,Frozen Lake,Lake,Water,S Transylvania County on Frozen Creek.
NCG05619,Fulbright Cove,Cove,Water,central Haywood County 1 mi. N of Lake Junaluska.
NCG05626,Fulford Point,Peninsula,Landform,"peninsula extending off the NW side of Goose Creek Island into Goose Creek estuary, NE Pamlico County."
NCG05657,Gaddy's Goose Pond,Pond,Water,N central Anson County near Ansonville. Est. 1934 by Lockhart Gaddy when 9 geese were offered winter protection and food. Thousands of geese now winter there.
NCG05671,Gallant Point,Point,Landform,a point of land in S Carteret County extending into the mouth of Newport River. Separated from Beaufort by Town Creek.
NCG05674,Gallberry Swamp,Swamp,Wetlands,rises on the Cumberland-Robeson county line and flows SE to join Big Marsh Swamp in forming Big Swamp.
NCG05688,Gap Bay,Bay,Water,boggy area on the Pender-Sampson county line SE of Newtons Crossroads. See also Carolina Bays.
NCG05691,Gap Point,Point,Landform,"SE Hyde County, extends into Pamlico Sound from the SE end of Ocracoke Island."
NCG05692,Gapway Swamp,Swamp,Wetlands,"rises in SW Columbus County and flows NW into South Carolina, where it enters Lumber River."
NCG05709,Garlington's Island,Island,Landform,"a spur of high land containing approx. 250 acres extending from the center of Camden County through North River Pocosin to a point on Crooked Creek 2 mi. from North River. Named because it was the site of the home of Capt. James S. Garlington, commander of two companies raised for service in the War of 1812. Also known as Garrenton's Island."
NCG05712,Garner Cove,Cove,Water,S Haywood County on the head of Raccoon Creek.
NCG05717,Garr Island,Island,Landform,"in the waters of Pamlico Sound off the N tip of Pea Island, E Dare County."
NCG05728,Garrison Point,Point,Landform,"point of land on the S side of Pamlico River, central Beaufort County near the mouth of Durham Creek. A fort or garrison was erected there in 1711 during the Tuscarora War. See also Durham Creek."
NCG05750,Gaylords Island,Island,Landform,"high ground in Pantego Swamp, E Beaufort County. Known as Gaylords Hammock (also spelled Gailors Hammock) as early as 1754."
NCG05783,Germany Cove,Cove,Water,in central Haywood County on a tributary of Hemphill Creek.
NCG05797,Gibbs Lake,Marsh,Wetlands,marsh in SE Duplin County.
NCG05799,Gibbs Point,Point,Landform,extends into Pamlico Sound from the E mainland of Hyde County.
NCG05807,Gibson Cove,Cove,Water,S Swain County E of Wesser Creek.
NCG05811,Gibson Pond,Pond,Water,E central Richmond County on Ghock Fork.
NCG05817,Gideon Swamp,Swamp,Wetlands,rises in N Nash County and flows SE into Sandy Creek.
NCG05846,Gilmore Swamp,Swamp,Wetlands,rises in NE Sampson County and flows SE into Six Runs Creek.
NCG05891,Glen Cove,Valley,Landform,the valley through which Glen Cove Branch flows in SE Buncombe County.
NCG05929,Goade Island,Island,Landform,"a name applied on the Smith map, 1624, to the S extremity of Currituck Banks, E Currituck County."
NCG05931,Goat Island,Island,Landform,E Pasquotank County N of Elizabeth City in the Pasquotank River.
NCG05955,Gold Park Lake,Lake,Water,"on an unnamed stream in S central Wayne County. Formed by an artificial dam in 1940; max. depth 10 ft.; area 20 acres. Swimming facilities; open to public. First named Woodland Lake; name changed in 1954 to present name based on name of county seat, Goldsboro."
NCG05969,Goldsboro Cooling Pond,Pond,Water,"in W central Wayne County about 5 mi. W of county seat. Impounded in 1961 to cover 575 acres, with max. depth of 15 ft. and a shoreline of 4.6 mi. Used to provide supplementary cooling for the Goldsboro Steam Electric Generating Plant and named for same. Lies in a looping meander of Neuse River (though its water level is as much as 22 ft. above that of the river), and its water covers the site of an old Quaker meetinghouse. The upper meander loop forms an area known as Quaker Neck; the lower meander loop was known as The Roundabout in the 1830s."
NCG05983,Goodman Swamp,Swamp,Wetlands,"rises in S Nansemond County, Va., and flows S into Gates County, where it enters Duke Swamp."
NCG05984,Goodmans Island,Island,Landform,"in SE Bertie County between the mouth of Cashie River and Eastmost River. Irregularly shaped, it measures approx. 1Â¼ mi. in width and length from its most distant points. See also Purchace Islands."
NCG05989,Goodwin Forest,Forest,Landform,"central Moore County, a tract of 1,122 acres owned by James L. Goodwin from 1930 until his death in 1967, when it was given to North Carolina State University for use in education, research, and recreation. Net proceeds are used for scholarships. Pine and hardwoods grow in the forest."
NCG05991,Goodwin Mill Pond,Pond,Water,"approx. 1Â½ mi. long, on Goodwin Creek, W Perquimans County."
NCG05992,Goose Bay,Bay,Water,"off the SE end of the largest island in the Hog Island group, NE Carteret County."
NCG05993,Goose Bay Point,Point,Landform,"at the S tip of the largest island in the Hog Island group, NE Carteret County."
NCG05997,Goose Creek Island,Island,Landform,"the NE neck of Pamlico County cut off from the mainland by the Intracoastal Waterway. Near the end of the nineteenth century, Goose Creek Island post office served the area. The North Carolina Wildlife Resources Commission maintains the Goose Creek Wildlife Management Area of 5,865 acres W of the Intracoastal Waterway in Beaufort and Pamlico Counties. See also Greens Land."
NCG06000,Goose Island,Island,Landform,in Core Sound near Core Banks in E Carteret County.
NCG06005,Goosecastle Point,Point,Landform,neck of land extending from N end of Church Island into Currituck Sound in central Currituck County.
NCG06013,Gorvas Island,Island,Landform,"an island of uncertain identity shown on the Moll map, 1729, within the bounds of present Currituck County."
NCG06018,Goshen Swamp,Swamp,Wetlands,"rises in NE Sampson County and flows SE into Duplin County, where it continues SE until it enters Northeast Cape Fear River. Appears on the Collet map, 1770. Holley's Mill is also shown on the Collet map as being near the headwaters of the stream."
NCG06019,Goss Swamp,Swamp,Wetlands,rises in SE Wilson County and flows SW into Toisnot Swamp. Known earlier as Goff's Swamp.
NCG06031,Governors Island,Island,Landform,loamy section in E Swain County on Tuckasegee River extending SE from the mouth of Galbreath Creek to the mouth of Johnson Branch.
NCG06033,Gowans Cove,Cove,Water,"NW Cherokee County, through which an unnamed stream flows into Shuler Creek."
NCG06094,Grape Cove,Cove,Water,S Swain County between Mica Knob and Marr Branch.
NCG06096,Grapevine Bay,Bay,Water,SE Tyrrell County in Alligator River.
NCG06118,Grassy Islands,Islands,Landform,"several islands in Pee Dee River N of Blewett Falls Lake on the Anson-Richmond county line. Shown on the Price map, 1808, and the MacRae map, 1833."
NCG06127,Grassy Point,Point,Landform,E Beaufort County on Pungo River.
NCG06139,Graveyard Cove,Cove,Water,"in White Oak River, W Carteret County, a short distance N of the community of Stella. Named for nearby cemetery."
NCG06145,Gray Swamp,Swamp,Wetlands,S Pasquotank County between Little Flatty Creek and Big Flatty Creek.
NCG06147,Gray's Point,Point,Landform,central Onslow County in S Farnell Bay.
NCG06162,Greasy Cove,Cove,Water,NW Buncombe County SE of Rogers Gap.
NCG06167,Great Alegator Dismal Swamp,Swamp,Wetlands,"appears on the Collet map, 1770, as the large swampy area in much of present Tyrrell, Dare, and N Hyde Counties."
NCG06178,Great Dover Swamp,Swamp,Wetlands,"is located in NE Jones County and SW Craven County; drains SW into Trent River and its tributaries. Mill Branch, Moseley Creek, Bachelor Creek, Grape Creek, Rollover Creek, and Cove Creek rise in Great Dover Swamp."
NCG06186,Great Island,Island,Landform,NE Tyrrell County in the mouth of Alligator Creek.
NCG06187,Great Island Bay,Bay,Water,"in Core Sound against the Core Banks, E Carteret County."
NCG06188,Great Lake,Lake,Water,"a natural lake in Croatan National Forest, S Craven County. Covers approx. 2,600 acres; max. depth 4 to 5 ft. One of several lakes in Lakes Pocosin."
NCG06196,Great Pond,Pond,Water,"in the NW part of Hog Island on the S side of Pamlico Sound, NE Carteret County."
NCG06197,Great Sandy Run Pocosin,Pocosin,Wetlands,W Onslow County between Shelter Swamp and Sandy Run Swamp.
NCG06201,Great Swamp,Swamp,Wetlands,rises in N Tyrrell County and flows N into Albemarle Sound.
NCG06217,Green Island,Island,Landform,"in the waters of Pamlico Sound off the N tip of Pea Island, E Dare County."
NCG06228,Green Point,Point,Landform,NE Carteret County on W side of central Cedar Island extending into West Bay.
NCG06234,Green Swamp,Swamp,Wetlands,"NW Brunswick and E Columbus Counties, an area of approx. 140 sq. mi. of peat and muck timberland. In 1795 the state of North Carolina granted 170,120 acres there to Benjamin Rowell, William Collins, and Stephen Williams. See also River View Community."
NCG06235,Green Swamp,Swamp,Wetlands,"N Pender County between Angola Bay and Northeast Cape Fear River, drains SW into Northeast Cape Fear River."
NCG06250,Greenfield Lake,Lake,Water,"a natural lake now within the limits of city of Wilmington, W New Hanover County. Covers 125 acres; max. depth 12 ft. Mentioned by name in the will of Dr. Samuel Green, original owner, about 1760. A municipal park and garden surround the lake."
NCG06262,Greens Millpond,Millpond,Water,W central Gates County on Cole Creek. Covers approx. 30 acres; max. depth 8 ft. Formerly known as Lilleys Millpond.
NCG06263,Greens Point,Point,Landform,"a projection of N Hatteras Island into Pamlico Sound, E Dare County beside the community of Rodanthe."
NCG06269,Greenville Sound,Sound,Water,E New Hanover County between Middle Sound on the N and Masonboro Sound on the s.
NCG06281,Gresham's Lake,Lake,Water,"in central Wake County on Perry Creek NE of city of Raleigh. Formed in 1939 to cover 100 acres, with a max. depth of 30 ft. Named for owner, S. T. Gresham. Used for boating and fishing."
NCG06298,Grill Cove,Cove,Water,NW Swain County in Great Smoky Mountains National Park on Ekaneetlee Creek.
NCG06300,Grimes Millpond,Millpond,Water,"E Pitt County, drains into Chicod Creek."
NCG06306,Grindle Pocosin,Pocosin,Wetlands,N Pitt County.
NCG06314,Grissett Swamp,Swamp,Wetlands,rises in SW Columbus County and flows SE into Monie Swamp.
NCG06341,Guerilla Island,Island,Landform,"N Camden County. Used by local Confederates led by Capt. William Sanderlin. Target of Union troops under Gen. Edward Wild, 1863."
NCG06359,Gull Island,Island,Landform,a tiny island in SW Carteret County in Bogue Sound.
NCG06360,Gull Island Bay,Bay,Water,"on the W shore of Hatteras Island in the waters of Pamlico Sound, S Dare County opposite Gull Island."
NCG06374,Gum Lake,Lake,Water,NE Nash County on Beaverdam Swamp.
NCG06380,Gum Pond,Pond,Water,swamp in Grindle Pocosin in N Pitt County.
NCG06381,Gum Swamp,Swamp,Wetlands,"rises in SE Martin County and flows S into Beaufort County, where it enters Latham Creek."
NCG06382,Gum Swamp,Swamp,Wetlands,rises in N Tyrrell County and flows NE into Albemarle Sound.
NCG06386,Gumberry Swamp,Swamp,Wetlands,"rises in W Northampton County and flows S to join Lily Pond Creek in forming Wheeler Creek. For origin of name, see Gumberry."
NCG06409,Guthrie Point,Point,Landform,extends from the mainland of SW Carteret County into Bogue Sound.
NCG06414,Gwinns Millpond,Millpond,Water,SE Richmond and W Scotland Counties on Joes Creek. Covers 75 acres; max. depth 10 ft. Formed prior to 1909.
NCG06430,Hadnot Point,Point,Landform,"in central Onslow County at the junction of Wallace Creek and New River. The headquarters and hospital of Camp Lejeune Marine Corps Air Station are there. Said to have been named for Charles Hadnot, an early settler."
NCG06436,Haines Cove,Valley,Landform,E Haywood County between Conner Mill Branch and Anderson Mountain.
NCG06440,Halcher Swamp,Swamp,Wetlands,rises in central Edgecombe County and flows NW into Harts Mill Run.
NCG06443,Hale Cove,Cove,Water,N Buncombe County between Frosty Knob and Paint Fork.
NCG06445,Hales Beach,Beach,Landform,a section of outer beach in SW Brunswick County extending from Shallotte Inlet to Tubbs Inlet.
NCG06451,Half-Moon Bay,Bay,Water,W Carteret County in White Oak River between Terrapin Run and Hill's Bay. Named for the adjacent channel.
NCG06453,Halfway Point,Point,Landform,"the southernmost point of Mackay Island, NE Currituck County. A name given by steamboat men."
NCG06462,Hall Pocosin,Pocosin,Wetlands,N Gates County.
NCG06463,Hall Point,Point,Landform,extends from mainland of NE Carteret County into mouth of Thorofare Bay.
NCG06464,Hall Pond,Pond,Water,near the head of Little Beaverdam Creek in W Duplin County.
NCG06475,Hallowing Point,Point,Landform,"extends from the mainland of central Craven County at New Bern into the Neuse-Trent River estuary opposite Union Point. Appears on the Lawson map, 1709, and the Moll map, 1729."
NCG06487,Halls Point,Point,Landform,"S Onslow County, extends into New River."
NCG06506,Hamilton Hollow,Valley,Landform,valley in NW Swain County between Fox Gap and Twentymile Creek.
NCG06514,Hammers Millpond,Millpond,Water,in W Robeson and SW Scotland Counties on Little Pee Dee River.
NCG06516,Hammocks Beach,Beach,Landform,"resort on Bear Island, Onslow County. A state park."
NCG06523,Hampton Lake,Lake,Water,"in S Jackson County on Fowler Creek at High Hampton Estate about 1 mi. E of town of Cashiers. Named for Wade Hampton, South Carolina governor and Confederate general, founder of the estate. Was formed in 1918 and today covers 24 acres, with a max. depth of 25 ft. Used for recreation."
NCG06529,Hancock Bay,Bay,Water,E Carteret County between Tusk Creek and Middens Creek.
NCG06531,Hancock Point,Point,Landform,"W Carteret County, extends into White Oak River."
