id,label,alternate_label,wikidata_id,loc_id,worldcat_id,viaf_id,description,feature_type,county,coordinates,creator,contributor,source
NCG03226,Clingmans Dome,Kuwahi,https://www.wikidata.org/wiki/Q685166,,,,"mountain on the Swain County, N.C.-Sevier County, Tenn., line in Great Smoky Mountains National Park. Named approx. 1860 by Harvard professor Arnold Guyot for Thomas L. Clingman (1812-97), member of the party that first measured it in 1858. Clingman was a soldier, mountain climber, geologist, congressman, and senator from North Carolina. Alt. 6,642, the highest point in the park. A 45-ft. observation tower has been built at the peak. The mountain's Cherokee name is Kuwahi, or Mulberry Place. According to Cherokee mythology it is one of four mountains where bears (said to be the former Ani-Tsaguhi clan of Cherokee) had their townhouses. Early settlers called it Smoky Dome.",nct:Mountain,Swain County,"35.562872, -83.498496",William Powell,Corinne Foster,"Duncan and Riggs, Cherokee Heritage Trails Guidebook; Mooney, Myths of the Cherokee"
,Collins Family Cemetery,,,,,,a Native American cemetery in Robeson County.,nct:BurialGround,Robeson County,,Kaylin Blount,,http://sites.rootsweb.com/~ncrobcem/
,Community Holiness Church,,,,,,a Native American cemetery in Robeson County.,nct:BurialGround,Robeson County,,Kaylin Blount,,http://sites.rootsweb.com/~ncrobcem/
,Conoste,Canosti|Canasti|Canostee|Conoske|Conastee|Comastee|Conestee|Kanasta,,,,,"historic Cherokee Valley town on Valley River, NE Cherokee County. Destroyed by Andrew Williamson’s army in the Cherokee War of 1776.",nct:NativeAmericanSettlement,Cherokee County,,Corinne Foster,,"Dean, The Cherokee War of 1776"
NCG03653,Cowee,Keowee,,,,,"chief town of the Middle Cherokees, destroyed by the Rutherford Expedition, 1776. The mound on which the council house stood is a short distance NW of Franklin in central Macon County. The name is believed to have meant ""place of the Deer Clan."" Also spelled Keowee. The mound dates back to 600 AD and denotes cherokee presence on the Tennesee River for at least 3000 years, according to archeologists studying the Mississippian Period.",nct:NativeAmericanSettlement,Macon County,,William Powell,Jonah Lewis,https://www.mainspringconserves.org/projects/cowee-mound/
NCG03653,Cowee,ᎧᏫᏱ|Too-Cowee|Cowe|Cowhee|Kawiyi|Kawi’yi|Kawi,https://www.wikidata.org/wiki/Q17155870 ,,,,"historic Cherokee Middle town on Little Tennessee River, NE Macon County. One of the oldest and largest of the Cherokee towns. Destroyed by James Grant’s army in the Anglo-Cherokee War, William Rutherford’s in the Cherokee War of 1776, and John Sevier's in 1783. Name means “place of the Deer Clan.”",nct:NativeAmericanSettlement,Macon County,"35.265099173096246, -83.41940889928937",William Powell,Corinne Foster,"Mooney, Myths of the Cherokee; Goodwin, Cherokees in Transition; Bouldware, ""The Effects of the Seven Years' War on the Cherokee Nation""; Conley, A Cherokee Encyclopedia"
NCG03654,Cowee Bald,ᎧᏫ ᎦᏚᏏ|Kawi Gadusi,https://www.wikidata.org/wiki/Q31621648,,,,"on the Jackson-Macon county line. Alt. 5,085. In Cherokee it is called ᎧᏫ ᎦᏚᏏ (kawi gadusi).",nct:Bald,Jackson County|Macon County,,William Powell,Corinne Foster,Nikwasi Initiative
,Cowee Mound,ᎧᏫᏱ ᎦᏓᎤᎲᎢ,https://www.wikidata.org/wiki/Q17155870,,,,"Mississippian platform mound overlooking Little Tennessee River, NE Macon County. Site of townhouse for historic Cherokee town of Cowee. The Eastern Band of Cherokee Indians regained ownership of the mound in 2007.",nct:NativeAmericanSettlement,Macon County,"35.265099173096246, -83.41940889928937",Corinne Foster,,Nikwasi Initiative
,Coweeta,Coweta,,,,,"historic Cherokee Middle town on Little Tennessee River at Coweeta Creek, S central Macon County. ",nct:NativeAmericanSettlement,Macon County,"35.08476765339621, -83.38268705549274",Corinne Foster,,"Rodning, Center Places and Cherokee Towns"
,Coweeta Creek Mound,Coweeta Mound,,,,,"Mississippian earthen platform mound on west bank of Little Tennessee River, S central Macon County. Townhouse site for historic Cherokee town of Coweeta.",nct:NativeAmericanSettlement,Macon County,"35.08476765339621, -83.38268705549274",Corinne Foster,,"Rodning, Center Places and Cherokee Towns"
,Cowichee,Cowitchee|Cowitchie|Coweetchee|Coweeshee,,,,,"historic Cherokee Middle town on Little Tennessee River, N central Macon County. Destroyed by James Grant’s army in the Anglo-Cherokee War.",nct:NativeAmericanSettlement,Macon County,"35.28044767060904, -83.46845300423605",Corinne Foster,,"Boulware, “The Effect of the Seven Years’ War on the Cherokee Nation""; Duncan and Riggs, Cherokee Heritage Trails Guidebook"
,Croatan Normal School,Indian Normal School of Robeson County (later)|Cherokee Indian Normal School of Robeson County (later)|Pemboke State College for Indians (later)|Pembroke State College (later)|Pembroke State University (later)|The University of North Carolina at Pembroke (later),,,,,See The University of North Carolina at Pembroke.,nct:Reference,Robeson County,,Kaylin Blount,,https://www.uncp.edu/about/history
NCG03865,Cullasaja,,,,,,See Sugar Town.,nct:Reference,Macon County,,William Powell,,
NCG03871,Cullowhee,Jutaculla-whee|Currahee,http://www.wikidata.org/entity/Q2008768,http://id.loc.gov/authorities/names/n82001087,http://id.worldcat.org/fast/1217343,http://viaf.org/viaf/sourceID/LC%7Cn++82001087#skos:Concept,"community in W central Jackson County on Tuckasegee River. Originally named Kullaughee Valley. Name changed to Painter, for the first postmaster, when a post office was est. there in 1883 (closed 1908). Renamed Cullowhee about 1900. The name Cullowhee derives from joolth-cullah-wee, or Judaculla’s place. Home of Western Carolina University, founded in 1889. Alt. 2,066.",nct:Community,Jackson County,,William Powell,Corinne Foster,"“Cherokee instructor discusses possible evolution of word ‘Cullowhee’” The Reporter: Western Carolina University Faculty and Staff News, August 25, 2010"
,Cullowhee Mound,,,,,,"Mississippian earthen platform mound on W side of Tuckasegee River, W central Jackson County. Destroyed in 1956 for expansion of Western Carolina University.",nct:NativeAmericanSettlement,Jackson County,,Corinne Foster,,"Steere, “Revisiting Platform Mounds and Townhouses in the Cherokee Heartland"""
,Cummings Cemetery,,,,,,a Native American cemetery in Robeson County.,nct:BurialGround,Robeson County,,Kaylin Blount,,http://sites.rootsweb.com/~ncrobcem/
,Cummings Family Cemetery,,,,,,a Native American cemetery in Robeson County.,nct:BurialGround,Robeson County,,Kaylin Blount,,http://sites.rootsweb.com/~ncrobcem/
,Curie Neck,John Reid Tract|Old Indian Hole|Old Roach Hole,,,,,"where two groups of Natives lived, known as the John Reid tract.  John Reid was an early Meherrin community leader who worked to establish the Pleasant Plains Church in 1851. There were two communities on the land, about a mile apart, ""Old Roach Hole"" and ""Old Indian Hole"" between the 1830s and 1840s, which had the same leader according to a local, F. Roy Johnson. ",nct:Neck,Tyrrell County,,Jonah Lewis,Griffin Powell,https://scholarworks.wm.edu/cgi/viewcontent.cgi?article=5481&context=etd
NCG03898,Currituck County,,https://www.wikidata.org/wiki/Q511761,http://id.loc.gov/authorities/names/n82018424,http://id.worldcat.org/fast/1218115,http://viaf.org/viaf/sourceID/LC%7Cn++82018424#skos:Concept,"was formed by 1681 as a precinct within Albemarle County. Located in the NE section of the state, it is bounded by the Atlantic Ocean, Albemarle Sound, Camden County, and the state of Virginia. Area: 469 sq. mi. County seat: Currituck, with an elevation of 8 ft. Townships are Crawford, Fruitville, Moyock, and Poplar Branch. Produces Irish potatoes, sweet potatoes, corn, soybeans, hogs, cattle, peanuts, steel products, concrete products, seafood, and lumber. See also Farmington. The origin of the name of this county is traditionally said to be a local Indian word for ""Where the wild geese fly""; or Coratank.",nct:County,Currituck County,,William Powell,Griffin Powell,https://nc.audubon.org/conservation/escape-donal-c-obrien-jr-sanctuary-and-audubon-center-corolla
,Cutawhiskey,Cuttawhiskey,,,,,See Potecasi Creek.,nct:Branch,Hertford County,,Jonah Lewis,Griffin Powell,https://scholarworks.wm.edu/cgi/viewcontent.cgi?article=5481&context=etd
,Deep Branch,,,,,,Lumbee community in Robeson County.,nct:Community,Robeson County,,Kaylin Blount,,"Lowery, Malinda Maynor. The Lumbee Indians : An American Struggle, University of North Carolina Press, 2018. ProQuest Ebook Central, https://ebookcentral-proquest-com.libproxy.lib.unc.edu/lib/unc/detail.action?docID=5484318."
,Deep Branch Church Cemetery,,,,,,a Native American cemetery in Robeson County.,nct:BurialGround,Robeson County,,Kaylin Blount,,http://sites.rootsweb.com/~ncrobcem/
,Deese Family Cemetery,,,,,,a Native American cemetery in Robeson County.,nct:BurialGround,Robeson County,,Kaylin Blount,,http://sites.rootsweb.com/~ncrobcem/
,Dial Cemetery,,,,,,a Native American cemetery in Robeson County.,nct:BurialGround,Robeson County,,Kaylin Blount,,http://sites.rootsweb.com/~ncrobcem/
,Dick Locklear Cemetery,,,,,,a Native American cemetery in Robeson County.,nct:BurialGround,Robeson County,,Kaylin Blount,,http://sites.rootsweb.com/~ncrobcem/
,Dimery Family Cemetery,,,,,,a Native American cemetery in Robeson County.,nct:BurialGround,Robeson County,,Kaylin Blount,,http://sites.rootsweb.com/~ncrobcem/
,Doerschuk Site,,https://www.wikidata.org/wiki/Q19461359,,,,"archaeological site near Badin, North Carolina, United States. Excavations were done at the Doerschuk Site in 1949, yielding distinctive spear points that allowed archaeologists to divide the Middle Archaic period (6000-3000BC) in the Piedmont,[4] with specific styles of spear points being found in the various sites of the area, including Lowder's Ferry site.",nct:NativeAmericanSettlement|nct:HistoricalSite,Montgomery County,,Jonah Lewis,Griffn Powell,http://www.wikidata.org/entity/Q506697
,Dogwood Cemetery #1 & #2,,,,,,a Native American cemetery in Robeson County.,nct:BurialGround,Robeson County,,Kaylin Blount,,http://sites.rootsweb.com/~ncrobcem/
,Donnaha Site,,https://www.wikidata.org/wiki/Q20708643,,,,"is an archaeological site in Yadkin County believed to have been the site of an ancient Native American village. Artifacts like ceramics, bone, carved stone and shells have been found on the site. ",nct:NativeAmericanSettlement|nct:HistoricalSite,Yadkin County,,Griffin Powell,Jonah Lewis,https://archaeology.ncdcr.gov/get-involved/archaeological-sites-sample/donnaha-site
,Dora,Red Springs (later) ,,,,,See Red Springs.,nct:Reference,Robeson County,,Harvey Maynor,,"Mclean, D. and M. R. Sellon. “Documentary Research of the Lumber River Basin.” (1978)."
,Downing Creek,Lumber River (later)|Lumbee River (later)|The Lumbee (later),,,,,See Lumber River.,nct:Reference,Columbus County|Hoke County|Robeson County|Scotland County,,Kaylin Blount,,"Lowery, Malinda Maynor. The Lumbee Indians : An American Struggle, University of North Carolina Press, 2018. ProQuest Ebook Central, https://ebookcentral-proquest-com.libproxy.lib.unc.edu/lib/unc/detail.action?docID=5484318.|https://dlib.uncp.edu/digital/collection/lumbee/id/56/rec/1"
,Dublin County Mound No. 1,Kenansville Mound,,,,,"a Native American burial mound said to be located ""located at Kenansville, about onehalf mile southwest from the courthouse, on a somewhat elevated dry, sandy ridge."" and containing ""fragments of charcoal, a few small fragments of pottery, a hand-full of small shells, and parts of sixty human skeletons.""",nct:Burial Mound,Duplin County,,Harvey Maynor,,"HOLMES, J. A. “NOTES ON THE INDIAN BURIAL MOUNDS OF EASTERN NORTH CAROLINA.” Journal of the Elisha Mitchell Scientific Society, vol. 1, 1883, pp. 73–79. JSTOR, www.jstor.org/stable/24330058."
,Dublin County Mound No. 2,Hallsville Mound No.1,,,,,"a Native American burial mound documented as being located ""1 3/4th miles east of Hallsville, Duplin county, on a somewhat elevated, dry, sandy region."" and containing ""eight skeletons, fragments of charcoal and pottery""",nct:Burial Mound,Duplin County,,Harvey Maynor,,"HOLMES, J. A. “NOTES ON THE INDIAN BURIAL MOUNDS OF EASTERN NORTH CAROLINA.” Journal of the Elisha Mitchell Scientific Society, vol. 1, 1883, pp. 73–79. JSTOR, www.jstor.org/stable/24330058."
,Dublin County Mound No. 3,Hallsville Mound No.2,,,,,"a Native American burial mound documented as being located ""located in a dry sandy and rather elevated place
about one-third of a mile east of Hallsville, Duplin county""",nct:Burial Mound,Duplin County,,Harvey Maynor,,"HOLMES, J. A. “NOTES ON THE INDIAN BURIAL MOUNDS OF EASTERN NORTH CAROLINA.” Journal of the Elisha Mitchell Scientific Society, vol. 1, 1883, pp. 73–79. JSTOR, www.jstor.org/stable/24330058."
,Dublin County Mound No. 4,Branch Williams Mound,,,,,"a Native American burial mound documented as being located ""located in a rather level sandy
region, about one mile from Sarecta P. O., on the property of Branch Williams"" containing "" human bones, and a few small fragments of charcoal and pottery.""",nct:Burial Mound,Duplin County,,Harvey Maynor,,"HOLMES, J. A. “NOTES ON THE INDIAN BURIAL MOUNDS OF EASTERN NORTH CAROLINA.” Journal of the Elisha Mitchell Scientific Society, vol. 1, 1883, pp. 73–79. JSTOR, www.jstor.org/stable/24330058."
,Eddie Oxendine Cemetery,,,,,,a Native American cemetery in Robeson County.,nct:BurialGround,Robeson County,,Kaylin Blount,,http://sites.rootsweb.com/~ncrobcem/
NCG04801,Ela ,,https://www.wikidata.org/wiki/Q18150278,,,,"community in E Swain County on Tuckasegee River. Alt. 1,830. One source states it is derived from ᎡᎳᏬᏗ (Elawodi) in the Cherokee language, which translates as ""yellow hill."" Another source states its name means land, or earth. ",nct:Community,Swain County,,William Powell,Griffin Powell,"https://chenocetah.wordpress.com/tag/ela/|https://en.wikipedia.org/wiki/Ela,_North_Carolina"
,Ellijay,Elejoy|Elijoy|Elatseyi|Elatse’yi|Elatse|Allagae|Algae|Alijoy|Allajoy|Allejoy|Alejoy,,,,,"historic Cherokee Middle town on Ellijay Creek, E central Macon County. Destroyed by James Grant’s army in the Anglo-Cherokee War and Griffith Rutherford’s in the Cherokee War of 1776. ",nct:NativeAmericanSettlement,Macon County,,Corinne Foster,,"Mooney, Myths of the Cherokee; Goodwin, Cherokees in Transition; Boulware, “The Effect of the Seven Years’ War on the Cherokee Nation"""
,Elrod Baptist Church Cemetery,,,,,,a Native American cemetery in Robeson County.,nct:BurialGround,Robeson County,,Kaylin Blount,,http://sites.rootsweb.com/~ncrobcem/
,Emanuel Family Cemetery,,,,,,a Native American cemetery in Robeson County.,nct:BurialGround,Robeson County,,Kaylin Blount,,http://sites.rootsweb.com/~ncrobcem/
,Etchoe,Echie|Echia|Echoy|Echoe|Echhoe|Echoee|Etchowee|Itse’yi|Itseyi,,,,,"historic Cherokee Middle town on Little Tennessee River at Cartoogechaye Creek, SE Macon County. About five miles from site of the Battle of Echoee (1760). Destroyed by James Grant’s army in the Anglo-Cherokee War and Andrew Williamson’s in the Cherokee War of 1776. Its Cherokee name, Itseyi, means “new green place.”",nct:NativeAmericanSettlement,Macon County,"35.15694656361054, -83.38176933155964",Corinne Foster,,"Mooney, Myths of the Cherokee; Goodwin, Cherokees in Transition; Bouldware, ""The Effects of the Seven Years' War on the Cherokee Nation""; Dean, The Cherokee War of 1776; Duncan and Riggs, Cherokee Heritage Trails Guidebook"
,Everlasting Life Cemetery,,,,,,a Native American cemetery in Robeson County.,nct:BurialGround,Robeson County,,Kaylin Blount,,http://sites.rootsweb.com/~ncrobcem/
,Fair Grove,,,,,,Lumbee community in Robeson County.,nct:Community,Robeson County,,Kaylin Blount,,"Lowery, Malinda Maynor. The Lumbee Indians : An American Struggle, University of North Carolina Press, 2018. ProQuest Ebook Central, https://ebookcentral-proquest-com.libproxy.lib.unc.edu/lib/unc/detail.action?docID=5484318.|https://dlib.uncp.edu/digital/collection/lumbee/id/56/rec/1"
,Faison Site,,,,,,"Meherrin archeological site, ceramics have been found their that date back to the late woodland period. it is positioned within North Carolina; it is four miles south east of of Emporia, VA",nct:HistoricalSite,Duplin County,,Jonah Lewis,Griffin Powell,https://scholarworks.wm.edu/cgi/viewcontent.cgi?article=5481&context=etd
,Family Cemetery,,,,,,a Native American cemetery in Robeson County.,nct:BurialGround,Robeson County,,Kaylin Blount,,http://sites.rootsweb.com/~ncrobcem/
,Fields Family Cemetery,,,,,,a Native American cemetery in Robeson County.,nct:BurialGround,Robeson County,,Kaylin Blount,,http://sites.rootsweb.com/~ncrobcem/
,First American Warehouse,,,,,,a tobacco warehouse owned by Lumbee farmers.,nct:BusinessORBusinessDistrict,Robeson County,,Kaylin Blount,,https://dlib.uncp.edu/digital/collection/lumbee/id/56/rec/1
,"Fort Neoheroka",Neoheroka|Neyuherú·kę,https://www.wikidata.org/wiki/Q5471747,,,,was a fortress constructed by the Tuscarora tribe during the Tuscarora War of 1711-1715. The fort was besieged during the war and ultimately the fort was destroyed. The 950 some Tuscarora defenders of the fortress were killed during its destruction or ultimately enslaved after the siege. Resulting in a decisive defeat for the Tuscaraora during the Tuscarora War.,nct:HistoricalSite|,Greene County,,Griffin Powell,Jonah Lewis,https://ancientnc.web.unc.edu/indian-heritage/by-region/northern-coastal-plain/neoheroka-fort/
,Fort Totero,,,,,,Fort Totero is a fort that appeared on the 1733 Surveyor General map of the Province of North Carolina. The name of this fort is likely to be a reference to the Tutelo Indian Tribe which lived near the location in North Carolina at the time of this map's creation.,nct:FormerCommunity|nct:HistoricalSite|,Randolph County,,Griffin Powell,,https://randolphhistory.wordpress.com/tag/totero-fort/
,Franklin,Gaduniha,https://www.wikidata.org/wiki/Q767467,,,,"town and county seat in central Macon County on Little Tennessee River. Alt. 2,113. Settled prior to 1828; inc. 1855. Named for Jesse Franklin (1760-1823), governor of North Carolina, 1820-21. Called Gaduniha (“bread town,” where they have the soil for making things) by the Cherokees. A mound there marks the site of the old Cherokee town Nikwasi, which see. Produces textiles and lumber.",nct:Town,Macon County,"35.1811, -83.3817",William Powell,Corinne Foster,
,Freedom Assembly Of God Of Red Springs,,,,,,a Native American cemetery in Robeson County.,nct:BurialGround,Robeson County,,Kaylin Blount,,http://sites.rootsweb.com/~ncrobcem/
,Friendly Temple Church Cemetery,,,,,,a Native American cemetery in Robeson County.,nct:BurialGround,Robeson County,,Kaylin Blount,,http://sites.rootsweb.com/~ncrobcem/
,Galilee Baptist Church Cememtery,,,,,,a Native American cemetery in Robeson County.,nct:BurialGround,Robeson County,,Kaylin Blount,,http://sites.rootsweb.com/~ncrobcem/
,Garden Creek site,,https://www.wikidata.org/wiki/Q5522235,,,,"archeological site in Haywood County.  features remains of two villages (31Hw7) occupied first in the Woodland period and, most prominently, in the Pisgah Phase (1000 to 1450/1500 CE) associated with the South Appalachian Mississippian culture. A total of four earthwork mounds have been found at the site; three have been excavated.",nct:NativeAmericanSettlement,North Carolina,,Jonah Lewis,Griffin Powell,http://www.wikidata.org/entity/Q1454
,Ghent Creek,North Hicootee River,https://www.wikidata.org/wiki/Q104868389,,,,"is a river in Person County, North Carolina. It is a smaller branch of the Hicootee River.",nct:Creek,Person County ,,,,https://dc.lib.unc.edu/cdm/ref/collection/ncmaps/id/467
,Gilbert Bullard Family Cemetery,,,,,,a Native American cemetery in Robeson County.,nct:BurialGround,Robeson County,,Kaylin Blount,,http://sites.rootsweb.com/~ncrobcem/
,God's Holy Assembly Cememtery,,,,,,a Native American cemetery in Robeson County.,nct:BurialGround,Robeson County,,Kaylin Blount,,http://sites.rootsweb.com/~ncrobcem/
,"Gordon Payne Site
",,https://www.wikidata.org/wiki/Q24436339,,,,is an archaeological site in Moore County believed to have been the site of a Native American village. Pottery and other artifacts of cultural value have been found at this site. It is believed to have cultural connections to the Pee Dee Town Creek Indian Mound.,nct:NativeAmericanSettlement|nct:HistoricalSite,Moore County,,Griffin Powell,,http://www.rla.unc.edu/Publications/NCArch/SIS_38.pdf
,Graham Family Cemetery,John Graham Cemetery|Graham Lowery Family Cemetery,,,,,a Native American cemetery in Robeson County.,nct:BurialGround,Robeson County,,Kaylin Blount,,http://sites.rootsweb.com/~ncrobcem/
,Great Dismal Swamp,,https://www.wikidata.org/wiki/Q1544257,,,,"a large Swap in between the coastal regions of North Eastern North Caolina and South Eastern Virgina. at one point the swamp is estimated to encompass over 1 million acres, the heart of which is Lake Drummond. Various human culture groups, most notably Algonquian speaking natives present in 1650, have inhabited the area for 13,000 years. The white settlers later attempted to drain the swamp for profit",nct:Swamp,Camden County|Gates County|Pasquotank County,,Jonah Lewis,Griffin Powell,https://scholarworks.wm.edu/cgi/viewcontent.cgi?article=5481&context=etd
,Hammie Bullard Cemetery,,,,,,a Native American cemetery in Robeson County.,nct:BurialGround,Robeson County,,Kaylin Blount,,http://sites.rootsweb.com/~ncrobcem/
,Hammonds (Cryus Mercer) Graveyard,,,,,,a Native American cemetery in Robeson County.,nct:BurialGround,Robeson County,,Kaylin Blount,,http://sites.rootsweb.com/~ncrobcem/
,Hammonds (Pernella) Cemetery,,,,,,a Native American cemetery in Robeson County.,nct:BurialGround,Robeson County,,Kaylin Blount,,http://sites.rootsweb.com/~ncrobcem/
,Hammonds Cemetery,,,,,,a Native American cemetery in Robeson County.,nct:BurialGround,Robeson County,,Kaylin Blount,,http://sites.rootsweb.com/~ncrobcem/
,Hammonds Cemetery,,,,,,a Native American cemetery in Robeson County. ,nct:BurialGround,Robeson County,,Kaylin Blount,,http://sites.rootsweb.com/~ncrobcem/
,Hammonds Meeting House,,,,,,"place of worship for Native Americans of the Lumbee Tribe of North Carolina living in the Saddletree community, named after one of the Lumbee families in that area.",nct:PlaceOfWorship,Robeson County,,Kaylin Blount,,"Lowery, Malinda Maynor. The Lumbee Indians : An American Struggle, University of North Carolina Press, 2018. ProQuest Ebook Central, https://ebookcentral-proquest-com.libproxy.lib.unc.edu/lib/unc/detail.action?docID=5484318."
,"Hardaway Site",,https://www.wikidata.org/wiki/Q5655684,,,,"is an archaeological site in Stanly County believed to have been the site of ancient and colonial era Native American habitation. Evidence of farming, stone hearths, stone tool creation byproducts and other man-made disturbances have been found at this site.",nct:NativeAmericanSettlement|nct:HistoricalSite,Stanly County,,Griffin Powell,,https://ancientnc.web.unc.edu/indian-heritage/by-region/southern-piedmont/hardaway/
,Hardin (Condary) Cemetery,,,,,,a Native American cemetery in Robeson County.,nct:BurialGround,Robeson County,,Kaylin Blount,,http://sites.rootsweb.com/~ncrobcem/
,Harper's Ferry,,,,,,Lumbee community in Robeson County.,nct:Community,Robeson County,,Kaylin Blount,,"Lowery, Malinda Maynor. The Lumbee Indians : An American Struggle, University of North Carolina Press, 2018. ProQuest Ebook Central, https://ebookcentral-proquest-com.libproxy.lib.unc.edu/lib/unc/detail.action?docID=5484318."
,Harper 's Ferry Church Cemetery 1 And 2,,,,,,a Native American cemetery in Robeson County.,nct:BurialGround,Robeson County,,Kaylin Blount,,http://sites.rootsweb.com/~ncrobcem/
,Harris Family Cemetery,,,,,,a Native American cemetery in Robeson County.,nct:BurialGround,Robeson County,,Kaylin Blount,,http://sites.rootsweb.com/~ncrobcem/
,Hatcher/Locklear Family Cemetery,,,,,,a Native American cemetery in Robeson County.,nct:BurialGround,Robeson County,,Kaylin Blount,,http://sites.rootsweb.com/~ncrobcem/
NCG06696,Hatteras,,https://www.wikidata.org/wiki/Q3106552,http://id.loc.gov/authorities/names/no2016043798,,http://viaf.org/viaf/sourceID/LC%7Cno2016043798#skos:Concept,"community near the S end of Hatteras Island, an island of the Outer Banks, E Dare County. Inc. 1931, but never active in municipal affairs. The name apparently is an English rendition of the Algonquian Indian expression meaning ""there is less vegetation."" Post office est. there, 1858. Alt. 10.",nct:Island,Dare County,,William Powell,Griffin Powell,https://www.ncpedia.org/sites/default/files/documents/intrigue_place-names2.pdf
,Hawkeye,,,,,,Lumbee community in Hoke County.,nct:Community,Hoke County,,Kaylin Blount,,"Lowery, Malinda Maynor. The Lumbee Indians : An American Struggle, University of North Carolina Press, 2018. ProQuest Ebook Central, https://ebookcentral-proquest-com.libproxy.lib.unc.edu/lib/unc/detail.action?docID=5484318."
,Hawkeye Indian School,,,,,,a Native American school in the Hawkeye Community of Hoke County.,nct:EducationalInstitution,Hoke County,,Kaylin Blount,,"Lowery, Malinda Maynor. The Lumbee Indians : An American Struggle, University of North Carolina Press, 2018. ProQuest Ebook Central, https://ebookcentral-proquest-com.libproxy.lib.unc.edu/lib/unc/detail.action?docID=5484318."
NCG06723,Haw River,,https://www.wikidata.org/wiki/Q14707960,http://id.loc.gov/authorities/names/n83227725,http://id.worldcat.org/fast/1226975,http://viaf.org/viaf/sourceID/LC%7Cn++83227725#skos:Concept,"community in E Alamance County on Haw River. Founded by descendants of Adam Trollinger, a German immigrant who settled there in 1747. His son, Jacob, built a gristmill at the site, and for many years it was known as Trollinger's Crossing or Trollinger's Ford. Alt. 539. Produces textiles. The name is shortened from Saxapahaw, from the Catawban sak'yápha:, ""piedmont, foothill"", from /sak/, ""hill"", plus /yápha:/, ""step""",nct:River,Chatham County|Lee County|Alamance County|Orange County|Rockingham County|Guilford County|Forsyth County,,William Powell,Griffin Powell,https://books.google.com/books?id=5XfxzCm1qa4C&pg=PA425#v=onepage&q&f=false
NCG06725,Haw River Township,,https://www.wikidata.org/wiki/Q2023027,,,,"human settlement in Alamance County, North Carolina, United States of America",nct:Township,Alamance County,,William Powell,Griffin Powell,
,Hayes Locklear Family Cemetery,,,,,,a Native American cemetery in Robeson County.,nct:BurialGround,Robeson County,,Kaylin Blount,,http://sites.rootsweb.com/~ncrobcem/
,Hayes Pond,,,,,,"site in Maxton where Lumbee men and women confronted members of the Klu Klux Klan during a rally on January 18, 1958.",nct:HistoricalSite,Robeson County,,Kaylin Blount,,"Lowery, Malinda Maynor. The Lumbee Indians : An American Struggle, University of North Carolina Press, 2018. ProQuest Ebook Central, https://ebookcentral-proquest-com.libproxy.lib.unc.edu/lib/unc/detail.action?docID=5484318."
NCG06767,Hayesville,,http://www.wikidata.org/entity/Q302144,http://id.loc.gov/authorities/names/n84136669,http://id.worldcat.org/fast/1229785,http://viaf.org/viaf/sourceID/LC%7Cn++84136669#skos:Concept,"town and county seat, central Clay County on Hiwassee River. Alt. 1,893. Inc. 1891. Named for George W. Hayes (1804-64), a member of the General Assembly who was instrumental in the formation of the county. Fort Hembree, ¾ mi. nw, was one of the forts at which Gen. Winfield Scott, in command of U.S. forces, gathered the Cherokee Indians before moving them W in 1838. Produces lumber and apparel. ",nct:Town,Clay County,,William Powell,,
NCG06767,Hayesville,,http://www.wikidata.org/entity/Q302144,http://id.loc.gov/authorities/names/n84136669,http://id.worldcat.org/fast/1229785,http://viaf.org/viaf/sourceID/LC%7Cn++84136669#skos:Concept,"town and county seat, W central Clay County on Hiwassee River. Alt. 1,893. Inc. 1891. Named for George W. Hayes (1804-64), a member of the General Assembly who was instrumental in the formation of the county. Fort Hembree, ¾ mi. nw, was one of the forts at which Gen. Winfield Scott, in command of U.S. forces, gathered the Cherokee Indians before moving them W in 1838. Produces lumber and apparel. ",nct:Town,Clay County,,William Powell,,
,Hickory Hill Free Will Baptist Church Cemetery,,,,,,a Native American cemetery in Robeson County.,nct:BurialGround,Robeson County,,Kaylin Blount,,http://sites.rootsweb.com/~ncrobcem/
,Hiwassee,ᎠᏴᏩᏏ|Hiwasse|Heywassee|Heywassie|Iwasse|Ayuhwa’si|Ayuhwasi|Peachtree,,,,,"historic Cherokee Valley town on Hiwassee River at Peachtree Creek, SE Cherokee County. Largest of the Valley Towns. Destroyed by Griffith Rutherford's army in the Cherokee War of 1776. Served as the seat of the Aquohee District of the Cherokee Nation in the 1820s. Its Cherokee name, ᎠᏴᏩᏏ (Ayuhwasi), means “meadow.” ",nct:NativeAmericanSettlement,Cherokee County,"35.07762080455806, -83.98019841428898",Corinne Foster,,"Mooney, Myths of the Cherokee; Dean, The Cherokee War of 1776; Duncan and Riggs, Cherokee Heritage Trails Guidebook"
NCG07096,Hiwassee River,,https://www.wikidata.org/wiki/Q3138706,,,,"rises in Towns County, Ga., and flows NW into Clay County through Lake Chatuge; NW and W across the Cherokee-Clay county line; NW in Cherokee County through Hiwassee Lake and Apalachia Lake; and into Tennessee, where it enters Tennessee River approx. 30 mi. W of Athens, Tenn. Named for the Cherokee word ayuhwasi (meadow).",nct:River,Cherokee County|Clay County,,William Powell,,
,Hoke County Memorial Garden,,,,,,a Native American cemetery in Robeson County.,nct:BurialGround,Robeson County,,Kaylin Blount,,http://sites.rootsweb.com/~ncrobcem/
