id,label,feature type,general watertype,description
NCG02132,Bull Run Creek,Creek,Stream,rises in E central Surry County and flows SE into Ararat River.
NCG02133,Bull Tail Branch,Branch,Stream,rises in NE Pender County and flows S to join Bullhead Branch in forming Bull Branch.
NCG02136,Bulldie Creek,Creek,Stream,rises in NE Swain County and flows SE into Raven Fork.
NCG02138,Bullfrog Creek,Creek,Stream,rises in central Currituck County in Great Swamp and flows S into North River.
NCG02140,Bullhead Branch,Branch,Stream,rises in NE Pender County and flows S to join Bull Tail Branch in forming Bull Branch.
NCG02141,Bullhead Creek,Creek,Stream,"rises in S Alleghany County and flows S into Wilkes County, where it enters East Prong Roaring River."
NCG02153,Bumgardner Branch,Branch,Stream,rises in N Swain County and flows SW into Deep Creek.
NCG02155,Bumgarner Branch,Branch,Stream,rises in N Jackson County approx. 2 mi. SE of Sylva and flows SW 1½ mi. into Mill Creek.
NCG02158,Bumplanding Creek,Creek,Stream,rises in SW Currituck County and flows W into North River.
NCG02162,Bunches Creek,Creek,Stream,"rises in NE Swain County in Great Smoky Mountains National Park and flows s, w, and NW into Raven Fork."
NCG02176,Burden Branch,Branch,Stream,rises in W Wayne County and flows SW into Moccasin Swamp.
NCG02177,Burden Creek,Creek,Stream,rises in S Durham County and flows SW into Northeast Creek.
NCG02180,Burgaw Creek,Creek,Stream,"rises in central Pender County NE of the town of Burgaw and flows SE into Northeast Cape Fear River. Appears on the Collet map, 1770, as Bargaw Creek and on the Mouzon map, 1775, as Bergaw Creek. Burgaw Plantation in the vicinity appears in records of 1764."
NCG02186,Burgin Cove Branch,Branch,Stream,rises in SE Yancey County and flows NW into Three Forks Creek.
NCG02191,Burkes Creek,Creek,Stream,rises in S Caswell County and flows NE into Pinson Creek.
NCG02193,Burl Branch,Branch,Stream,rises in E Cherokee County and flows S and SE into Peachtree Creek.
NCG02197,Burleson Branch,Branch,Stream,rises in central Yancey County and flows N into Cane River.
NCG02203,Burnett Creek,Creek,Stream,rises in E Haywood County and flows NW into East Fork Pigeon River.
NCG02210,Burningtown Creek,Creek,Stream,rises in W Macon County and flows NE and NW into Little Tennessee River.
NCG02211,Burningtown Falls,Falls,Stream,in Downes Branch in central Macon County.
NCG02214,Burns Creek,Creek,Stream,rises in W Henderson County and flows SE into French Broad River.
NCG02219,Burnt Branch,Branch,Stream,rises in NE Cherokee County and flows NW into Valley River.
NCG02222,Burnt Coat Branch,Branch,Stream,rises in NE Duplin County and flows SW into Northeast Cape Fear River.
NCG02225,Burnt Mill Creek,Creek,Stream,"rises in Bear Swamp, SE Chowan County, and flows SE on the Chowan-Perquimans county line into Yeopim River. The Collet map, 1770, shows Mingo Mill on the headwaters of Yeopim River; the present name appears in local records as early as 1800."
NCG02232,Burnt Shanty Branch,Branch,Stream,rises in NE Cherokee County and flows S into Valley River.
NCG02235,Burnt Stocking Branch,Branch,Stream,central Robeson County.
NCG02238,Burnt Timber Branch,Branch,Stream,rises in E central Avery County and flows S into Wilson Creek.
NCG02239,Burntcabin Creek,Creek,Stream,rises in E Clay County and flows S into Shooting Creek.
NCG02243,Burris Creek,Creek,Stream,rises in W Surry County and flows E and NE into Fisher River.
NCG02245,Bursted Rock Creek,Creek,Stream,rises in S Transylvania County and flows NW into East Fork French Broad River.
NCG02247,Burthen Channel,Channel,Waterway,"flows through a mass of tidal marsh islands in the extreme W end of Bogue Sound in SW Carteret County. Probably originally known as Borden Channel for William Borden, who owned the neighboring section of Bogue Banks and a plantation on the mainland. The local pronunciation of Borden is Burden, and from Burden the name Burthen derived."
NCG02249,Burton Creek,Creek,Stream,rises in E Pamlico County and flows S into Broad Creek.
NCG02253,Bush Creek,Creek,Stream,rises in N Randolph County and flows SW into Deep River.
NCG02256,Bushy Fork,Fork,Stream,rises in SW Person County and flows NE into South Flat River.
NCG02261,Bussels Creek,Creek,Stream,rises in S Wilkes County and flows NE into Hunting Creek.
NCG02262,Buster Hall Branch,Branch,Stream,rises in W Duplin County and flows S into Stewarts Creek.
NCG02266,Butler Creek,Creek,Stream,rises in W Surry County and flows SE into North Fork Mitchell River.
NCG02278,Buttermilk Creek,Creek,Stream,"rises in S Caswell County and flows SE into Alamance County, where it enters Haw River."
NCG02281,Butterwood Creek,Creek,Stream,rises in NW Halifax County and flows SW into Bear Swamp.
NCG02284,Button Branch,Branch,Stream,rises in NW Columbus County and flows SW into Dunn Swamp.
NCG02288,Buzzard Branch,Branch,Stream,rises in N Franklin County and flows NE into Sandy Creek.
NCG02299,Byers Branch,Branch,Stream,rises in central Clay County and flows SW into Shooting Creek.
NCG02300,Byers Creek,Creek,Stream,rises in SW Iredell County and flows S into Davidson Creek.
NCG02303,Bynum Mill Creek,Creek,Stream,rises in S Edgecombe County and flows NE into Town Creek.
NCG02307,Byrds Branch,Branch,Stream,rises in N Yancey County and flows SE into Jacks Creek.
NCG02308,Byrds Creek,Creek,Stream,rises in S Person County and flows NE into South Flat River.
NCG02313,Cabbage Branch,Branch,Stream,rises in N central Anson County and flows S into Brown Creek.
NCG02315,Cabe Branch,Branch,Stream,rises in S Swain County and flows NW into Little Tennessee River.
NCG02317,Cabin Branch,Branch,Stream,rises in NE Swain County and flows SW into Bradley Fork.
NCG02318,Cabin Branch,Branch,Stream,rises in NW Anson County and flows SE into Brown Creek.
NCG02320,Cabin Creek,Creek,Stream,rises in S Henderson County and flows SE into Green River.
NCG02321,Cabin Creek,Creek,Stream,rises in SE Davidson County and flows SW into Yadkin River.
NCG02324,Cable Creek,Creek,Stream,rises in central Randolph County and flows SW and NW into Back Creek.
NCG02326,Cables Cove Creek,Creek,Stream,rises in N central Graham County and flows N into Fontana Lake.
NCG02330,Cadon Branch,Branch,Stream,rises in S Macon County and flows SW into Tessentee Creek.
NCG02332,Cadwell Creek,Creek,Stream,"rises in Virginia and flows SW into N Stokes County. Turning slightly to the NW, it flows back into Virginia."
NCG02333,Caesar Austin Branch,Branch,Stream,rises in central Clay County and flows SE into Tusquitee Creek. Named for an early black settler who lived on the branch.
NCG02335,Caesar's Branch,Branch,Stream,rises in N Franklin County and flows NE into Little Shocco Creek.
NCG02339,Cagle Branch,Branch,Stream,rises in W Jackson County and flows SE into Savannah Creek.
NCG02342,Cahoogue Creek,Creek,Stream,rises in SE Craven County approx. 3 mi. NW of North Harlowe and flows approx. 3½ mi. NW into Hancock Creek.
NCG02349,Calabash Creek,Creek,Stream,"rises in SW Brunswick County and flows W into South Carolina, where it enters Little River."
NCG02354,Caldwell Branch,Branch,Stream,rises in SW Madison County and flows W into Spring Creek.
NCG02356,Caldwell Creek,Creek,Stream,rises in SE Mecklenburg County and flows N into Cabarrus County and Reedy Creek. Named for family of David Caldwell (d. about 1780).
NCG02357,Caldwell Fork,Fork,Stream,rises in W Haywood County in Great Smoky Mountains National Park and flows NE to join Palmer Creek in forming Cataloochee Creek.
NCG02360,Caleb Branch,Branch,Stream,rises in W Carteret County and flows W into Hadnot Creek.
NCG02361,Caleb's Creek,Creek,Stream,rises in E Onslow County and flows NE into White Oak River.
NCG02363,Caledonia Creek,Creek,Stream,rises in SW Pender County and flows S into Black River.
NCG02365,Caler Cove Branch,Branch,Stream,rises in N Macon County and flows S into Little Tennessee River.
NCG02366,Caler Fork,Fork,Stream,rises in E Macon County and flows SW into Cowee Creek.
NCG02368,Cales Creek,Creek,Stream,rises in NW Carteret County and flows SW into White Oak River.
NCG02369,Calf Branch,Branch,Stream,rises on Fort Bragg Military Reservation in N Hoke County and flows SW into Rockfish Creek.
NCG02370,Calf Creek,Creek,Stream,rises in SW Beaufort County and flows N into Pamlico River.
NCG02373,Calhoun Branch,Branch,Stream,rises in W Cherokee County and flows S into Hiwassee River.
NCG02377,Calico Creek,Creek,Stream,"rises in central Carteret County and flows E and SE into the mouth of Newport River. An English ship, loaded with calico, is said to have wrecked near Beaufort in a storm. Afterward, pieces of calico were found draped over bushes growing along the creek."
NCG02379,California Branch,Branch,Stream,"rises in N Cabarrus County and flows N into Rowan County, where it enters South Second Creek."
NCG02380,California Creek,Creek,Stream,rises in E Madison County and flows S to join Paint Fork in forming Little Ivy Creek.
NCG02387,Callaghan Creek,Creek,Stream,rises in central Dare County on the mainland and flows E into Croatan Sound.
NCG02389,Callahan Branch,Branch,Stream,rises in E Madison County and flows NE into Laurel Creek.
NCG02398,Cam Branch,Branch,Stream,rises in N Duplin County and flows E into Northeast Cape Fear River.
NCG02406,Camels Creek,Creek,Stream,"rises in W Harnett County and flows NE into Cape Fear River. Named for ""Surveyor John"" Campbell, who settled along its banks about 1770."
NCG02416,Camp Branch,Branch,Stream,rises in N central Wilkes County and flows NE into Roaring River.
NCG02417,Camp Branch,Branch,Stream,rises in W Avery County and flows S into Horse Creek.
NCG02418,Camp Branch Falls,Falls,Stream,"360-ft. waterfalls on the Nantahala River, Clay-Macon county line."
NCG02422,Camp Canal,Canal,Waterway,"Civil War training camp in Carteret County, probably at or near Morehead City."
NCG02426,Camp Creek,Creek,Stream,rises in SW Surry County and flows SE and NE into Mitchell River.
NCG02427,Camp Creek,Creek,Stream,rises in SE corner of Burke County and flows NE into Jacob Fork.
NCG02428,Camp Creek,Creek,Stream,"rises in N Burke County and flows NW into Avery County, where it enters Linville River. Named for three brothers—Everette, Howard, and Arthur Camp—of Chicago, who were railroad builders in the vicinity."
NCG02457,Camp Two Branch,Branch,Stream,rises in S Haywood County and flows NW into Middle Prong.
NCG02464,Campbell Creek,Creek,Stream,rises in S Graham County and flows NE into Tulula Creek.
NCG02465,Campbell Creek,Creek,Stream,rises in SE Beaufort County and flows E to join Upper Spring Creek in forming Goose Creek.
NCG02471,Campbells Creek,Creek,Stream,rises in E Mecklenburg County and flows S into McAlpine Creek.
NCG02472,Campbells Falls,Rapids,Stream,rapids in Cape Fear River in SE Harnett County near the confluence of Juniper Creek with the river. Mentioned as early as 1819 in a survey of the rivers of North Carolina.
NCG02477,Camping Creek,Creek,Stream,rises in SW Franklin County and flows NE into Cedar Creek.
NCG02478,Camping Fork,Fork,Stream,rises in N Mitchell County and flows SW into Right Fork Bean Creek.
NCG02479,Camping Island Creek,Creek,Stream,rises in central Stokes County and flows NE between Hanging Rock and Flat Shoal Mountain into Dan River.
NCG02480,Camprock Branch,Branch,Stream,rises in S Macon County and flows SE into Shope Fork.
NCG02486,Canady Creek,Creek,Stream,"rises in N Guilford County and flows NW into Rockingham County. Name is a variation of Thomas Kennedy, pioneer settler."
NCG02487,Canal A,Canal,Waterway,"in central Washington County, drains NE from East Dismal Swamp into Main Canal."
NCG02488,Canal B,Canal,Waterway,"in central Washington County, drains NE from East Dismal Swamp into Main Canal."
NCG02489,Canal Gut,Gut,Waterway,rises in SW Bertie County and flows S into Roanoke River.
NCG02493,Candle Branch,Branch,Stream,rises in W Forsyth County and flows SW into Yadkin River.
NCG02498,Candy Creek,Creek,Stream,"rises in NE Guilford County and flows N into Rockingham County, where it enters Haw River. Known as Kenady's Branch and as Kanady Creek prior to 1800, named for an early settler."
NCG02501,Cane Brake Creek,Creek,Stream,rises in S Rutherford County and flows S into Broad River.
NCG02502,Cane Branch,Branch,Stream,rises in E Yancey County and flows N into Little Crabtree Creek.
NCG02503,Cane Creek,Creek,Stream,rises in W Orange County and flows SW into Haw River.
NCG02504,Cane Creek,Creek,Stream,rises in S Cherokee County and flows NE into Nottely River.
NCG02514,Canebrake Branch,Branch,Stream,rises in W central Swain County and flows S into Tuckasegee River.
NCG02519,Caney Bottom Creek,Creek,Stream,rises in N Transylvania County and flows SE into Cove Creek.
NCG02520,Caney Branch,Branch,Stream,rises in W Cherokee County and flows SE and SW into Hiwasee River.
NCG02521,Caney Fork,Fork,Stream,stream formed in NE Jackson County by the junction of Piney Mountain Creek and Rough Butt Creek; flows SW into Tuckasegee River.
NCG02523,Caney Fork Branch,Branch,Stream,rises in S Madison County and flows NW into Robert Branch.
NCG02526,Canie Creek,Creek,Stream,rises in central Buncombe County and flows SE into Hominy Creek.
NCG02528,Cannon Branch,Branch,Stream,rises in N Avery County and flows E into Buckeye Creek.
NCG02529,Cannon Creek,Creek,Stream,rises in E Transylvania County and flows SE into Buckhorn Creek.
NCG02535,Canoe Creek,Creek,Stream,rises in W Burke County and flows SE into Catawba River in central Burke County.
NCG02540,Cantrell Creek,Creek,Stream,rises in N Transylvania County and flows SE into South Fork Mills River.
NCG02546,Cape Creek,Creek,Stream,a tidal creek on Smith Island in SE Brunswick County rising about 1 mi. N of Cape Fear just inside the outer beach and extending NW to the main outlet on the W shore of Smith Island.
NCG02549,Cape Fear River,River,Stream,"is formed by the junction of Deep and Haw Rivers on the Chatham-Lee county line. It flows SE along the Chatham-Lee county line and through Harnett County, S through Cumberland County, SE through Bladen County, and along the Columbus-Pender, Brunswick-Pender, and Brunswick-New Hanover county lines into the Atlantic Ocean. It had a succession of names after it was first discovered by Europeans. Spanish explorers in 1526 named it Rio Jordan; a Barbadian colony in 1664 named it Charles River; and between 1664 and 1667, when Clarendon County existed in the area, it was known as Clarendon River. It appears as Clarendon River on the Ogilby map, 1671; as ""C. Fear R. or Clarendon R."" on the Gascoyne map, 1682; as Cape Fear River on the Barnwell map, 1722; as Clarendon River on the Moll map, 1729; and as Cape Fear River on the Moseley map, 1733, and thereafter on others."
NCG02571,Caraway Creek,Creek,Stream,"rises in NW Randolph County and flows S into Uwharrie River near town of Farmer. Appears on the Collet map, 1770. Traditionally an Indian name, probably a survival of Keyauwee, the name of an Indian tribe that inhabited the area when white men first entered it. See also Keeauwee."
NCG02600,Carpenter Branch,Branch,Stream,rises in W Haywood County and flows S into Jonathans Creek.
NCG02602,Carpenters Branch,Branch,Stream,rises in S Macon County and flows N into Allison Creek.
NCG02607,Carraway Creek,Creek,Stream,"rises in S central Wayne County and flows NW approx. 5 mi. into Neuse River. First known as Michael's Creek for the owner of surrounding land, Michael Rosher. Land sold to John Carraway in 1743 and the name of the creek changed."
NCG02615,Carroll Branch,Branch,Stream,"rises in W Clay County on the E slope of Carroll Knob and flows S into Carroll Lake near lat. 35°03'45"" N., long. 83°54'53"" W., in Nantahala National Forest."
NCG02620,Carroll's Creek,Creek,Stream,rises in N Burke County and flows S into Johns River.
NCG02621,Carrolls Branch,Branch,Stream,rises in SE Moore County and flows E into Mill Creek.
NCG02623,Carrs Creek,Creek,Stream,rises in S Lee County and flows S into Little River.
NCG02627,Carson Creek,Creek,Stream,rises in S Transylvania County and flows NW into French Broad River.
NCG02633,Carter Branch,Branch,Stream,rises in N Macon County and flows SW into Little Tennessee River.
NCG02635,Carter Cove Creek,Creek,Stream,"rises in the Elk Mountains, central Buncombe County, and flows SW into Beaverdam Creek."
NCG02636,Carter Creek,Creek,Stream,"rises in the Great Craggy Mountains, NE Buncombe County, and flows generally NW to join Mineral Creek in forming Stony Creek."
NCG02646,Carters Creek,Creek,Stream,rises in NE Davie County near Hillsdale and flows 3 mi. SE into Yadkin River. Formerly known as Linville Creek.
NCG02647,Carters Falls,Falls,Stream,SW Surry County on the Yadkin River near Elkin.
NCG02654,Cartledge Creek,Creek,Stream,"rises in central Richmond County on W edge of town of Ellerbe and flows SW into Pee Dee River. Named for Edmund Cartledge, who owned land in the vicinity prior to 1758."
NCG02655,Cartoogechaye Creek,Creek,Stream,"rises in S Macon County and flows NE into Little Tennessee River. The name is believed to be the Cherokee Indian word for ""corn fields."""
NCG02657,Cartwheel Branch,Branch,Stream,rises in E Onslow County and flows NE into Holland Mill Creek.
NCG02658,Carver Creek,Creek,Stream,rises in NW Clay County and flows SW into Hiwassee River.
NCG02663,Carvers Branch,Branch,Stream,rises in S Mitchell County and flows SW into East Fork Crabtree Creek.
NCG02666,Carvers Falls,Falls,Stream,"on Carver Creek, central Cumberland County, approx. 7 mi. NE of Fayetteville at the junction of the forks of Carver Creek near its mouth in the Cape Fear River."
NCG02668,Carvers Gap Creek,Creek,Stream,rises in E Mitchell County and flows SE into Fall Creek.
NCG02670,Cary Branch,Branch,Stream,rises in SW Wake County and flows SW into Buckhorn Creek.
NCG02671,Cary Creek,Creek,Stream,"rises in W Wake County and flows SW into Chatham County, where it enters Whiteoak Creek."
NCG02672,Cary Flat Branch,Branch,Stream,rises in E central Avery County and flows S into Wilson Creek.
NCG02677,Cascade Branch,Branch,Stream,rises in N Madison County and flows SE into Spring Creek.
NCG02678,Cascade Creek,Creek,Stream,"rises in S Virginia and flows SE into Rockingham County, where it enters Dan River. Named by William Byrd, surveyor of region in 1728, for small rapids near boundary."
NCG02679,Cascade Falls,Falls,Stream,"on Cascade Creek, W central Stokes County in Hanging Rock State Park. From a high rock precipice, water falls about 200 ft. in an ""Upper Cascade"" and then falls another 60 ft. in a ""Lower Cascade."" The falls are S of Tories Den."
NCG02687,Casey Branch,Branch,Stream,rises in SW Polk County and flows NE into Cove Creek.
NCG02690,Cash Creek,Creek,Stream,rises in W Henderson County and flows SE into French Broad River.
NCG02691,Cashie Branch,Branch,Stream,rises in N Jackson County and flows NW into Scott Creek.
NCG02693,Cashie River,River,Stream,"(ca-SHY) rises in NW Bertie County and flows SE into Batchelor Bay and Albemarle Sound. One of the few rivers in the state to have its complete course in one county, Cashie was originally named Kesiah, the present name being a gradual corruption. See also Connaritsa."
NCG02698,Cashoke Creek,Creek,Stream,rises in SE Bertie County and flows SE into Cashie River.
NCG02702,Castle Creek,Creek,Stream,rises in N Person County and flows N into Hyco River.
NCG02713,Caswell Branch,Branch,Stream,rises in SW Warren County and flows S into Shocco Creek.
NCG02720,Cat Creek,Creek,Stream,rises in E Macon County and flows NW into Rabbit Creek.
NCG02723,Cat Pen Branch,Branch,Stream,rises in W Madison County and flows S into Roaring Fork.
NCG02728,Cat Tail Creek,Creek,Stream,rises in N Johnston County and flows SE into Little River.
NCG02731,Cataloochee Creek,Creek,Stream,is formed in W Haywood County by the junction of Caldwell Fork and Palmer Creek. It flows SE and E into Waterville Lake on Pigeon River.
NCG02736,Catawba Creek,Creek,Stream,"rises in central Gaston County within the limits of Gastonia and flows SE into South Carolina, where it enters the Catawba River near the state line."
NCG02737,Catawba Falls,Falls,Stream,on the headwaters of Catawba River in SW McDowell County near Ridgecrest. Water falls in a continuous spray down five levels of rock. Sometimes called Rocky Glen for one of the upper falls where water plunges over a ledge 200 ft. high.
NCG02741,Catawba River,River,Stream,"rises in the Blue Ridge Mountains in SW McDowell County near the Buncombe-McDowell county line. It flows NE through McDowell and E through Burke County; forms successively the Caldwell-Catawba, Alexander-Catawba, Iredell-Catawba, Iredell-Lincoln, Mecklenburg-Lincoln, and Mecklenburg-Gaston county lines. It enters South Carolina W of Charlotte and flows S to join Big Wateree Creek in Wateree Pond to form the Wateree River about 20 mi. above Camden. From its headwaters to the South Carolina line, it flows approx. 150 mi. Catawba was an Indian word that may have meant ""people of the river banks"" or ""people of the river [Catawba] with broken banks."" For some of the named fords across the river, see also Beattie's, Cowan's, Island, Sherrills, Tools, and Tuckasege."
NCG02748,Cateechee Branch,Branch,Stream,rises in E central Transylvania County and flows SE into French Broad River.
NCG02749,Caterpillar Creek,Creek,Stream,"rises in SE Alamance County and flows SE into Orange County, where it enters Cane Creek."
NCG02750,Cates Creek,Creek,Stream,rises in central Orange County and flows NE into Eno River.
NCG02755,Catharine Creek,Creek,Stream,"rises in E Hertford County and flows N into Chowan River. Undoubtedly a corruption of Cautaking, Catokinge, or Cataking, an Indian village of the sixteenth century located in the area. The Indian name probably meant ""at the land that pushes"" or ""bulges out,"" as if into the river."
NCG02757,Catherine Creek,Creek,Stream,"is formed on the Gates-Chowan county line by the junction of Trotman and Warwick Creeks and flows SW into Chowan River. Appears on the Collet map, 1770, as Catharines Creek."
NCG02760,Cathey Creek,Creek,Stream,rises in NW Mecklenburg County and flows W into Davidson Creek.
NCG02766,Catheys Creek,Creek,Stream,rises in W Transylvania County and flows SE into French Broad River.
NCG02767,Catheys Creek Falls,Falls,Stream,"is located on Catheys Creek in central Transylvania County between King Mountain and Kagle Mountain. Falls are 40 ft. high. Alt. approx. 2,520."
NCG02771,Catskin Creek,Creek,Stream,rises in S Pender County and flows SW into Merricks Creek. Formerly Catskill Creek until corrupted by local usage into present name.
NCG02772,Catstair Branch,Branch,Stream,rises in NE Cherokee County and flows NW into Ashturn Branch.
NCG02775,Cattail Branch,Branch,Stream,rises in N Wilson County near Cliftonsville and flows S approx. 1 mi. into Toisnot Swamp.
NCG02776,Cattail Creek,Creek,Stream,rises in central Granville County and flows SW into Tar River.
NCG02790,Cedar Branch,Branch,Stream,rises in central Columbus County and flows E into Soules Swamp.
NCG02791,Cedar Branch,Branch,Stream,rises in SE Wilson County and flows S approx. 3½ mi. into Black Creek.
NCG02800,Cedar Creek,Creek,Stream,"rises in SE Buncombe County and flows SE into Rutherford County, where it enters Cove Creek."
NCG02801,Cedar Creek,Creek,Stream,rises in E Anson County and flows N into Pee Dee River.
NCG02804,Cedar Fork,Fork,Stream,rises in NE Wake County and flows E into Little River at Mitchells Millpond. Also known as Cedar Prong of Little River.
NCG02825,Cedar Rock Creek,Creek,Stream,rises in W Transylvania County near Cedar Rock Mountain and flows N into Davidson River.
NCG02829,Cedar Run Creek,Creek,Stream,rises in NE Alexander County and flows S into South Yadkin River. Considered the head stream of South Yadkin River.
NCG02830,Cedar Swamp Creek,Creek,Stream,rises in central Carteret County and flows NE into Newport River.
NCG02833,Cedar Valley Creek,Creek,Stream,rises in central Jackson County and flows SW into Tuckasegee River. Formerly known as Niggerskull Creek; name changed in 2006 by U.S. Board on Geographic Names.
NCG02837,Celia Creek,Creek,Stream,"rises in SW Caldwell County and flows SE into Husbands Creek. Originally named Sealeys Creek for George Sealey, eighteenth-century settler."
NCG02841,Cemetery Branch,Branch,Stream,rises in central Wake County within the limits of Raleigh and flows N into Pigeon House Branch.
NCG02861,Chadwick Creek,Creek,Stream,"rises in S Carteret County and flows S into Chadwick Bay. Appears as Larler Creek on the Collet map, 1770."
NCG02864,Chairmaker Branch,Branch,Stream,rises in central Clay County and flows NW into Tusquitee Creek.
NCG02866,Chalk Creek,Creek,Stream,rises in N Rutherford County and flows SW into Cove Creek.
NCG02871,Chambers Branch,Branch,Stream,rises in E Haywood County on Chambers Mountain and flows S into Pigeon River.
NCG02873,Chambers Creek,Creek,Stream,rises in N Swain County and flows SW into Fontana Lake.
NCG02881,Chandler Creek,Creek,Stream,rises in E Madison County and flows SE into California Creek.
NCG02884,Chaney Creek,Creek,Stream,rises in central Onslow County and flows SW into New River.
NCG02886,Chapel Branch,Branch,Stream,rises in W Beaufort County and flows N into Bear Creek.
NCG02887,Chapel Creek,Creek,Stream,"rises SE of the town of Chapel Hill, SE Orange County, and flows SE into Morgan Creek."
NCG02893,Chapmans Creek,Creek,Stream,rises in central Surry County and flows SE into Fisher River.
NCG02894,Chappel Creek,Creek,Stream,"appears on the Moseley map, 1733, rising in E Beaufort Precinct and flowing E into Machapungo River. The water course probably is either modern Jordan or Satterthwaite Creek."
NCG02896,Chappels Creek,Creek,Stream,rises in S Person County and flows S into North Flat River.
NCG02900,Charles Creek,Creek,Stream,rises in NE Mitchell County and flows SW into Little Rock Creek.
NCG02906,Charley Branch,Branch,Stream,rises in W Madison County and flows SE into Spring Creek.
NCG02907,Charley Creek,Creek,Stream,rises in E Jackson County and flows S into Wolf Creek.
NCG02910,Charlie Creek,Creek,Stream,rises in N Yancey County and flows S into Little Creek.
NCG02917,Charlotte Branch,Branch,Stream,rises in W Madison County and flows NE into Spring Branch.
NCG02923,Chasm Prong,Prong,Stream,rises in N Swain County in Great Smoky Mountains National Park and flows E to join Gulf Prong in forming Bradley Fork.
NCG02924,Chasteen Creek,Creek,Stream,rises in NE Swain County in Great Smoky Mountains National Park and flows SW into Bradley Fork.
NCG02926,Chastine Creek,Creek,Stream,rises in E Jackson County and flows S into Caney Fork.
NCG02931,Chattooga River,River,Stream,"rises in SW Jackson County and flows S to the Jackson-Macon county line, which it forms for a short distance before flowing into South Carolina, where it enters Savannah River."
NCG02938,Cheek Creek,Creek,Stream,"rises in SE Montgomery County and flows SW into Richmond County, where it enters Little River."
NCG02950,Cheoah Branch,Branch,Stream,rises in NW Swain County and flows SW into Fontana Lake.
NCG02952,Cheoah River,River,Stream,is formed in central Graham County by the junction of Sweetwater and Tulula Creeks. It flows NW into Little Tennessee River at Cheoah Dam. Santeetlah Lake is on Cheoah River.
NCG02959,Cherokee Creek,Creek,Stream,rises in SE Rutherford County and flows N into Second Broad River.
NCG02963,Cherry Branch,Branch,Stream,rises in NW Macon County and flows NW into Otter Creek.
NCG02965,Cherry Cove Branch,Branch,Stream,rises in S Clay County and flows NW into Hothouse Branch.
NCG02966,Cherry Cove Creek,Creek,Stream,rises in S Haywood County and flows NE into Allen Creek.
NCG02967,Cherry Creek,Creek,Stream,rises in central Henderson County and flows W into Mud Creek.
NCG02971,Cherry Gap Branch,Branch,Stream,rises in W Jackson County and flows W into Cullowhee Creek.
NCG02982,Cherry Orchard Branch,Branch,Stream,rises in N Jackson County and flows NW into Hornbuckle Creek.
NCG02987,Cherry Run,Run,Stream,rises in W Beaufort County and flows SW into Tranters Creek.
NCG02989,Cherryfield Creek,Creek,Stream,rises in W Transylvania County on S slopes of Three Forks Mountain and flows SE into French Broad River.
NCG02993,Chesquau Branch,Branch,Stream,rises in W Swain County and flows S into Fontana Lake.
NCG02995,Chester Branch,Branch,Stream,rises in S Jackson County and flows S into Fowler Creek.
NCG02997,Chesters Creek,Creek,Stream,rises in W Carteret County and flows SE into White Oak River.
NCG03000,Chestnut Branch,Branch,Stream,rises in N Clay County and flows NE into Tuni Creek.
NCG03001,Chestnut Branch,Branch,Stream,"rises in N Haywood County near lat. 35Â°45'15"" N., long. 83Â°09'45"" W., and flows E into Big Creek."
NCG03003,Chestnut Cove Branch,Branch,Stream,rises in NE Buncombe County near Middle Mountain and flows W through Chestnut Cove into North Fork [Swannanoa River].
NCG03004,Chestnut Cove Creek,Creek,Stream,rises in E Swain County and flows NE into Connelly Creek.
NCG03007,Chestnut Creek,Creek,Stream,rises near Candler Knob on the Buncombe-Henderson county line and flows N into Stony Fork.
NCG03021,Chestnut Log Branch,Branch,Stream,rises in central Cherokee County and flows S into Pace Branch.
NCG03029,Chestnut Orchard Branch,Branch,Stream,rises in W Macon County and flows N into Choga Creek.
NCG03033,Chestnut Ridge Creek,Creek,Stream,rises in E Jackson County and flows SW into Piney Mountain Creek.
NCG03047,Chicod Creek,Creek,Stream,"rises in W Beaufort County and flows NW into Pitt County, where it enters Tar River. Appears as Cheecods Creek on the Collet map, 1770."
NCG03055,Chimney Creek,Creek,Stream,rises in N Madison County and flows E into Big Creek.
NCG03064,China Creek,Creek,Stream,rises in S Watauga County about 1 mi. W of town of Blowing Rock and flows S into Thunderhole Creek in N Caldwell County.
NCG03068,Chinkapin Creek,Creek,Stream,"rises in NE Bertie County and flows NE into Hertford County, where it turns N to enter Wiccacon River. Appears on the Moseley map, 1733."
NCG03070,Chinquapin Branch,Branch,Stream,rises in E Haywood County and flows SW into Pisgah Creek.
NCG03071,Chinquapin Creek,Creek,Stream,"rises in W Stokes County and flows SW into Surry County, where it enters Toms Creek."
NCG03079,Chiska Creek,Creek,Stream,"rises in W central Bertie County and flows E into Cashie River. Hills Mill on the creek is shown on the Collet map, 1770, but not on later maps."
NCG03082,Chockoyotte Creek,Creek,Stream,"rises in N Halifax County and flows SE into Roanoke River. Name believed to be a Tuscarora Indian word. A stone aqueduct, part of the pre-Civil War Roanoke Navigation Canal, remains over the creek. It appears as Chocolate Creek on the Collet map, 1770."
NCG03083,Chocolate Creek,Creek,Stream,rises in SE Guilford County and flows NE into Stinking Quarter Creek.
