name,wikidata_id,human,discogs_id,type,originate_from,ncg_id,Period (start),Period (end),genre,description
Flat Duo Jets,Q1427282,FALSE,264417,musical group,Carrboro,NCG02608,1983,1999,punk rock,"Flat Duo Jets is an American rock band from Chapel Hill, North Carolina, and Athens, Georgia. They were a major influence on several bands of the 1990s and 2000s, including The White Stripes. In interviews, Jack White (the White Stripes' lead singer and guitarist) has often acknowledged Dexter Romweber's influence."
Portastatic,Q7231527,FALSE,23954,musical group,Chapel Hill,NCG02888,1992,present,rock and roll,"Portastatic is an American indie rock band founded in the early 1990s as a solo project of Mac McCaughan, singer and guitarist of the indie rock band Superchunk. The project has since expanded into a full band, sometimes including Superchunk guitarist Jim Wilbur and McCaughan's brother Matthew. Tom Scharpling of the 18 Wheeler fanzine released McCaughan's solo material under the fanzine's own imprint in 1993, the ""Starter"" 7"". Since then, McCaughan has recorded several records as Portastatic, covering genres including indie rock, lo-fi, soundtrack and Brazilian music. The name ""Portastatic"" is derived from the TASCAM Portastudio home recording device."
Trailer Bride,Q7832788,FALSE,621621,musical group,Chapel Hill,NCG02888,1993,2004,alternative country,"Trailer Bride was a Chapel Hill, North Carolina-based alternative country rock band signed to Bloodshot Records. Formed in 1993, the band consisted of Melissa Swingle (vocalist, guitarist), Robert Mitchener (bass guitar), Brad Goolsby (drummer), Bryon Settle (guitarist) and Scott Goolsby (guitarist). In the summer of 1997, after the release of their first album, Daryl White replaced Mitchener as bassist. The band is known for a southern gothic sound, with lyrics reminiscent of the works of Flannery O'Connor. Their songs are described as ""spooky"", and often contained dark themes of death, sin and sex. The first album, Trailer Bride, features songs of local character that celebrate Chatham County, North Carolina, and the main route to the nearby town of Chapel Hill, US 15-501. The first track of their album High Seas, ""Jesco"" is a homage to Jesco White, the Appalachian ""Dancing Outlaw"". The band met White while playing a show with Hasil Adkins. White told Swingle, ""I don't get out much on account of being famous"", which was used as a line in the song. Swingle started playing music when she was pregnant with her child, Isabel. She learned that fumes from her oil painting could affect the baby, so while looking for another creative outlet, she began to play guitar. Isabel's artwork is on the album High Seas."
Collapsis,Q5145945,FALSE,548551,musical ensemble|musical group,Chapel Hill,NCG02888,1997,2001,rock,"Collapsis was a band from Chapel Hill, North Carolina, active primarily from 1997-2001. The band's name derives from a Dillon Fence song of the same name that Collapsis front man Mike Garrigan asked Dillon Fence front man Greg Humphreys' blessing to use as the band's moniker."
The Nova Local,Q7754444,FALSE,1251838,musical group,Chapel Hill,NCG02888,1964,unknown,psychedelic pop,"The Nova Local was a psychedelic pop band formed in Chapel Hill, North Carolina, in 1964, initially under the name The Shadows. It was composed of singer Randy Winburn, guitarists Joe Mendyk and Phil Lambeth, bassist Jim Opton, keyboardist Cam Schinhan and drummer Bill Levasseur. Their single ""If You Only Had the Time"", released in 1967, was a minor hit in North Carolina. They recorded one album, Nova 1 (released on Decca Records in 1968 in the United States), shortly before disbanding. The album was also released in Canada and in the United Kingdom. According to Opton, the album was the first ever recorded using the Dolby NR system. The lines ""Is it much too much to ask / Not to hide behind the mask?"" from ""If You Only Had the Time"" are sampled on MF Doom's 2005 song ""The Mask""."
The Old Ceremony,Q7754818,FALSE,2950619,musical group,Chapel Hill,NCG02888,2004,present,rock,"The Old Ceremony is a Chapel Hill, North Carolina pop-noir musical group fronted by Django Haskins. Formed in 2004, the group has released five full-length albums, Our One Mistake, on sonaBLAST! Records; The Old Ceremony, Walk On Thin Air, and Tender Age on the Durham, NC label, Alyosha Records; and Fairytales and Other Forms Of Suicide on Yep Roc Records. They have also produced a live album and an album of ""remixes"" of their first record, produced by bassist Matt Brandau. Their fifth album, ""Fairytales and Other Forms of Suicide,"" was released by Yep Roc Records in August 2012. Through unique live performances, radio airplay, and positive critical reviews, the group has risen to regional prominence, touring extensively throughout the US, Canada and Europe."
Annuals,Q4769704,FALSE,619788,musical group,Raleigh,NCG12430,2003,present,indie rock,"Annuals is the musical project of the American singer, songwriter, producer, and multi-instrumentalist, Adam Baker. Founded in Raleigh, North Carolina, United States in 2003, Annuals first found success following its critically acclaimed 2006 release, Be He Me. As of September 2013, Annuals is based out of Los Angeles."
The Moaners,Q7751828,FALSE,518859,musical group,Chapel Hill,NCG02888,2004,2011,indie rock,"The Moaners are a Chapel Hill, North Carolina-based indie rock band. They were previously signed to Yep Roc Records. In 2004, Melissa Swingle's band Trailer Bride broke up, and she formed The Moaners with drummer Laura King, formerly of the Chapel Hill band Grand National. The band is often compared to The White Stripes, as they are also a two-piece and employ a similar garage rock, bluesy style. The dark, southern gothic elements of Trailer Bride are also evident; however a major difference is that The Moaners have more an electric, punk rock style. The band's first album, Dark Snack was produced by Rick Miller of the band Southern Culture on the Skids. Their next release, Blackwing Yalobusha was produced by former Squirrel Nut Zippers member Jimbo Mathus. They appear in video documentary of the WV White Family titled ""Jesco White Hellbilly Part 2""."
Fan Modine,Q5433558,FALSE,,musical group,Carrboro,NCG02608,1998,2014,indie pop,"Fan Modine is an American indie pop band, whose core member is singer and songwriter Gordon Zacharias. Originally based in Boston and New York City , Zacharias has lived in Carrboro, North Carolina since 2001. His albums are recorded with a rotating collective of guest musicians, which has included Joan Wasser, Michael Tighe, Tim Fut, Dylan Williams, Parker Kindred, Ash Bowie, Alex Maiolo, Jeremy Chatelain, Chuck Johnson, Lee Waters, Michael Holland, Joe Pernice, Chris Stamey, Peter Holsapple, Kevin March, Chris Brokaw and Mitch Easter. While living in Boston's Chinatown, Zacharias first developed a concept for a film exploring the experiences of an American pop star, Fandemian Kirk Modine, living in China. Although no film was ever made, his debut album Slow Road to Tiny Empire, released in 1998, was conceived as its soundtrack. He further explored the concept on his second album, 2004's Homeland. His third album, Gratitude for the Shipper, was released in 2011, followed by Cause Célèbre in 2014."
The Never,Q7753460,FALSE,,musical group,Chapel Hill,NCG02888,2001,present,pop rock,"The Never is a Chapel Hill-based indie band. They have released two albums, both of which include both folk metal and R&B sensibilities. They have toured throughout the South and the East Coast of the U.S. and have performed with both Rilo Kiley and R.E.M. Many of the songs on their latest album, Antarctica, deal with environmental issues, a band trait accentuated by their use of tour vehicles that are fueled by vegetable oil and biodiesel."
The Physics of Meaning,Q7757010,FALSE,,musical group,Chapel Hill,NCG02888,2005,2008,indie pop,"The Physics of Meaning was an indie pop band from Chapel Hill, North Carolina. Its members included Daniel Hart and Alex Laraza, along with other live musicians and session members. They released two studio albums: the self-titled The Physics of Meaning on Bu Hanan Records in 2005, and Snake Charmer and Destiny at the Stroke of Midnight on Bu Hanan Records and Trekky Records in 2008. Hart is a classically trained violinist who lives in Dallas, Texas. He recorded and released an album under his own name in 2011 called The Orientalist. He was a member of the touring and recording bands of Other Lives, St. Vincent, John Vanderslice, The Polyphonic Spree, and The Rosebuds. Hart now fronts the Dallas-based band Dark Rooms, who released their self-titled LP in May 2013."
Vanilla Trainwreck,Q7914932,FALSE,1113050,musical group,Raleigh,NCG12430,1988,1995,indie rock,"Vanilla Trainwreck is an indie rock group from Raleigh, North Carolina that was active in the 1990s. They released three albums on Mammoth Records. The band members are still active in the Raleigh scene today, with singer/guitarist Greg Elkins now producing records and drummer Brian Quast playing in the reunited Polvo."
The Mayflies USA,Q16955044,FALSE,322987,musical group,Chapel Hill,NCG02888,1997,present,power pop,"The Mayflies USA are a Chapel Hill, North Carolina-based rock band signed to Yep Roc Records. The band is a classic example of power pop, as their songs featured catchy melodies, vocal harmonies, and prominent guitar riffs. Their style was influenced by older bands such as The Beatles, Big Star, and also more contemporary groups like Teenage Fanclub and Velvet Crush."
Snatches of Pink,Q7547424,FALSE,568571,musical group,Chapel Hill,NCG02888,1985,present,rock,"Snatches of Pink is a rock band based in Chapel Hill, North Carolina. Current members are Michael Rank (guitar, lead vocals), Marc E. Smith (guitars, vocals), Nikos Chremos (bass) and John Howie Jr (drums), with Michael Rank as the chief songwriter. The band was formed in 1985 by Andy McMillan, who took the roll as bassist, as the band needed one. McMillan was not only the original bassist, but also lead vocalist in the beginning with Rank on guitar/vocals and Sara Romweber on drums. Subsequent incarnations included Kevin Clark and Emory Ball on bass. Over the past two decades SOP has been heralded by critics for their unique blend of dark, Stones-influenced alternative rock, releasing several albums under the ""Snatches of Pink"" namesake and two under their major label name ""Clarissa"" (which they have since retired). Over the years, SOP has shared the stage with several bands working a similar vein, including Johnny Thunders, The Ramones, The Cramps, Iggy Pop, and Soundgarden. Sara Romweber's brother is Dexter Romweber of Flat Duo Jets. SOP songs have appeared on television in episodes of Wildfire (ABC FAMILY) and Fuel TV (FOX / Premiere)."
The Comas,Q7726893,FALSE,2396048,musical group,Chapel Hill,NCG02888,1998,2008,indie rock,"The Comas were an indie rock band active from 1998 to 2008. They formed in Chapel Hill, NC, in March 1998 as a 'joke country band', a sort of counterweight to the hyped No Depression movement. Before long, however, both the ""joke"" and the ""country"" parts of the concept were eliminated, thus allowing the band to develop into a quirky alternative rock outfit. The Comas' respectable 1999 debut, Wave to Make Friends, was composed of sleepy (but not lethargic) indie pop and off-kilter boy-and-girl vocal harmonies, courtesy of co-founders Andrew Herod and Nicole Gehweiler. The band's instrumental canvas proved to be larger and more eclectic than that of the typical indie group, buoying the usual guitars and rhythm section with violin, organ, and creative non-rap samples. Faced with the challenge of labeling such music, the Comas' label billed deemed the sound ""stoner pop."" In 2008, lead singer Andy Herod moved to Asheville, and formed a new project, called Electric Owls, which was signed to Vagrant Records. Electric Owls has produced two EPs and a full-length record titled 'Ain't Too Bright'. Assisting him in the studio were a few friends and former member Caperton."
I Was Totally Destroying It,Q5979670,FALSE,1904463,musical group,Chapel Hill,NCG02888,2007,present,indie rock,"I Was Totally Destroying It is a five-piece powerpop band from Chapel Hill, North Carolina, featuring current and former members of Saddle Creek band Sorry About Dresden. After self-releasing and touring the country behind their first full-length album, the band signed with Portland-based indie label Greyday Records. Since forming in 2007, the band has toured much of the country, playing with artists such as Conor Oberst and the Mystic Valley Band, Motion City Soundtrack, Cursive, Superchunk, Portastatic, Ryan Ferguson (formerly of No Knife), Dear and the Headlights, Margot & the Nuclear So and So's, Snowden, Billy Bragg, Annuals, Joan Jett, The Actual, Ozma, Polvo, Birds of Avalon and . Their next full-length, Horror Vacui, was released by Greyday in October 2009, and was co-produced by Josh Cain of Motion City Soundtrack."
Violet Vector and the Lovely Lovelies,Q7933292,FALSE,3345170,musical group,Chapel Hill,NCG02888,2007,present,indie pop,"Violet Vector and the Lovely Lovelies is an American indie sunshine pop/garage rock band formed in Chapel Hill, North Carolina, United States. They are part of the neo-psychedelia movement in the Chapel Hill music scene. The band consists of singer-songwriter Amanda Brooks (lead guitar, lead vocals), Karen Blanco (organ, electric piano), Cathleen Keyser (bells, glockenspiel, tambourine), Matt L'Esperance (drums), and Alex Maiolo (bass guitar)."
Archers of Loaf,Q3243545,FALSE,403979,musical group,Chapel Hill,NCG02888,1991,present,indie rock,"Archers of Loaf is an American indie rock band originally formed in Chapel Hill, North Carolina, in 1991. The group toured extensively and released four studio albums, one compilation, numerous singles and EPs, and a live album which was released after the band broke up in 1998. In 2011 the band began a reunion tour that coincided with the reissue of four of its albums by Merge Records."
Milemarker,Q6851221,FALSE,271118,musical group,Chapel Hill,NCG02888,1997,present,post-hardcore,"Milemarker is an American post-hardcore group from North Carolina, United States."
Sorry About Dresden,Q7563728,FALSE,326709,musical group,Chapel Hill,NCG02888,1997,2016,indie rock,"Sorry About Dresden was an indie rock band from Chapel Hill, North Carolina. The band formed in 1997 and was signed to Saddle Creek Records."
Mandolin Orange,Q21526558,FALSE,3628157,musical group,Chapel Hill,NCG02888,2009,present,Americana,"Watchhouse (formerly Mandolin Orange) is an Americana/folk duo based in Chapel Hill, North Carolina. The group was formed in 2009 in Chapel Hill, North Carolina and consists of songwriter Andrew Marlin (vocals, mandolin, guitar, banjo) and Emily Frantz (vocals, violin, guitar), who are married to each other. Watchhouse has produced six albums of Marlin's original works of American roots music. In the last three years, the group has toured throughout the U.S and Europe, including appearances at Austin City Limits, South by Southwest, Edmonton Folk Music Festival, Telluride Bluegrass Festival, Newport Folk Festival, Pickathon, Hardly Strictly Bluegrass, Rooster Walk, and MerleFest and the Omagh Bluegrass Festival. Watchhouse was the featured artist on CBS This Morning's Saturday Morning Sessions on December 7, 2019. They signed to Yep Roc Records in 2013 and have produced four albums under their umbrella, This Side Of Jordan, Such Jubilee, Blindfaller and Tides of a Teardrop. During the COVID-19 pandemic, Marlin recorded two instrumental albums without Frantz, Witching Hour and Fable & Fire. In April 2021, the band announced that moving forward, they would change the group's name from Mandolin Orange to Watchhouse. Of the change, Marlin said ""Mandolin Orange was born out of my 21-year-old mind. The name isn't what I strive for when I write"" and that Watchhouse is a name that reflects their ""true intentions"" as a band. In 2021 the band was inter alios part of the Newport Folk Festival in July."
Mipso,Q22080543,FALSE,4167444,musical group,Chapel Hill,NCG02888,2013,present,indie folk,"Mipso is a North Carolina quartet formed in Chapel Hill and known for combining a traditional string band format with close harmony and a variety of modern influences. The band is made up of Wood Robinson (Bass, Vocals), Jacob Sharp (Mandolin, Vocals), Joseph Terrell (Guitar, Vocals) and Libby Rodenbough (Fiddle, Vocals)."
Warren Haynes,Q599341,TRUE,167361,guitarist|singer-songwriter|singer,Asheville,NCG00366,"April 6, 1960",,Southern rock,"Warren Haynes (born April 6, 1960) is an American musician, singer and songwriter. He is best known for his work as longtime guitarist with the Allman Brothers Band and as founding member of the jam band Gov't Mule. Early in his career he was a guitarist for David Allan Coe and The Dickey Betts Band. Haynes also is known for his associations with the surviving members of the Grateful Dead, including touring with Phil Lesh and Friends and the Dead. In addition, Haynes founded and manages Evil Teen Records."
Emily Wolfe,Q23761354,TRUE,2615063,musician|guitarist,Raleigh,NCG12430,"May 11, 1990",,rock,"Emily Wolfe is an American rock and roll musician based out of Austin, TX. Wolfe was born in Raleigh, NC, and moved to Texas when she was 8 years old. She started playing guitar at the age of 5 and also started to play drums at an early age. In her college years at St. Edward's University she began to perform live. Wolfe released her first album, Director's Notes on February 28, 2012. Her debut EP, Mechanical Hands, released on May 23, 2013, was produced by Mike McCarthy. Wolfe performed vocals and guitar, with Hannah Hagar on keys and vocals, Sam Pankey on bass, and Jeffrey Olson on drums. Her second EP, Roulette, self-released in 2014, was produced by Mike McCarthy. That same year she toured with Allen Stone, performed at Austin City Limits, BottleRock Napa, and South by Southwest, and toured the west coast. In 2016, Wolfe was featured in Uproxx's ""Uncharted Series"" and returned for live dates on the west coast, as well as toured and performed with Gary Clark Jr., The Toadies, Heart, The Pretenders, and performed at Sound on Sound Fest in Texas. In 2017, she began production for her second full-length album, with Alabama Shakes keyboardist Ben Tanner (St. Paul & The Broken Bones, Dylan LeBlanc) producing. The album was recorded at Portside Sound in Muscle Shoals, Alabama, and Arlyn Studios in Austin, TX, and features Evan Nicholson on bass and Clellan Hyatt on drums. In attempting to bring to life Wolfe's dream of mixing Demi Lovato and Queens of the Stone Age, she has said, ""I wanted to explore weird combinations that seem bizarre. I noticed that in pop music, whenever the chorus hits, they put this airy synth in the back of every single pop hit - I’m like, Okay, we’ve got to figure out how to make that happen. That seems to lift the chorus out of the song, making it a monster on its own. I also had a massive folder of just samples – I asked Ben to pick the coolest ones to see if we could use them on the record."" Of striving to incorporate this idea with Wolfe's live-show energy, Tanner has said, ""The way pop music works - when the chorus hits or the solo hits - things get really tall, and changes in the high end and low end make it feel huge. It’s more produced than just these three people playing together in a room, but you don’t want it to be so overly produced or overly polished that it loses the flow of who Emily is an artist. A lot of it’s in the moment - if we can make it elicit an emotional response in ourselves, then hopefully it will in somebody else, too."" That self-titled, self-released album was released February 15, 2019. A co-billed tour with Black Pistol Fire followed through the east coast and midwest, followed by multiple headline dates through the east coast, midwest, and west coast, including 3rd & Lindsley in Nashville, WTMD’s First Thursday concert series in Baltimore, Baby’s All Right in Brooklyn, Lincoln Calling Festival in Nebraska, The Mint in Los Angeles, The Independent in San Francisco, and the Empty Bottle in Chicago. In May 2019, the single “Holy Roller” was serviced to AAA radio, with support from 20+ stations, and remained on that format's charts for four-plus months. An extensive radio promotional tour included visits to stations in Nashville, Baltimore, Albany, Woodstock, Pittsburgh, and Columbus, Ohio. In June 2021, Wolfe released her third album, Outlier, on Crows Feet Records. The album was produced by Michael Shuman of Queens of the Stone Age, who also received performance and co-writing credits on the record. Wolfe's work has received praise from NPR, The Wall Street Journal, MTV, and numerous online and regional press outlets. Wolfe's compositions are published by Concord Music Publishing. Lucifer SoundTrack | S05E09 No Man (Outlier Album 2021)"
Algia Mae Hinton,Q16091209,TRUE,,singer,Johnston County,NCG07949,"August 29, 1929","February 8, 2018",piedmont blues,"Algia Mae Hinton (née O'Neal; August 29, 1929 – February 8, 2018) was an American Piedmont blues guitarist and vocalist, based in Johnston County, North Carolina, United States."
Backwards Sam Firk,Q24239358,TRUE,,songwriter|musicologist,Asheville,NCG00366,"September 18, 1943","October 11, 2007",country blues,"Michael Addison Stewart (September 18, 1943 – October 11, 2007), who performed and recorded as Backwards Sam Firk, was an American country blues singer, fingerstyle guitarist, songwriter, and record collector. Less well known than such contemporaries as Alan Wilson of Canned Heat and John Fahey, Backwards Sam Firk spent much of his music-based existence working with and supporting older blues artists. According to his friend Stephan Michelson, ""He was, simply put, masterful. More than technique, he had taste. And more than technique and taste, he had originality. From his mentors and from records he did not so much copy notes as learn sounds and how to make them. He played old-time blues as if he was living in the 1930s, as if this was the music of his day. For him, it was."""
Don Dixon,Q2463156,TRUE,252041,musician|songwriter,Chapel Hill,NCG02888,"December 13, 1950",,alternative country,"Don Dixon (born December 13, 1950) is an American record producer, songwriter, musician, bass guitarist, and very occasional actor. Dixon is considered to be one of the key producers of what is called the jangle pop movement of the early 1980s."
Dusty Redmon,Q5317202,TRUE,,composer|guitarist,Winston-Salem,NCG16525,"May 23, 1983",,post-hardcore,"Dustin Wesley ""Dusty"" Redmon is an American guitarist primarily known for playing in alternative rock band The Almost and former guitarist and songwriter for Beloved and Dead Poetic. Redmon was born on May 23, 1982, in Winston-Salem, North Carolina. He is cousins with his bandmate, Joe Musten."
Sean Yseult,Q3106737,TRUE,528892,musician|fashion designer,Raleigh,NCG12430,"June 6, 1966",,alternative metal,"Sean Yseult (born Shauna Reynolds; June 6, 1966) is an American rock musician. She currently plays bass guitar in the band Star & Dagger. She has played various instruments with different bands since the mid-1980s, and is best known for playing bass in White Zombie."
Peter Stroud,Q7177154,TRUE,,musician|guitarist,Greensboro,NCG06266,,,pop rock,"Peter Stroud is a US guitarist best known for his work with Sheryl Crow, Don Henley, Pete Droge, and Sarah McLachlan. He is cofounder of 65amps, a company manufacturing guitar amplifiers."
Wild Jimmy Spruill,Q8000696,TRUE,1498269,studio musician|guitarist,Fayetteville,NCG05160,"June 9, 1934","February 3, 1996",,"James Edgar Spruill (June 9, 1934 – February 3, 1996), also known as Wild Jimmy Spruill, was an American New York based session guitarist, whose guitar solos featured on many rhythm and blues and pop hits of the 1950s and 1960s."
Elizabeth Cotten,Q454320,TRUE,367082,singer|guitarist|folk musician|songwriter,Chapel Hill,NCG02888,"January 5, 1893","June 29, 1987",traditional folk music|blues,"Elizabeth ""Libba"" Cotten (née Nevills; January 5, 1893 – June 29, 1987) was an American folk and blues singer-songwriter and musician. Cotten was a self-taught left-handed guitarist who played a guitar strung for a right-handed player, but played it upside down. This position meant that she would play the bass lines with her fingers and the melody with her thumb. Her signature alternating bass style has become known as ""Cotten picking""."
Link Wray,Q252248,TRUE,246644,guitarist|composer|singer|musician|recording artist|singer|songwriter,Dunn,NCG04560,"May 2, 1929","November 5, 2005",rock and roll,"Fred Lincoln ""Link"" Wray Jr. (May 2, 1929 – November 5, 2005) was an American rock and roll guitarist, songwriter, and vocalist who became popular in the late 1950s. Rolling Stone placed Wray at No. 45 of the 100 greatest guitarists of all time. In 2013 and 2017 he was a nominee for the Rock and Roll Hall of Fame. Though he began in country music, his musical style went on to consist primarily of rock and roll, rockabilly, and instrumental rock."
John Common,Q6226813,TRUE,1869135,singer-songwriter,Jacksonville,NCG07756,,,country music,"John Common is an American songwriter, musician and singer based in Denver, Colorado, United States. Born in Jacksonville, North Carolina, Common spent most of his youth in Pensacola, Florida. When he was thirteen years old, Common found his older brother's Epiphone acoustic guitar in a closet and began writing songs. While in Pensacola, Common founded and fronted the psychedelic roots rock band Bunkhouse Jones. Featuring drummer Matthew Baranowski, guitarists Aaron Monte and Richard Abercrombie, Bunkhouse Jones released two records and toured clubs and small venues in the South. After finishing school, he traveled around the country to New York City, Boston, Atlanta, Burlington, and other towns writing, busking, playing shows and making lo-fi recordings. After a stint working on a small family farm in Denmark, Kansas, he made his way to Colorado. As the singer, songwriter and guitarist for the Denver-based roots rock/alt-country band Rainville, he built a reputation for writing gritty, honest songs. Rainville released two albums to critical acclaim nationally and in Europe, and toured from 1999 to 2004. Common began exploring different musical and lyrical territory in 2005. This new creative direction surfaced on Good To Be Born and Why Birds Fly – the first two records released under his name on Free School Records in 2006 and 2007 respectively. Those two records established Common in the Denver music scene as an independent artist and songwriter. He continued to evolve his sound by releasing a record entitled Beautiful Empty under the name John Common and Blinding Flashes of Light in 2011. That full length was quickly followed by an EP named Side 3. Common's band, Blinding Flashes of Light, was a large collective of musicians, artists and friends drawn from Denver's indie music scene. They toured across the United States multiple times in support of Beautiful Empty and Side 3. The musical collective evolved into John Common Superheart in 2014, and in 2015 Common released an EP named Two Rivers, again on Free School Records. Two Rivers was co-produced by John Common and Steve Vidaic. John Common Superheart tracked a full length record with Steve Vidaic as co-producer and engineer that hasn't been released yet. In 2017, Common began exploring a more stripped down direction and returned to playing and recording under his name. The current musical configuration features John Common on vocals, guitars and keys, Jess DeNicola on backing vocals, and Joe Mazza on guitars and sounds. They released the first single named Make It Real in December 2019. Make It Real is from a new EP that will be serially released in early 2019. This same group has also tracked another full length record that they will complete and release in 2020."
Boo Hanks,Q61936527,TRUE,,musician|guitarist|singer,Vance County,NCG15680,"April 30, 1928","April 15, 2016",Piedmont blues,"James Arthur ""Boo"" Hanks (April 30, 1928 – April 15, 2016) was an American Piedmont blues guitarist and singer. He was billed as the last of the Piedmont blues musicians. Hanks recorded two albums in his lifetime, Pickin' Low Cotton (2007) and Buffalo Junction (2012), both released by the Music Maker record label. A one-time farmer, who grew up in and lived most of his adult life around Buffalo Junction, Virginia, Hanks appeared at the Roots of American Music Festival at the Lincoln Center, shared a bill with Patti Smith, was covered by The New York Times, and performed at the New Orleans Jazz & Heritage Festival; plus he toured in both the US and Europe."
Brandon Jones,Q4251643,TRUE,,actor|singer|film producer|American football player|film actor|television actor|model|songwriter,Greensboro,NCG06266,"May 7, 1988",,electronic,"Brandon William Jones (born May 7, 1988) is an American actor, musician, and producer, best known for his role as Liam on Lie to Me, his portrayal of Andrew Campbell in Pretty Little Liars, Liam in The Fosters and his portrayal of Charlie Russell on CSI: Crime Scene Investigation."
George Higgs,Q33082818,TRUE,,singer,Edgecombe County,NCG04760,"March 9, 1930","January 29, 2013",Piedmont blues,"George Higgs (March 9, 1930 – January 29, 2013) was an American Piedmont blues acoustic guitarist, harmonicist, singer and songwriter. He recorded three albums in his lifetime, although he spent over sixty years performing regularly, mainly in his home State. In 1993, Higgs was granted the North Carolina Heritage Award from the North Carolina Arts Council."
George Huntley,Q5540880,TRUE,,songwriter|guitarist,Chapel Hill,NCG02888,1962,,alternative rock,"George Huntley is an American singer, guitarist, and songwriter, best known as a member of The Connells from 1985 to 2001."
Mya Rose,Q6946689,TRUE,,guitarist,Ocracoke,NCG11102,4 September 1979,,Folk alternative,"Mya Rose Gill (stage name Mya Rose, formerly Mya Rose Wilkins) is an indie folk-alternative artist, born 4 September 1979. She has spent the last 13 years gigging around the world from huge stages to street corners, from Korea to England, California to North Carolina. Her music is described as 'soulful vocals backed by rockin' folk with a hint of country'."
Indigo De Souza,Q108408461,TRUE,,guitarist|singer-songwriter|songwriter|singer,Spruce Pine,NCG14417,1995,,Indie rock|alternative rock,"Indigo De Souza is an American singer-songwriter from Asheville, North Carolina. Her most recent album Any Shape You Take was released in August 2021. She has been noted for creating ""intimate, anxious indie rock songs [that] wrangle with disappointment and relationship challenges,"" with personal and confessional lyrics."
Spencer Chamberlain,Q1448126,TRUE,414579,singer,Chapel Hill,NCG02888,"January 4, 1983",,Christian metal,"Spencer Chamberlain (born January 4, 1983) is an American musician, best known for being the current lead vocalist for the metalcore band Underoath. Before fronting Underoath, Chamberlain was the vocalist for the band This Runs Through in which his brother, Phil Chamberlain, was the drummer (who is also the drummer for To Speak of Wolves)."
Floyd Council,Q714602,TRUE,649631,singer|musician|guitarist|mandolinist,Chapel Hill,NCG02888,"September 2, 1911","May 9, 1976",blues,"Floyd Council (September 2, 1911 – May 9, 1976) was an American blues guitarist, mandolin player, and singer. He was a practitioner of the Piedmont blues, which was popular in the southeastern United States in the 1920s and 1930s. He was sometimes credited as Dipper Boy Council and promoted as ""The Devil's Daddy-in-Law""."
Nick Driver,Q17155584,TRUE,911655,singer-songwriter|guitarist,Zebulon,NCG16809,1953,,rock music,"Nick Driver is an American rock and Americana singer-songwriter, based in North Carolina. In 2010, he released his debut solo album, Warm Is Your Color, which had a top-ten song hit on Sirius XM's The Coffee House radio station. Wildy's World stated about Warm Is Your Color that ""Driver looks to bring the energy of punk to the finesse and precision of pop music."" He has released several full-length albums and singles since, and his songs have been featured on the television shows Bad Girls Club: Atlanta, Kourtney and Kim Take Miami, The Real World: St. Thomas, and The Real World: Portland. On September 9, 2014, he released the EP Staring at My Ceiling in the Dark. Driver tours and records as part of The Nick Driver Band, which has appeared at festivals such as FloydFest. In 2011, he was nominated at the John Lennon International Songwriting Contest for folk, and in 2012, he was nominated for Humanitarian Songwriter of the Year at the Las Vegas Music Awards."
Jan Johansson,Q10539497,TRUE,,composer|music producer|guitarist|mandolinist|fiddler|record producer,Cary,NCG02669,1958,,bluegrass,"Jan Peder Johansson, born 1958 in Ursviken, Skellefteå kommun, Västerbottens län. Swedish-born acoustic musician, composer, producer and pedagogue. Residing in Cary, North Carolina, and active in the US since 1986. His original music draws from several genres including traditional and contemporary Swedish, Bluegrass, Classical and Blues. He is the founder of Johansson's Acoustic Music Studio (JAMS) which provides music instruction in Bluegrass and other acoustic music. His formal education is the field of the Humanities and he received a Cand. Phil. degree in General Linguistics and Scandinavian languages from Umeå University, in Umeå, Sweden. He has done doctoral candidate studies at Stockholm's University and University of California at Los Angeles.His interest for Bluegrass and old blues music started around 1972 shortly after receiving a Landola classical guitar from his grandparents over the Easter Holidays that year. Living in Northern Sweden made it difficult to find bluegrass records and the main source for recorded music was mail order companies like County Sales in Virginia.Johansson recalls ""The first album I ever bought was one by blues-man Bill Williams on the Blue Goose label. My second LP was Alabama Blues on Yazoo Records. I found both albums at the department store Tempo in Skellefteå."""
Bull City Red,Q1004132,TRUE,330850,singer,Durham,NCG04584,"February 19, 1917",October 1958,Piedmont blues,"Bull City Red (born George Washington, February 19, 1917 – October 1958) was an American Piedmont blues guitarist, singer, and predominately washboard player, most closely associated with Blind Boy Fuller and the Reverend Gary Davis. Little is known of his life outside of his recording career."
Carolina Slim,Q1044415,TRUE,637531,musician|singer|guitarist,Leasburg,NCG08571,"August 22, 1923","October 22, 1953",Piedmont blues,"Edward P. Harris (August 22, 1923 – October 22, 1953), known as Carolina Slim, was an American Piedmont blues guitarist and singer. His best-known records are ""Black Cat Trail"" and ""I'll Never Walk in Your Door"". He used various pseudonyms during his brief recording career, including Country Paul, Jammin' Jim, Lazy Slim Jim and Paul Howard. He recorded 27 songs. Details of his life outside of his music career are scant, and the reasons for the use of different names are unclear."
